cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 70 percent training data.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/110   Step: 1m438ms | Tot: 0ms | Loss: 0.393 | Acc: 90.234% (231/256)              
 [>................................................................] 2/110   Step: 1s972ms | Tot: 1s972ms | Loss: 0.443 | Acc: 89.453% (458/512)              
 [=>...............................................................] 3/110   Step: 991ms | Tot: 2s964ms | Loss: 0.468 | Acc: 88.672% (681/768)              
 [=>...............................................................] 4/110   Step: 1s155ms | Tot: 4s119ms | Loss: 0.442 | Acc: 89.258% (914/1024)              
 [==>..............................................................] 5/110   Step: 962ms | Tot: 5s81ms | Loss: 0.460 | Acc: 88.984% (1139/1280)              
 [==>..............................................................] 6/110   Step: 957ms | Tot: 6s39ms | Loss: 0.498 | Acc: 88.086% (1353/1536)              
 [===>.............................................................] 7/110   Step: 967ms | Tot: 7s7ms | Loss: 0.498 | Acc: 88.058% (1578/1792)              
 [====>............................................................] 8/110   Step: 958ms | Tot: 7s965ms | Loss: 0.494 | Acc: 87.939% (1801/2048)              
 [====>............................................................] 9/110   Step: 1s65ms | Tot: 9s31ms | Loss: 0.482 | Acc: 88.151% (2031/2304)              
 [=====>...........................................................] 10/110   Step: 962ms | Tot: 9s993ms | Loss: 0.474 | Acc: 88.438% (2264/2560)              
 [=====>...........................................................] 11/110   Step: 961ms | Tot: 10s954ms | Loss: 0.468 | Acc: 88.601% (2495/2816)              
 [======>..........................................................] 12/110   Step: 955ms | Tot: 11s910ms | Loss: 0.477 | Acc: 88.444% (2717/3072)              
 [=======>.........................................................] 13/110   Step: 981ms | Tot: 12s891ms | Loss: 0.473 | Acc: 88.431% (2943/3328)              
 [=======>.........................................................] 14/110   Step: 1s67ms | Tot: 13s959ms | Loss: 0.461 | Acc: 88.672% (3178/3584)              
 [========>........................................................] 15/110   Step: 961ms | Tot: 14s920ms | Loss: 0.456 | Acc: 88.854% (3412/3840)              
 [========>........................................................] 16/110   Step: 973ms | Tot: 15s894ms | Loss: 0.452 | Acc: 88.989% (3645/4096)              
 [=========>.......................................................] 17/110   Step: 972ms | Tot: 16s866ms | Loss: 0.453 | Acc: 88.833% (3866/4352)              
 [==========>......................................................] 18/110   Step: 962ms | Tot: 17s829ms | Loss: 0.447 | Acc: 88.954% (4099/4608)              
 [==========>......................................................] 19/110   Step: 1s62ms | Tot: 18s892ms | Loss: 0.444 | Acc: 88.939% (4326/4864)              
 [===========>.....................................................] 20/110   Step: 965ms | Tot: 19s857ms | Loss: 0.442 | Acc: 89.082% (4561/5120)              
 [===========>.....................................................] 21/110   Step: 963ms | Tot: 20s820ms | Loss: 0.442 | Acc: 88.932% (4781/5376)              
 [============>....................................................] 22/110   Step: 956ms | Tot: 21s777ms | Loss: 0.440 | Acc: 88.956% (5010/5632)              
 [=============>...................................................] 23/110   Step: 1s126ms | Tot: 22s904ms | Loss: 0.436 | Acc: 89.046% (5243/5888)              
 [=============>...................................................] 24/110   Step: 965ms | Tot: 23s869ms | Loss: 0.433 | Acc: 89.062% (5472/6144)              
 [==============>..................................................] 25/110   Step: 960ms | Tot: 24s830ms | Loss: 0.431 | Acc: 89.156% (5706/6400)              
 [==============>..................................................] 26/110   Step: 959ms | Tot: 25s789ms | Loss: 0.430 | Acc: 89.243% (5940/6656)              
 [===============>.................................................] 27/110   Step: 961ms | Tot: 26s751ms | Loss: 0.424 | Acc: 89.424% (6181/6912)              
 [===============>.................................................] 28/110   Step: 1s65ms | Tot: 27s816ms | Loss: 0.421 | Acc: 89.481% (6414/7168)              
 [================>................................................] 29/110   Step: 962ms | Tot: 28s778ms | Loss: 0.424 | Acc: 89.467% (6642/7424)              
 [=================>...............................................] 30/110   Step: 960ms | Tot: 29s739ms | Loss: 0.422 | Acc: 89.505% (6874/7680)              
 [=================>...............................................] 31/110   Step: 960ms | Tot: 30s699ms | Loss: 0.422 | Acc: 89.466% (7100/7936)              
 [==================>..............................................] 32/110   Step: 1s64ms | Tot: 31s764ms | Loss: 0.423 | Acc: 89.465% (7329/8192)              
 [==================>..............................................] 33/110   Step: 978ms | Tot: 32s742ms | Loss: 0.423 | Acc: 89.512% (7562/8448)              
 [===================>.............................................] 34/110   Step: 966ms | Tot: 33s709ms | Loss: 0.419 | Acc: 89.614% (7800/8704)              
 [====================>............................................] 35/110   Step: 959ms | Tot: 34s668ms | Loss: 0.421 | Acc: 89.598% (8028/8960)              
 [====================>............................................] 36/110   Step: 969ms | Tot: 35s638ms | Loss: 0.420 | Acc: 89.627% (8260/9216)              
 [=====================>...........................................] 37/110   Step: 1s72ms | Tot: 36s711ms | Loss: 0.424 | Acc: 89.559% (8483/9472)              
 [=====================>...........................................] 38/110   Step: 969ms | Tot: 37s681ms | Loss: 0.423 | Acc: 89.576% (8714/9728)              
 [======================>..........................................] 39/110   Step: 959ms | Tot: 38s640ms | Loss: 0.423 | Acc: 89.583% (8944/9984)              
 [=======================>.........................................] 40/110   Step: 954ms | Tot: 39s595ms | Loss: 0.424 | Acc: 89.570% (9172/10240)              
 [=======================>.........................................] 41/110   Step: 1s71ms | Tot: 40s667ms | Loss: 0.421 | Acc: 89.615% (9406/10496)              
 [========================>........................................] 42/110   Step: 966ms | Tot: 41s633ms | Loss: 0.425 | Acc: 89.537% (9627/10752)              
 [========================>........................................] 43/110   Step: 973ms | Tot: 42s607ms | Loss: 0.424 | Acc: 89.544% (9857/11008)              
