cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the whole dataset.
load parameters
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/157   Step: 2m30s | Tot: 0ms | Loss: 0.391 | Acc: 87.109% (223/256)              
 [>................................................................] 2/157   Step: 1s983ms | Tot: 1s983ms | Loss: 0.414 | Acc: 86.914% (445/512)              
 [>................................................................] 3/157   Step: 981ms | Tot: 2s965ms | Loss: 0.402 | Acc: 87.240% (670/768)              
 [=>...............................................................] 4/157   Step: 1s96ms | Tot: 4s62ms | Loss: 0.390 | Acc: 87.891% (900/1024)              
 [=>...............................................................] 5/157   Step: 957ms | Tot: 5s19ms | Loss: 0.382 | Acc: 88.281% (1130/1280)              
 [==>..............................................................] 6/157   Step: 965ms | Tot: 5s985ms | Loss: 0.379 | Acc: 88.021% (1352/1536)              
 [==>..............................................................] 7/157   Step: 956ms | Tot: 6s941ms | Loss: 0.364 | Acc: 88.616% (1588/1792)              
 [==>..............................................................] 8/157   Step: 960ms | Tot: 7s902ms | Loss: 0.365 | Acc: 88.867% (1820/2048)              
 [===>.............................................................] 9/157   Step: 1s59ms | Tot: 8s961ms | Loss: 0.373 | Acc: 88.715% (2044/2304)              
 [===>.............................................................] 10/157   Step: 955ms | Tot: 9s916ms | Loss: 0.367 | Acc: 88.867% (2275/2560)              
 [====>............................................................] 11/157   Step: 962ms | Tot: 10s879ms | Loss: 0.373 | Acc: 88.743% (2499/2816)              
 [====>............................................................] 12/157   Step: 956ms | Tot: 11s835ms | Loss: 0.368 | Acc: 88.867% (2730/3072)              
 [====>............................................................] 13/157   Step: 1s76ms | Tot: 12s912ms | Loss: 0.367 | Acc: 89.093% (2965/3328)              
 [=====>...........................................................] 14/157   Step: 961ms | Tot: 13s873ms | Loss: 0.365 | Acc: 89.230% (3198/3584)              
 [=====>...........................................................] 15/157   Step: 953ms | Tot: 14s827ms | Loss: 0.362 | Acc: 89.271% (3428/3840)              
 [======>..........................................................] 16/157   Step: 958ms | Tot: 15s785ms | Loss: 0.357 | Acc: 89.307% (3658/4096)              
 [======>..........................................................] 17/157   Step: 966ms | Tot: 16s752ms | Loss: 0.354 | Acc: 89.568% (3898/4352)              
 [=======>.........................................................] 18/157   Step: 1s64ms | Tot: 17s816ms | Loss: 0.350 | Acc: 89.735% (4135/4608)              
 [=======>.........................................................] 19/157   Step: 960ms | Tot: 18s776ms | Loss: 0.347 | Acc: 89.844% (4370/4864)              
 [=======>.........................................................] 20/157   Step: 954ms | Tot: 19s731ms | Loss: 0.345 | Acc: 89.941% (4605/5120)              
 [========>........................................................] 21/157   Step: 965ms | Tot: 20s697ms | Loss: 0.345 | Acc: 90.011% (4839/5376)              
 [========>........................................................] 22/157   Step: 1s70ms | Tot: 21s767ms | Loss: 0.339 | Acc: 90.146% (5077/5632)              
 [=========>.......................................................] 23/157   Step: 976ms | Tot: 22s743ms | Loss: 0.334 | Acc: 90.336% (5319/5888)              
 [=========>.......................................................] 24/157   Step: 960ms | Tot: 23s703ms | Loss: 0.331 | Acc: 90.446% (5557/6144)              
 [=========>.......................................................] 25/157   Step: 959ms | Tot: 24s662ms | Loss: 0.328 | Acc: 90.500% (5792/6400)              
 [==========>......................................................] 26/157   Step: 957ms | Tot: 25s620ms | Loss: 0.324 | Acc: 90.640% (6033/6656)              
 [==========>......................................................] 27/157   Step: 1s90ms | Tot: 26s711ms | Loss: 0.325 | Acc: 90.582% (6261/6912)              
 [===========>.....................................................] 28/157   Step: 962ms | Tot: 27s673ms | Loss: 0.323 | Acc: 90.639% (6497/7168)              
 [===========>.....................................................] 29/157   Step: 966ms | Tot: 28s640ms | Loss: 0.319 | Acc: 90.773% (6739/7424)              
 [============>....................................................] 30/157   Step: 960ms | Tot: 29s600ms | Loss: 0.316 | Acc: 90.846% (6977/7680)              
 [============>....................................................] 31/157   Step: 962ms | Tot: 30s562ms | Loss: 0.313 | Acc: 90.927% (7216/7936)              
 [============>....................................................] 32/157   Step: 1s62ms | Tot: 31s625ms | Loss: 0.309 | Acc: 91.028% (7457/8192)              
 [=============>...................................................] 33/157   Step: 967ms | Tot: 32s593ms | Loss: 0.308 | Acc: 91.039% (7691/8448)              
 [=============>...................................................] 34/157   Step: 962ms | Tot: 33s556ms | Loss: 0.306 | Acc: 91.085% (7928/8704)              
 [==============>..................................................] 35/157   Step: 959ms | Tot: 34s516ms | Loss: 0.304 | Acc: 91.138% (8166/8960)              
 [==============>..................................................] 36/157   Step: 1s66ms | Tot: 35s582ms | Loss: 0.301 | Acc: 91.200% (8405/9216)              
 [==============>..................................................] 37/157   Step: 964ms | Tot: 36s546ms | Loss: 0.299 | Acc: 91.258% (8644/9472)              
 [===============>.................................................] 38/157   Step: 963ms | Tot: 37s510ms | Loss: 0.296 | Acc: 91.386% (8890/9728)              
 [===============>.................................................] 39/157   Step: 969ms | Tot: 38s480ms | Loss: 0.294 | Acc: 91.426% (9128/9984)              
 [================>................................................] 40/157   Step: 961ms | Tot: 39s442ms | Loss: 0.292 | Acc: 91.475% (9367/10240)              
 [================>................................................] 41/157   Step: 1s68ms | Tot: 40s510ms | Loss: 0.290 | Acc: 91.568% (9611/10496)              
 [================>................................................] 42/157   Step: 967ms | Tot: 41s478ms | Loss: 0.288 | Acc: 91.620% (9851/10752)              
 [=================>...............................................] 43/157   Step: 962ms | Tot: 42s440ms | Loss: 0.287 | Acc: 91.642% (10088/11008)              
 [=================>...............................................] 44/157   Step: 975ms | Tot: 43s416ms | Loss: 0.285 | Acc: 91.664% (10325/11264)              
 [==================>..............................................] 45/157   Step: 959ms | Tot: 44s375ms | Loss: 0.283 | Acc: 91.710% (10565/11520)              
 [==================>..............................................] 46/157   Step: 1s78ms | Tot: 45s454ms | Loss: 0.281 | Acc: 91.805% (10811/11776)              
 [===================>.............................................] 47/157   Step: 962ms | Tot: 46s417ms | Loss: 0.279 | Acc: 91.888% (11056/12032)              
 [===================>.............................................] 48/157   Step: 958ms | Tot: 47s375ms | Loss: 0.278 | Acc: 91.895% (11292/12288)              
 [===================>.............................................] 49/157   Step: 958ms | Tot: 48s334ms | Loss: 0.277 | Acc: 91.956% (11535/12544)              
 [====================>............................................] 50/157   Step: 1s59ms | Tot: 49s394ms | Loss: 0.276 | Acc: 91.977% (11773/12800)              
 [====================>............................................] 51/157   Step: 959ms | Tot: 50s353ms | Loss: 0.274 | Acc: 92.004% (12012/13056)              
 [=====================>...........................................] 52/157   Step: 963ms | Tot: 51s317ms | Loss: 0.273 | Acc: 92.075% (12257/13312)              
 [=====================>...........................................] 53/157   Step: 955ms | Tot: 52s273ms | Loss: 0.271 | Acc: 92.136% (12501/13568)              
 [=====================>...........................................] 54/157   Step: 970ms | Tot: 53s243ms | Loss: 0.269 | Acc: 92.195% (12745/13824)              
 [======================>..........................................] 55/157   Step: 1s58ms | Tot: 54s301ms | Loss: 0.268 | Acc: 92.251% (12989/14080)              
 [======================>..........................................] 56/157   Step: 953ms | Tot: 55s255ms | Loss: 0.266 | Acc: 92.306% (13233/14336)              
 [=======================>.........................................] 57/157   Step: 960ms | Tot: 56s216ms | Loss: 0.265 | Acc: 92.338% (13474/14592)              
 [=======================>.........................................] 58/157   Step: 964ms | Tot: 57s181ms | Loss: 0.263 | Acc: 92.376% (13716/14848)              
 [========================>........................................] 59/157   Step: 1s60ms | Tot: 58s241ms | Loss: 0.263 | Acc: 92.393% (13955/15104)              
 [========================>........................................] 60/157   Step: 964ms | Tot: 59s206ms | Loss: 0.261 | Acc: 92.441% (14199/15360)              
 [========================>........................................] 61/157   Step: 958ms | Tot: 1m164ms | Loss: 0.260 | Acc: 92.476% (14441/15616)              
 [=========================>.......................................] 62/157   Step: 960ms | Tot: 1m1s | Loss: 0.258 | Acc: 92.534% (14687/15872)              
 [=========================>.......................................] 63/157   Step: 958ms | Tot: 1m2s | Loss: 0.258 | Acc: 92.566% (14929/16128)              
 [==========================>......................................] 64/157   Step: 1s78ms | Tot: 1m3s | Loss: 0.257 | Acc: 92.590% (15170/16384)              
 [==========================>......................................] 65/157   Step: 954ms | Tot: 1m4s | Loss: 0.255 | Acc: 92.626% (15413/16640)              
 [==========================>......................................] 66/157   Step: 955ms | Tot: 1m5s | Loss: 0.254 | Acc: 92.667% (15657/16896)              
 [===========================>.....................................] 67/157   Step: 971ms | Tot: 1m6s | Loss: 0.254 | Acc: 92.666% (15894/17152)              
 [===========================>.....................................] 68/157   Step: 1s65ms | Tot: 1m7s | Loss: 0.253 | Acc: 92.705% (16138/17408)              
 [============================>....................................] 69/157   Step: 960ms | Tot: 1m8s | Loss: 0.252 | Acc: 92.748% (16383/17664)              
 [============================>....................................] 70/157   Step: 961ms | Tot: 1m9s | Loss: 0.250 | Acc: 92.790% (16628/17920)              
 [============================>....................................] 71/157   Step: 967ms | Tot: 1m9s | Loss: 0.249 | Acc: 92.837% (16874/18176)              
 [=============================>...................................] 72/157   Step: 967ms | Tot: 1m10s | Loss: 0.248 | Acc: 92.860% (17116/18432)              
