cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the wcl selected dataset.
load parameters
Now try to run the WCL algorithm
Selected 12258 boundary instances.
Select 30.00 percent samples, 1449 overlapping with the pre-selected boundary samples
The unique selected subset size is: 22806
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/90   Step: 1m12s | Tot: 0ms | Loss: 0.233 | Acc: 94.922% (243/256)              
 [>................................................................] 2/90   Step: 2s86ms | Tot: 2s86ms | Loss: 0.212 | Acc: 94.727% (485/512)              
 [=>...............................................................] 3/90   Step: 972ms | Tot: 3s59ms | Loss: 0.197 | Acc: 95.312% (732/768)              
 [==>..............................................................] 4/90   Step: 1s132ms | Tot: 4s191ms | Loss: 0.199 | Acc: 95.312% (976/1024)              
 [==>..............................................................] 5/90   Step: 963ms | Tot: 5s154ms | Loss: 0.188 | Acc: 95.703% (1225/1280)              
 [===>.............................................................] 6/90   Step: 962ms | Tot: 6s116ms | Loss: 0.174 | Acc: 95.898% (1473/1536)              
 [====>............................................................] 7/90   Step: 962ms | Tot: 7s79ms | Loss: 0.180 | Acc: 95.759% (1716/1792)              
 [=====>...........................................................] 8/90   Step: 961ms | Tot: 8s41ms | Loss: 0.186 | Acc: 95.654% (1959/2048)              
 [=====>...........................................................] 9/90   Step: 1s62ms | Tot: 9s104ms | Loss: 0.183 | Acc: 95.703% (2205/2304)              
 [======>..........................................................] 10/90   Step: 964ms | Tot: 10s68ms | Loss: 0.175 | Acc: 95.781% (2452/2560)              
 [=======>.........................................................] 11/90   Step: 978ms | Tot: 11s46ms | Loss: 0.170 | Acc: 95.881% (2700/2816)              
 [=======>.........................................................] 12/90   Step: 962ms | Tot: 12s9ms | Loss: 0.165 | Acc: 96.061% (2951/3072)              
 [========>........................................................] 13/90   Step: 1s75ms | Tot: 13s84ms | Loss: 0.161 | Acc: 96.184% (3201/3328)              
 [=========>.......................................................] 14/90   Step: 965ms | Tot: 14s49ms | Loss: 0.162 | Acc: 96.094% (3444/3584)              
 [==========>......................................................] 15/90   Step: 968ms | Tot: 15s18ms | Loss: 0.162 | Acc: 96.146% (3692/3840)              
 [==========>......................................................] 16/90   Step: 963ms | Tot: 15s982ms | Loss: 0.164 | Acc: 96.118% (3937/4096)              
 [===========>.....................................................] 17/90   Step: 976ms | Tot: 16s959ms | Loss: 0.161 | Acc: 96.163% (4185/4352)              
 [============>....................................................] 18/90   Step: 1s69ms | Tot: 18s29ms | Loss: 0.157 | Acc: 96.267% (4436/4608)              
 [=============>...................................................] 19/90   Step: 965ms | Tot: 18s994ms | Loss: 0.158 | Acc: 96.299% (4684/4864)              
 [=============>...................................................] 20/90   Step: 968ms | Tot: 19s963ms | Loss: 0.158 | Acc: 96.289% (4930/5120)              
 [==============>..................................................] 21/90   Step: 981ms | Tot: 20s944ms | Loss: 0.157 | Acc: 96.317% (5178/5376)              
 [===============>.................................................] 22/90   Step: 1s107ms | Tot: 22s52ms | Loss: 0.157 | Acc: 96.325% (5425/5632)              
 [===============>.................................................] 23/90   Step: 963ms | Tot: 23s16ms | Loss: 0.154 | Acc: 96.399% (5676/5888)              
 [================>................................................] 24/90   Step: 962ms | Tot: 23s978ms | Loss: 0.155 | Acc: 96.338% (5919/6144)              
 [=================>...............................................] 25/90   Step: 965ms | Tot: 24s944ms | Loss: 0.157 | Acc: 96.297% (6163/6400)              
 [==================>..............................................] 26/90   Step: 960ms | Tot: 25s904ms | Loss: 0.161 | Acc: 96.229% (6405/6656)              
 [==================>..............................................] 27/90   Step: 1s70ms | Tot: 26s975ms | Loss: 0.164 | Acc: 96.224% (6651/6912)              
 [===================>.............................................] 28/90   Step: 958ms | Tot: 27s933ms | Loss: 0.163 | Acc: 96.233% (6898/7168)              
 [====================>............................................] 29/90   Step: 965ms | Tot: 28s899ms | Loss: 0.161 | Acc: 96.282% (7148/7424)              
 [====================>............................................] 30/90   Step: 962ms | Tot: 29s861ms | Loss: 0.161 | Acc: 96.289% (7395/7680)              
 [=====================>...........................................] 31/90   Step: 982ms | Tot: 30s844ms | Loss: 0.159 | Acc: 96.321% (7644/7936)              
 [======================>..........................................] 32/90   Step: 1s65ms | Tot: 31s909ms | Loss: 0.160 | Acc: 96.313% (7890/8192)              
 [=======================>.........................................] 33/90   Step: 958ms | Tot: 32s867ms | Loss: 0.160 | Acc: 96.330% (8138/8448)              
 [=======================>.........................................] 34/90   Step: 961ms | Tot: 33s828ms | Loss: 0.158 | Acc: 96.358% (8387/8704)              
 [========================>........................................] 35/90   Step: 966ms | Tot: 34s795ms | Loss: 0.157 | Acc: 96.384% (8636/8960)              
 [=========================>.......................................] 36/90   Step: 1s78ms | Tot: 35s874ms | Loss: 0.160 | Acc: 96.332% (8878/9216)              
 [==========================>......................................] 37/90   Step: 966ms | Tot: 36s840ms | Loss: 0.160 | Acc: 96.326% (9124/9472)              
 [==========================>......................................] 38/90   Step: 959ms | Tot: 37s800ms | Loss: 0.161 | Acc: 96.289% (9367/9728)              
 [===========================>.....................................] 39/90   Step: 962ms | Tot: 38s763ms | Loss: 0.161 | Acc: 96.244% (9609/9984)              
 [============================>....................................] 40/90   Step: 967ms | Tot: 39s731ms | Loss: 0.163 | Acc: 96.221% (9853/10240)              
 [============================>....................................] 41/90   Step: 1s120ms | Tot: 40s851ms | Loss: 0.164 | Acc: 96.199% (10097/10496)              
 [=============================>...................................] 42/90   Step: 971ms | Tot: 41s823ms | Loss: 0.162 | Acc: 96.252% (10349/10752)              
 [==============================>..................................] 43/90   Step: 959ms | Tot: 42s782ms | Loss: 0.162 | Acc: 96.275% (10598/11008)              
 [===============================>.................................] 44/90   Step: 962ms | Tot: 43s744ms | Loss: 0.162 | Acc: 96.280% (10845/11264)              
 [===============================>.................................] 45/90   Step: 959ms | Tot: 44s704ms | Loss: 0.161 | Acc: 96.276% (11091/11520)              
 [================================>................................] 46/90   Step: 1s71ms | Tot: 45s776ms | Loss: 0.162 | Acc: 96.255% (11335/11776)              
 [=================================>...............................] 47/90   Step: 962ms | Tot: 46s738ms | Loss: 0.162 | Acc: 96.260% (11582/12032)              
 [=================================>...............................] 48/90   Step: 961ms | Tot: 47s699ms | Loss: 0.162 | Acc: 96.281% (11831/12288)              
 [==================================>..............................] 49/90   Step: 962ms | Tot: 48s662ms | Loss: 0.164 | Acc: 96.237% (12072/12544)              
 [===================================>.............................] 50/90   Step: 959ms | Tot: 49s621ms | Loss: 0.166 | Acc: 96.211% (12315/12800)              
 [====================================>............................] 51/90   Step: 1s83ms | Tot: 50s704ms | Loss: 0.166 | Acc: 96.186% (12558/13056)              
 [====================================>............................] 52/90   Step: 968ms | Tot: 51s672ms | Loss: 0.165 | Acc: 96.214% (12808/13312)              
 [=====================================>...........................] 53/90   Step: 961ms | Tot: 52s634ms | Loss: 0.164 | Acc: 96.204% (13053/13568)              
 [======================================>..........................] 54/90   Step: 963ms | Tot: 53s597ms | Loss: 0.164 | Acc: 96.209% (13300/13824)              
 [=======================================>.........................] 55/90   Step: 960ms | Tot: 54s557ms | Loss: 0.164 | Acc: 96.207% (13546/14080)              
 [=======================================>.........................] 56/90   Step: 1s61ms | Tot: 55s619ms | Loss: 0.164 | Acc: 96.212% (13793/14336)              
 [========================================>........................] 57/90   Step: 962ms | Tot: 56s581ms | Loss: 0.164 | Acc: 96.224% (14041/14592)              
 [=========================================>.......................] 58/90   Step: 958ms | Tot: 57s539ms | Loss: 0.164 | Acc: 96.242% (14290/14848)              
 [=========================================>.......................] 59/90   Step: 968ms | Tot: 58s508ms | Loss: 0.164 | Acc: 96.266% (14540/15104)              
 [==========================================>......................] 60/90   Step: 964ms | Tot: 59s472ms | Loss: 0.163 | Acc: 96.289% (14790/15360)              
 [===========================================>.....................] 61/90   Step: 1s73ms | Tot: 1m546ms | Loss: 0.163 | Acc: 96.267% (15033/15616)              
 [============================================>....................] 62/90   Step: 973ms | Tot: 1m1s | Loss: 0.163 | Acc: 96.270% (15280/15872)              
 [============================================>....................] 63/90   Step: 960ms | Tot: 1m2s | Loss: 0.162 | Acc: 96.274% (15527/16128)              
 [=============================================>...................] 64/90   Step: 960ms | Tot: 1m3s | Loss: 0.161 | Acc: 96.283% (15775/16384)              
 [==============================================>..................] 65/90   Step: 971ms | Tot: 1m4s | Loss: 0.161 | Acc: 96.304% (16025/16640)              
 [==============================================>..................] 66/90   Step: 1s68ms | Tot: 1m5s | Loss: 0.161 | Acc: 96.277% (16267/16896)              
 [===============================================>.................] 67/90   Step: 964ms | Tot: 1m6s | Loss: 0.161 | Acc: 96.298% (16517/17152)              
 [================================================>................] 68/90   Step: 962ms | Tot: 1m7s | Loss: 0.160 | Acc: 96.301% (16764/17408)              
 [=================================================>...............] 69/90   Step: 961ms | Tot: 1m8s | Loss: 0.160 | Acc: 96.298% (17010/17664)              
 [=================================================>...............] 70/90   Step: 1s90ms | Tot: 1m9s | Loss: 0.159 | Acc: 96.306% (17258/17920)              
 [==================================================>..............] 71/90   Step: 963ms | Tot: 1m10s | Loss: 0.159 | Acc: 96.319% (17507/18176)              
 [===================================================>.............] 72/90   Step: 972ms | Tot: 1m11s | Loss: 0.159 | Acc: 96.322% (17754/18432)              
 [====================================================>............] 73/90   Step: 962ms | Tot: 1m12s | Loss: 0.159 | Acc: 96.324% (18001/18688)              
 [====================================================>............] 74/90   Step: 963ms | Tot: 1m13s | Loss: 0.158 | Acc: 96.331% (18249/18944)              
 [=====================================================>...........] 75/90   Step: 1s73ms | Tot: 1m14s | Loss: 0.159 | Acc: 96.323% (18494/19200)              
 [======================================================>..........] 76/90   Step: 960ms | Tot: 1m15s | Loss: 0.158 | Acc: 96.335% (18743/19456)              
 [======================================================>..........] 77/90   Step: 963ms | Tot: 1m16s | Loss: 0.158 | Acc: 96.337% (18990/19712)              
 [=======================================================>.........] 78/90   Step: 958ms | Tot: 1m17s | Loss: 0.158 | Acc: 96.344% (19238/19968)              
 [========================================================>........] 79/90   Step: 1s82ms | Tot: 1m18s | Loss: 0.158 | Acc: 96.361% (19488/20224)              
 [=========================================================>.......] 80/90   Step: 958ms | Tot: 1m19s | Loss: 0.158 | Acc: 96.353% (19733/20480)              
 [=========================================================>.......] 81/90   Step: 959ms | Tot: 1m20s | Loss: 0.158 | Acc: 96.359% (19981/20736)              
 [==========================================================>......] 82/90   Step: 976ms | Tot: 1m21s | Loss: 0.158 | Acc: 96.370% (20230/20992)              
 [===========================================================>.....] 83/90   Step: 960ms | Tot: 1m22s | Loss: 0.158 | Acc: 96.367% (20476/21248)              
 [===========================================================>.....] 84/90   Step: 1s59ms | Tot: 1m23s | Loss: 0.160 | Acc: 96.340% (20717/21504)              
 [============================================================>....] 85/90   Step: 960ms | Tot: 1m24s | Loss: 0.160 | Acc: 96.342% (20964/21760)              
 [=============================================================>...] 86/90   Step: 853ms | Tot: 1m25s | Loss: 0.160 | Acc: 96.344% (21211/22016)              
 [==============================================================>..] 87/90   Step: 848ms | Tot: 1m25s | Loss: 0.160 | Acc: 96.327% (21454/22272)              
 [==============================================================>..] 88/90   Step: 953ms | Tot: 1m26s | Loss: 0.160 | Acc: 96.338% (21703/22528)              
 [===============================================================>.] 89/90   Step: 846ms | Tot: 1m27s | Loss: 0.160 | Acc: 96.340% (21950/22784)              
 [================================================================>] 90/90   Step: 7s946ms | Tot: 1m35s | Loss: 0.162 | Acc: 96.321% (21967/22806)
 [>................................................................] 1/40   Step: 1s92ms | Tot: 0ms | Loss: 1.152 | Acc: 71.484% (183/256)              
 [=>...............................................................] 2/40   Step: 427ms | Tot: 427ms | Loss: 1.136 | Acc: 73.242% (375/512)              
 [===>.............................................................] 3/40   Step: 579ms | Tot: 1s7ms | Loss: 1.212 | Acc: 71.745% (551/768)              
 [====>............................................................] 4/40   Step: 420ms | Tot: 1s428ms | Loss: 1.229 | Acc: 71.387% (731/1024)              
 [======>..........................................................] 5/40   Step: 420ms | Tot: 1s848ms | Loss: 1.282 | Acc: 70.547% (903/1280)              
 [========>........................................................] 6/40   Step: 420ms | Tot: 2s269ms | Loss: 1.283 | Acc: 71.224% (1094/1536)              
 [=========>.......................................................] 7/40   Step: 421ms | Tot: 2s691ms | Loss: 1.303 | Acc: 70.480% (1263/1792)              
 [===========>.....................................................] 8/40   Step: 426ms | Tot: 3s117ms | Loss: 1.299 | Acc: 70.703% (1448/2048)              
 [=============>...................................................] 9/40   Step: 522ms | Tot: 3s640ms | Loss: 1.292 | Acc: 71.050% (1637/2304)              
 [==============>..................................................] 10/40   Step: 437ms | Tot: 4s77ms | Loss: 1.272 | Acc: 71.250% (1824/2560)              
 [================>................................................] 11/40   Step: 424ms | Tot: 4s502ms | Loss: 1.252 | Acc: 71.768% (2021/2816)              
 [=================>...............................................] 12/40   Step: 419ms | Tot: 4s921ms | Loss: 1.243 | Acc: 72.005% (2212/3072)              
 [===================>.............................................] 13/40   Step: 420ms | Tot: 5s341ms | Loss: 1.246 | Acc: 71.905% (2393/3328)              
 [=====================>...........................................] 14/40   Step: 530ms | Tot: 5s871ms | Loss: 1.243 | Acc: 71.763% (2572/3584)              
 [======================>..........................................] 15/40   Step: 416ms | Tot: 6s288ms | Loss: 1.236 | Acc: 71.979% (2764/3840)              
 [========================>........................................] 16/40   Step: 414ms | Tot: 6s703ms | Loss: 1.229 | Acc: 72.095% (2953/4096)              
 [==========================>......................................] 17/40   Step: 423ms | Tot: 7s126ms | Loss: 1.242 | Acc: 71.921% (3130/4352)              
 [===========================>.....................................] 18/40   Step: 417ms | Tot: 7s543ms | Loss: 1.258 | Acc: 71.658% (3302/4608)              
 [=============================>...................................] 19/40   Step: 419ms | Tot: 7s963ms | Loss: 1.255 | Acc: 71.711% (3488/4864)              
 [==============================>..................................] 20/40   Step: 525ms | Tot: 8s489ms | Loss: 1.252 | Acc: 71.797% (3676/5120)              
 [================================>................................] 21/40   Step: 420ms | Tot: 8s910ms | Loss: 1.257 | Acc: 71.801% (3860/5376)              
 [==================================>..............................] 22/40   Step: 413ms | Tot: 9s323ms | Loss: 1.267 | Acc: 71.662% (4036/5632)              
 [===================================>.............................] 23/40   Step: 416ms | Tot: 9s740ms | Loss: 1.276 | Acc: 71.552% (4213/5888)              
 [=====================================>...........................] 24/40   Step: 413ms | Tot: 10s153ms | Loss: 1.275 | Acc: 71.549% (4396/6144)              
 [=======================================>.........................] 25/40   Step: 531ms | Tot: 10s684ms | Loss: 1.271 | Acc: 71.641% (4585/6400)              
 [========================================>........................] 26/40   Step: 416ms | Tot: 11s101ms | Loss: 1.266 | Acc: 71.665% (4770/6656)              
 [==========================================>......................] 27/40   Step: 417ms | Tot: 11s518ms | Loss: 1.267 | Acc: 71.658% (4953/6912)              
 [===========================================>.....................] 28/40   Step: 413ms | Tot: 11s932ms | Loss: 1.263 | Acc: 71.791% (5146/7168)              
 [=============================================>...................] 29/40   Step: 415ms | Tot: 12s348ms | Loss: 1.262 | Acc: 71.835% (5333/7424)              
 [===============================================>.................] 30/40   Step: 415ms | Tot: 12s764ms | Loss: 1.263 | Acc: 71.888% (5521/7680)              
 [================================================>................] 31/40   Step: 521ms | Tot: 13s285ms | Loss: 1.263 | Acc: 71.900% (5706/7936)              
 [==================================================>..............] 32/40   Step: 413ms | Tot: 13s699ms | Loss: 1.266 | Acc: 71.826% (5884/8192)              
 [====================================================>............] 33/40   Step: 433ms | Tot: 14s132ms | Loss: 1.268 | Acc: 71.709% (6058/8448)              
 [=====================================================>...........] 34/40   Step: 418ms | Tot: 14s550ms | Loss: 1.270 | Acc: 71.668% (6238/8704)              
 [=======================================================>.........] 35/40   Step: 420ms | Tot: 14s971ms | Loss: 1.263 | Acc: 71.853% (6438/8960)              
 [========================================================>........] 36/40   Step: 485ms | Tot: 15s456ms | Loss: 1.261 | Acc: 71.853% (6622/9216)              
 [==========================================================>......] 37/40   Step: 375ms | Tot: 15s832ms | Loss: 1.264 | Acc: 71.769% (6798/9472)              
 [============================================================>....] 38/40   Step: 374ms | Tot: 16s206ms | Loss: 1.258 | Acc: 71.968% (7001/9728)              
 [=============================================================>...] 39/40   Step: 375ms | Tot: 16s582ms | Loss: 1.260 | Acc: 71.955% (7184/9984)              
 [===============================================================>.] 40/40   Step: 2s470ms | Tot: 19s53ms | Loss: 1.259 | Acc: 71.950% (7195/10000)
Saving with better validation accuracy model: 71.950..

Epoch: 1
 [>................................................................] 1/90   Step: 2s972ms | Tot: 0ms | Loss: 0.144 | Acc: 96.094% (246/256)              
 [>................................................................] 2/90   Step: 1s138ms | Tot: 1s138ms | Loss: 0.164 | Acc: 95.898% (491/512)              
 [=>...............................................................] 3/90   Step: 990ms | Tot: 2s129ms | Loss: 0.169 | Acc: 95.703% (735/768)              
 [==>..............................................................] 4/90   Step: 967ms | Tot: 3s96ms | Loss: 0.170 | Acc: 95.996% (983/1024)              
 [==>..............................................................] 5/90   Step: 968ms | Tot: 4s64ms | Loss: 0.173 | Acc: 96.172% (1231/1280)              
 [===>.............................................................] 6/90   Step: 1s70ms | Tot: 5s134ms | Loss: 0.173 | Acc: 96.159% (1477/1536)              
 [====>............................................................] 7/90   Step: 973ms | Tot: 6s108ms | Loss: 0.170 | Acc: 96.261% (1725/1792)              
 [=====>...........................................................] 8/90   Step: 976ms | Tot: 7s85ms | Loss: 0.172 | Acc: 96.338% (1973/2048)              
