cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset (by weighted the boundary points).
load parameters
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 12000 samples for a fair comparison.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/47   Step: 1m601ms | Tot: 0ms | Loss: 1.530 | Acc: 66.406% (170/256)              
 [=>...............................................................] 2/47   Step: 1s982ms | Tot: 1s983ms | Loss: 1.531 | Acc: 65.430% (335/512)              
 [==>..............................................................] 3/47   Step: 972ms | Tot: 2s956ms | Loss: 1.519 | Acc: 65.495% (503/768)              
 [====>............................................................] 4/47   Step: 1s147ms | Tot: 4s103ms | Loss: 1.516 | Acc: 65.625% (672/1024)              
 [=====>...........................................................] 5/47   Step: 956ms | Tot: 5s59ms | Loss: 1.583 | Acc: 64.141% (821/1280)              
 [======>..........................................................] 6/47   Step: 959ms | Tot: 6s18ms | Loss: 1.625 | Acc: 63.607% (977/1536)              
 [========>........................................................] 7/47   Step: 955ms | Tot: 6s974ms | Loss: 1.600 | Acc: 64.174% (1150/1792)              
 [=========>.......................................................] 8/47   Step: 959ms | Tot: 7s933ms | Loss: 1.564 | Acc: 65.186% (1335/2048)              
 [===========>.....................................................] 9/47   Step: 1s59ms | Tot: 8s993ms | Loss: 1.562 | Acc: 65.495% (1509/2304)              
 [============>....................................................] 10/47   Step: 960ms | Tot: 9s953ms | Loss: 1.550 | Acc: 65.430% (1675/2560)              
 [=============>...................................................] 11/47   Step: 963ms | Tot: 10s917ms | Loss: 1.537 | Acc: 65.803% (1853/2816)              
 [===============>.................................................] 12/47   Step: 960ms | Tot: 11s878ms | Loss: 1.539 | Acc: 65.788% (2021/3072)              
 [================>................................................] 13/47   Step: 1s62ms | Tot: 12s940ms | Loss: 1.505 | Acc: 66.406% (2210/3328)              
 [=================>...............................................] 14/47   Step: 977ms | Tot: 13s918ms | Loss: 1.496 | Acc: 66.713% (2391/3584)              
 [===================>.............................................] 15/47   Step: 959ms | Tot: 14s877ms | Loss: 1.483 | Acc: 66.875% (2568/3840)              
 [====================>............................................] 16/47   Step: 962ms | Tot: 15s840ms | Loss: 1.486 | Acc: 66.919% (2741/4096)              
 [======================>..........................................] 17/47   Step: 969ms | Tot: 16s809ms | Loss: 1.474 | Acc: 67.165% (2923/4352)              
 [=======================>.........................................] 18/47   Step: 1s64ms | Tot: 17s873ms | Loss: 1.478 | Acc: 66.970% (3086/4608)              
 [========================>........................................] 19/47   Step: 968ms | Tot: 18s842ms | Loss: 1.475 | Acc: 67.064% (3262/4864)              
 [==========================>......................................] 20/47   Step: 965ms | Tot: 19s807ms | Loss: 1.465 | Acc: 67.148% (3438/5120)              
 [===========================>.....................................] 21/47   Step: 965ms | Tot: 20s772ms | Loss: 1.464 | Acc: 67.150% (3610/5376)              
 [=============================>...................................] 22/47   Step: 1s110ms | Tot: 21s883ms | Loss: 1.454 | Acc: 67.241% (3787/5632)              
 [==============================>..................................] 23/47   Step: 959ms | Tot: 22s843ms | Loss: 1.445 | Acc: 67.340% (3965/5888)              
 [===============================>.................................] 24/47   Step: 968ms | Tot: 23s811ms | Loss: 1.443 | Acc: 67.415% (4142/6144)              
 [=================================>...............................] 25/47   Step: 959ms | Tot: 24s771ms | Loss: 1.453 | Acc: 67.328% (4309/6400)              
 [==================================>..............................] 26/47   Step: 960ms | Tot: 25s731ms | Loss: 1.446 | Acc: 67.413% (4487/6656)              
 [===================================>.............................] 27/47   Step: 1s65ms | Tot: 26s796ms | Loss: 1.432 | Acc: 67.650% (4676/6912)              
 [=====================================>...........................] 28/47   Step: 960ms | Tot: 27s757ms | Loss: 1.434 | Acc: 67.550% (4842/7168)              
 [======================================>..........................] 29/47   Step: 961ms | Tot: 28s718ms | Loss: 1.431 | Acc: 67.470% (5009/7424)              
 [========================================>........................] 30/47   Step: 959ms | Tot: 29s677ms | Loss: 1.428 | Acc: 67.591% (5191/7680)              
 [=========================================>.......................] 31/47   Step: 1s64ms | Tot: 30s742ms | Loss: 1.424 | Acc: 67.692% (5372/7936)              
 [==========================================>......................] 32/47   Step: 964ms | Tot: 31s706ms | Loss: 1.420 | Acc: 67.810% (5555/8192)              
 [============================================>....................] 33/47   Step: 956ms | Tot: 32s663ms | Loss: 1.419 | Acc: 67.874% (5734/8448)              
 [=============================================>...................] 34/47   Step: 969ms | Tot: 33s633ms | Loss: 1.410 | Acc: 68.026% (5921/8704)              
 [===============================================>.................] 35/47   Step: 954ms | Tot: 34s588ms | Loss: 1.404 | Acc: 68.192% (6110/8960)              
 [================================================>................] 36/47   Step: 1s60ms | Tot: 35s648ms | Loss: 1.395 | Acc: 68.207% (6286/9216)              
 [=================================================>...............] 37/47   Step: 962ms | Tot: 36s610ms | Loss: 1.398 | Acc: 68.222% (6462/9472)              
 [===================================================>.............] 38/47   Step: 955ms | Tot: 37s566ms | Loss: 1.393 | Acc: 68.308% (6645/9728)              
 [====================================================>............] 39/47   Step: 969ms | Tot: 38s535ms | Loss: 1.392 | Acc: 68.329% (6822/9984)              
 [=====================================================>...........] 40/47   Step: 960ms | Tot: 39s495ms | Loss: 1.389 | Acc: 68.359% (7000/10240)              
 [=======================================================>.........] 41/47   Step: 1s66ms | Tot: 40s561ms | Loss: 1.392 | Acc: 68.350% (7174/10496)              
 [========================================================>........] 42/47   Step: 954ms | Tot: 41s516ms | Loss: 1.387 | Acc: 68.378% (7352/10752)              
