cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the whole dataset.
load parameters
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/157   Step: 33s257ms | Tot: 0ms | Loss: 0.036 | Acc: 99.609% (255/256)              
 [>................................................................] 2/157   Step: 1s978ms | Tot: 1s978ms | Loss: 0.036 | Acc: 99.414% (509/512)              
 [>................................................................] 3/157   Step: 967ms | Tot: 2s946ms | Loss: 0.034 | Acc: 99.479% (764/768)              
 [=>...............................................................] 4/157   Step: 1s153ms | Tot: 4s100ms | Loss: 0.034 | Acc: 99.414% (1018/1024)              
 [=>...............................................................] 5/157   Step: 970ms | Tot: 5s70ms | Loss: 0.031 | Acc: 99.531% (1274/1280)              
 [==>..............................................................] 6/157   Step: 977ms | Tot: 6s48ms | Loss: 0.033 | Acc: 99.544% (1529/1536)              
 [==>..............................................................] 7/157   Step: 993ms | Tot: 7s41ms | Loss: 0.032 | Acc: 99.609% (1785/1792)              
 [==>..............................................................] 8/157   Step: 974ms | Tot: 8s16ms | Loss: 0.030 | Acc: 99.658% (2041/2048)              
 [===>.............................................................] 9/157   Step: 1s81ms | Tot: 9s98ms | Loss: 0.029 | Acc: 99.696% (2297/2304)              
 [===>.............................................................] 10/157   Step: 975ms | Tot: 10s73ms | Loss: 0.028 | Acc: 99.688% (2552/2560)              
 [====>............................................................] 11/157   Step: 965ms | Tot: 11s39ms | Loss: 0.031 | Acc: 99.609% (2805/2816)              
 [====>............................................................] 12/157   Step: 969ms | Tot: 12s9ms | Loss: 0.031 | Acc: 99.577% (3059/3072)              
 [====>............................................................] 13/157   Step: 1s102ms | Tot: 13s111ms | Loss: 0.032 | Acc: 99.549% (3313/3328)              
 [=====>...........................................................] 14/157   Step: 978ms | Tot: 14s89ms | Loss: 0.031 | Acc: 99.554% (3568/3584)              
 [=====>...........................................................] 15/157   Step: 970ms | Tot: 15s60ms | Loss: 0.032 | Acc: 99.557% (3823/3840)              
 [======>..........................................................] 16/157   Step: 965ms | Tot: 16s26ms | Loss: 0.032 | Acc: 99.561% (4078/4096)              
 [======>..........................................................] 17/157   Step: 1s2ms | Tot: 17s29ms | Loss: 0.033 | Acc: 99.540% (4332/4352)              
 [=======>.........................................................] 18/157   Step: 1s87ms | Tot: 18s116ms | Loss: 0.033 | Acc: 99.544% (4587/4608)              
 [=======>.........................................................] 19/157   Step: 983ms | Tot: 19s99ms | Loss: 0.033 | Acc: 99.486% (4839/4864)              
 [=======>.........................................................] 20/157   Step: 987ms | Tot: 20s87ms | Loss: 0.033 | Acc: 99.512% (5095/5120)              
 [========>........................................................] 21/157   Step: 971ms | Tot: 21s59ms | Loss: 0.033 | Acc: 99.516% (5350/5376)              
 [========>........................................................] 22/157   Step: 1s107ms | Tot: 22s166ms | Loss: 0.033 | Acc: 99.538% (5606/5632)              
 [=========>.......................................................] 23/157   Step: 963ms | Tot: 23s129ms | Loss: 0.033 | Acc: 99.541% (5861/5888)              
 [=========>.......................................................] 24/157   Step: 963ms | Tot: 24s93ms | Loss: 0.032 | Acc: 99.561% (6117/6144)              
 [=========>.......................................................] 25/157   Step: 968ms | Tot: 25s62ms | Loss: 0.032 | Acc: 99.578% (6373/6400)              
 [==========>......................................................] 26/157   Step: 973ms | Tot: 26s35ms | Loss: 0.032 | Acc: 99.564% (6627/6656)              
 [==========>......................................................] 27/157   Step: 1s97ms | Tot: 27s133ms | Loss: 0.032 | Acc: 99.537% (6880/6912)              
 [===========>.....................................................] 28/157   Step: 966ms | Tot: 28s99ms | Loss: 0.031 | Acc: 99.554% (7136/7168)              
 [===========>.....................................................] 29/157   Step: 962ms | Tot: 29s62ms | Loss: 0.031 | Acc: 99.555% (7391/7424)              
 [============>....................................................] 30/157   Step: 961ms | Tot: 30s24ms | Loss: 0.031 | Acc: 99.544% (7645/7680)              
 [============>....................................................] 31/157   Step: 971ms | Tot: 30s996ms | Loss: 0.031 | Acc: 99.559% (7901/7936)              
