cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the whole dataset.
load parameters
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/157   Step: 1m11s | Tot: 0ms | Loss: 0.026 | Acc: 99.219% (254/256)              
 [>................................................................] 2/157   Step: 1s979ms | Tot: 1s979ms | Loss: 0.022 | Acc: 99.414% (509/512)              
 [>................................................................] 3/157   Step: 992ms | Tot: 2s971ms | Loss: 0.024 | Acc: 99.479% (764/768)              
 [=>...............................................................] 4/157   Step: 1s140ms | Tot: 4s111ms | Loss: 0.024 | Acc: 99.512% (1019/1024)              
 [=>...............................................................] 5/157   Step: 962ms | Tot: 5s73ms | Loss: 0.025 | Acc: 99.531% (1274/1280)              
 [==>..............................................................] 6/157   Step: 969ms | Tot: 6s43ms | Loss: 0.026 | Acc: 99.414% (1527/1536)              
 [==>..............................................................] 7/157   Step: 970ms | Tot: 7s13ms | Loss: 0.025 | Acc: 99.442% (1782/1792)              
 [==>..............................................................] 8/157   Step: 965ms | Tot: 7s979ms | Loss: 0.024 | Acc: 99.512% (2038/2048)              
 [===>.............................................................] 9/157   Step: 1s69ms | Tot: 9s48ms | Loss: 0.023 | Acc: 99.566% (2294/2304)              
 [===>.............................................................] 10/157   Step: 962ms | Tot: 10s11ms | Loss: 0.026 | Acc: 99.531% (2548/2560)              
 [====>............................................................] 11/157   Step: 961ms | Tot: 10s972ms | Loss: 0.025 | Acc: 99.574% (2804/2816)              
 [====>............................................................] 12/157   Step: 963ms | Tot: 11s936ms | Loss: 0.025 | Acc: 99.609% (3060/3072)              
 [====>............................................................] 13/157   Step: 1s90ms | Tot: 13s26ms | Loss: 0.025 | Acc: 99.639% (3316/3328)              
 [=====>...........................................................] 14/157   Step: 969ms | Tot: 13s996ms | Loss: 0.024 | Acc: 99.665% (3572/3584)              
 [=====>...........................................................] 15/157   Step: 969ms | Tot: 14s965ms | Loss: 0.024 | Acc: 99.661% (3827/3840)              
 [======>..........................................................] 16/157   Step: 978ms | Tot: 15s943ms | Loss: 0.024 | Acc: 99.658% (4082/4096)              
 [======>..........................................................] 17/157   Step: 971ms | Tot: 16s915ms | Loss: 0.023 | Acc: 99.678% (4338/4352)              
 [=======>.........................................................] 18/157   Step: 1s75ms | Tot: 17s990ms | Loss: 0.023 | Acc: 99.674% (4593/4608)              
 [=======>.........................................................] 19/157   Step: 962ms | Tot: 18s952ms | Loss: 0.023 | Acc: 99.671% (4848/4864)              
 [=======>.........................................................] 20/157   Step: 970ms | Tot: 19s923ms | Loss: 0.023 | Acc: 99.688% (5104/5120)              
 [========>........................................................] 21/157   Step: 972ms | Tot: 20s895ms | Loss: 0.022 | Acc: 99.702% (5360/5376)              
 [========>........................................................] 22/157   Step: 1s96ms | Tot: 21s991ms | Loss: 0.022 | Acc: 99.716% (5616/5632)              
 [=========>.......................................................] 23/157   Step: 980ms | Tot: 22s972ms | Loss: 0.022 | Acc: 99.728% (5872/5888)              
 [=========>.......................................................] 24/157   Step: 974ms | Tot: 23s946ms | Loss: 0.022 | Acc: 99.723% (6127/6144)              
 [=========>.......................................................] 25/157   Step: 965ms | Tot: 24s912ms | Loss: 0.021 | Acc: 99.734% (6383/6400)              
 [==========>......................................................] 26/157   Step: 964ms | Tot: 25s877ms | Loss: 0.022 | Acc: 99.730% (6638/6656)              
 [==========>......................................................] 27/157   Step: 1s123ms | Tot: 27s | Loss: 0.022 | Acc: 99.725% (6893/6912)              
 [===========>.....................................................] 28/157   Step: 970ms | Tot: 27s970ms | Loss: 0.021 | Acc: 99.735% (7149/7168)              
 [===========>.....................................................] 29/157   Step: 971ms | Tot: 28s942ms | Loss: 0.022 | Acc: 99.717% (7403/7424)              
 [============>....................................................] 30/157   Step: 963ms | Tot: 29s905ms | Loss: 0.021 | Acc: 99.714% (7658/7680)              
 [============>....................................................] 31/157   Step: 960ms | Tot: 30s865ms | Loss: 0.021 | Acc: 99.710% (7913/7936)              
 [============>....................................................] 32/157   Step: 1s71ms | Tot: 31s937ms | Loss: 0.021 | Acc: 99.707% (8168/8192)              
 [=============>...................................................] 33/157   Step: 977ms | Tot: 32s914ms | Loss: 0.021 | Acc: 99.716% (8424/8448)              
 [=============>...................................................] 34/157   Step: 964ms | Tot: 33s878ms | Loss: 0.021 | Acc: 99.713% (8679/8704)              
 [==============>..................................................] 35/157   Step: 966ms | Tot: 34s844ms | Loss: 0.021 | Acc: 99.710% (8934/8960)              
 [==============>..................................................] 36/157   Step: 1s77ms | Tot: 35s922ms | Loss: 0.021 | Acc: 99.718% (9190/9216)              
 [==============>..................................................] 37/157   Step: 966ms | Tot: 36s889ms | Loss: 0.021 | Acc: 99.726% (9446/9472)              
 [===============>.................................................] 38/157   Step: 967ms | Tot: 37s857ms | Loss: 0.021 | Acc: 99.733% (9702/9728)              
 [===============>.................................................] 39/157   Step: 965ms | Tot: 38s823ms | Loss: 0.021 | Acc: 99.720% (9956/9984)              
 [================>................................................] 40/157   Step: 964ms | Tot: 39s787ms | Loss: 0.022 | Acc: 99.727% (10212/10240)              
 [================>................................................] 41/157   Step: 1s86ms | Tot: 40s874ms | Loss: 0.022 | Acc: 99.714% (10466/10496)              
 [================>................................................] 42/157   Step: 976ms | Tot: 41s850ms | Loss: 0.021 | Acc: 99.721% (10722/10752)              
 [=================>...............................................] 43/157   Step: 979ms | Tot: 42s829ms | Loss: 0.021 | Acc: 99.727% (10978/11008)              
 [=================>...............................................] 44/157   Step: 970ms | Tot: 43s800ms | Loss: 0.021 | Acc: 99.725% (11233/11264)              
 [==================>..............................................] 45/157   Step: 966ms | Tot: 44s766ms | Loss: 0.021 | Acc: 99.722% (11488/11520)              
 [==================>..............................................] 46/157   Step: 1s104ms | Tot: 45s870ms | Loss: 0.021 | Acc: 99.728% (11744/11776)              
 [===================>.............................................] 47/157   Step: 971ms | Tot: 46s841ms | Loss: 0.021 | Acc: 99.726% (11999/12032)              
 [===================>.............................................] 48/157   Step: 972ms | Tot: 47s814ms | Loss: 0.021 | Acc: 99.731% (12255/12288)              
 [===================>.............................................] 49/157   Step: 965ms | Tot: 48s779ms | Loss: 0.021 | Acc: 99.721% (12509/12544)              
 [====================>............................................] 50/157   Step: 1s86ms | Tot: 49s866ms | Loss: 0.021 | Acc: 99.727% (12765/12800)              
