cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 1
Train with the cl selected dataset.
------------------ Start to select subsets ------------------
Selected 70 percent training data.
Use multiple GPU to train the network.
Use 150 epochs

Epoch: 0
 [>................................................................] 1/110   Step: 1m3s | Tot: 0ms | Loss: 2.337 | Acc: 9.375% (24/256)              
 [>................................................................] 2/110   Step: 1s980ms | Tot: 1s980ms | Loss: 2.317 | Acc: 13.086% (67/512)              
 [=>...............................................................] 3/110   Step: 986ms | Tot: 2s967ms | Loss: 2.252 | Acc: 15.495% (119/768)              
 [=>...............................................................] 4/110   Step: 1s133ms | Tot: 4s100ms | Loss: 2.232 | Acc: 16.113% (165/1024)              
 [==>..............................................................] 5/110   Step: 957ms | Tot: 5s58ms | Loss: 2.231 | Acc: 16.875% (216/1280)              
 [==>..............................................................] 6/110   Step: 962ms | Tot: 6s20ms | Loss: 2.208 | Acc: 17.513% (269/1536)              
 [===>.............................................................] 7/110   Step: 958ms | Tot: 6s979ms | Loss: 2.207 | Acc: 18.248% (327/1792)              
 [====>............................................................] 8/110   Step: 964ms | Tot: 7s943ms | Loss: 2.192 | Acc: 18.359% (376/2048)              
 [====>............................................................] 9/110   Step: 1s62ms | Tot: 9s6ms | Loss: 2.190 | Acc: 19.575% (451/2304)              
 [=====>...........................................................] 10/110   Step: 957ms | Tot: 9s964ms | Loss: 2.175 | Acc: 19.805% (507/2560)              
 [=====>...........................................................] 11/110   Step: 958ms | Tot: 10s923ms | Loss: 2.173 | Acc: 20.348% (573/2816)              
 [======>..........................................................] 12/110   Step: 952ms | Tot: 11s875ms | Loss: 2.169 | Acc: 20.573% (632/3072)              
 [=======>.........................................................] 13/110   Step: 979ms | Tot: 12s855ms | Loss: 2.158 | Acc: 20.853% (694/3328)              
 [=======>.........................................................] 14/110   Step: 1s65ms | Tot: 13s920ms | Loss: 2.158 | Acc: 20.982% (752/3584)              
 [========>........................................................] 15/110   Step: 964ms | Tot: 14s885ms | Loss: 2.139 | Acc: 21.589% (829/3840)              
 [========>........................................................] 16/110   Step: 965ms | Tot: 15s851ms | Loss: 2.131 | Acc: 21.997% (901/4096)              
 [=========>.......................................................] 17/110   Step: 967ms | Tot: 16s818ms | Loss: 2.125 | Acc: 22.610% (984/4352)              
 [==========>......................................................] 18/110   Step: 1s74ms | Tot: 17s892ms | Loss: 2.107 | Acc: 23.090% (1064/4608)              
 [==========>......................................................] 19/110   Step: 963ms | Tot: 18s856ms | Loss: 2.092 | Acc: 23.664% (1151/4864)              
 [===========>.....................................................] 20/110   Step: 963ms | Tot: 19s819ms | Loss: 2.084 | Acc: 24.141% (1236/5120)              
 [===========>.....................................................] 21/110   Step: 960ms | Tot: 20s779ms | Loss: 2.086 | Acc: 24.144% (1298/5376)              
 [============>....................................................] 22/110   Step: 960ms | Tot: 21s740ms | Loss: 2.074 | Acc: 24.538% (1382/5632)              
 [=============>...................................................] 23/110   Step: 1s106ms | Tot: 22s846ms | Loss: 2.066 | Acc: 24.796% (1460/5888)              
 [=============>...................................................] 24/110   Step: 960ms | Tot: 23s807ms | Loss: 2.066 | Acc: 25.016% (1537/6144)              
 [==============>..................................................] 25/110   Step: 954ms | Tot: 24s761ms | Loss: 2.058 | Acc: 25.281% (1618/6400)              
 [==============>..................................................] 26/110   Step: 955ms | Tot: 25s717ms | Loss: 2.051 | Acc: 25.586% (1703/6656)              
 [===============>.................................................] 27/110   Step: 1s92ms | Tot: 26s809ms | Loss: 2.039 | Acc: 26.056% (1801/6912)              
 [===============>.................................................] 28/110   Step: 957ms | Tot: 27s767ms | Loss: 2.030 | Acc: 26.423% (1894/7168)              
 [================>................................................] 29/110   Step: 953ms | Tot: 28s720ms | Loss: 2.027 | Acc: 26.630% (1977/7424)              
 [=================>...............................................] 30/110   Step: 957ms | Tot: 29s678ms | Loss: 2.019 | Acc: 26.836% (2061/7680)              
 [=================>...............................................] 31/110   Step: 964ms | Tot: 30s642ms | Loss: 2.012 | Acc: 27.016% (2144/7936)              
 [==================>..............................................] 32/110   Step: 1s58ms | Tot: 31s701ms | Loss: 2.009 | Acc: 27.075% (2218/8192)              
 [==================>..............................................] 33/110   Step: 978ms | Tot: 32s680ms | Loss: 2.006 | Acc: 27.285% (2305/8448)              
 [===================>.............................................] 34/110   Step: 953ms | Tot: 33s634ms | Loss: 2.002 | Acc: 27.378% (2383/8704)              
 [====================>............................................] 35/110   Step: 962ms | Tot: 34s597ms | Loss: 1.998 | Acc: 27.489% (2463/8960)              
 [====================>............................................] 36/110   Step: 1s69ms | Tot: 35s666ms | Loss: 1.996 | Acc: 27.745% (2557/9216)              
