There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
load parameters
Now try to run the algorithm EGDIS with the generated sample dataset.
Selected 6506 samples
Use multiple GPU to train the network.

Epoch: 0
 [>................................................................] 1/26   Step: 43s69ms | Tot: 0ms | Loss: 0.075 | Acc: 96.484% (247/256)              
 [==>..............................................................] 2/26   Step: 1s961ms | Tot: 1s961ms | Loss: 0.059 | Acc: 97.461% (499/512)              
 [=====>...........................................................] 3/26   Step: 967ms | Tot: 2s929ms | Loss: 0.054 | Acc: 97.786% (751/768)              
 [=======>.........................................................] 4/26   Step: 1s136ms | Tot: 4s65ms | Loss: 0.049 | Acc: 98.145% (1005/1024)              
 [==========>......................................................] 5/26   Step: 958ms | Tot: 5s24ms | Loss: 0.050 | Acc: 98.125% (1256/1280)              
 [============>....................................................] 6/26   Step: 959ms | Tot: 5s984ms | Loss: 0.051 | Acc: 98.307% (1510/1536)              
 [===============>.................................................] 7/26   Step: 977ms | Tot: 6s961ms | Loss: 0.051 | Acc: 98.438% (1764/1792)              
 [=================>...............................................] 8/26   Step: 958ms | Tot: 7s919ms | Loss: 0.053 | Acc: 98.340% (2014/2048)              
 [====================>............................................] 9/26   Step: 1s65ms | Tot: 8s985ms | Loss: 0.053 | Acc: 98.351% (2266/2304)              
 [======================>..........................................] 10/26   Step: 953ms | Tot: 9s938ms | Loss: 0.052 | Acc: 98.398% (2519/2560)              
 [=========================>.......................................] 11/26   Step: 952ms | Tot: 10s890ms | Loss: 0.052 | Acc: 98.473% (2773/2816)              
 [===========================>.....................................] 12/26   Step: 954ms | Tot: 11s845ms | Loss: 0.052 | Acc: 98.470% (3025/3072)              
 [==============================>..................................] 13/26   Step: 952ms | Tot: 12s797ms | Loss: 0.052 | Acc: 98.468% (3277/3328)              
 [================================>................................] 14/26   Step: 1s59ms | Tot: 13s856ms | Loss: 0.053 | Acc: 98.465% (3529/3584)              
 [===================================>.............................] 15/26   Step: 958ms | Tot: 14s815ms | Loss: 0.052 | Acc: 98.464% (3781/3840)              
 [=====================================>...........................] 16/26   Step: 959ms | Tot: 15s774ms | Loss: 0.053 | Acc: 98.462% (4033/4096)              
 [========================================>........................] 17/26   Step: 972ms | Tot: 16s747ms | Loss: 0.052 | Acc: 98.460% (4285/4352)              
 [==========================================>......................] 18/26   Step: 1s64ms | Tot: 17s812ms | Loss: 0.054 | Acc: 98.394% (4534/4608)              
 [=============================================>...................] 19/26   Step: 952ms | Tot: 18s765ms | Loss: 0.053 | Acc: 98.417% (4787/4864)              
 [===============================================>.................] 20/26   Step: 952ms | Tot: 19s717ms | Loss: 0.055 | Acc: 98.379% (5037/5120)              
 [==================================================>..............] 21/26   Step: 953ms | Tot: 20s671ms | Loss: 0.055 | Acc: 98.382% (5289/5376)              
 [====================================================>............] 22/26   Step: 890ms | Tot: 21s562ms | Loss: 0.055 | Acc: 98.366% (5540/5632)              
 [=======================================================>.........] 23/26   Step: 956ms | Tot: 22s518ms | Loss: 0.055 | Acc: 98.353% (5791/5888)              
 [=========================================================>.......] 24/26   Step: 843ms | Tot: 23s362ms | Loss: 0.055 | Acc: 98.307% (6040/6144)              
 [============================================================>....] 25/26   Step: 857ms | Tot: 24s219ms | Loss: 0.056 | Acc: 98.234% (6287/6400)              
 [==============================================================>..] 26/26   Step: 8s744ms | Tot: 32s964ms | Loss: 0.057 | Acc: 98.171% (6387/6506)
 [>................................................................] 1/40   Step: 1s95ms | Tot: 0ms | Loss: 0.751 | Acc: 78.906% (202/256)              
 [=>...............................................................] 2/40   Step: 636ms | Tot: 636ms | Loss: 0.876 | Acc: 77.930% (399/512)              
 [===>.............................................................] 3/40   Step: 424ms | Tot: 1s60ms | Loss: 0.823 | Acc: 78.776% (605/768)              
 [====>............................................................] 4/40   Step: 417ms | Tot: 1s478ms | Loss: 0.793 | Acc: 78.906% (808/1024)              
 [======>..........................................................] 5/40   Step: 421ms | Tot: 1s900ms | Loss: 0.784 | Acc: 79.453% (1017/1280)              
 [========>........................................................] 6/40   Step: 440ms | Tot: 2s341ms | Loss: 0.811 | Acc: 79.427% (1220/1536)              
 [=========>.......................................................] 7/40   Step: 419ms | Tot: 2s761ms | Loss: 0.799 | Acc: 79.743% (1429/1792)              
 [===========>.....................................................] 8/40   Step: 523ms | Tot: 3s284ms | Loss: 0.810 | Acc: 79.541% (1629/2048)              
 [=============>...................................................] 9/40   Step: 420ms | Tot: 3s705ms | Loss: 0.816 | Acc: 79.557% (1833/2304)              
 [==============>..................................................] 10/40   Step: 417ms | Tot: 4s122ms | Loss: 0.819 | Acc: 79.414% (2033/2560)              
 [================>................................................] 11/40   Step: 418ms | Tot: 4s540ms | Loss: 0.813 | Acc: 79.474% (2238/2816)              
 [=================>...............................................] 12/40   Step: 417ms | Tot: 4s958ms | Loss: 0.819 | Acc: 79.395% (2439/3072)              
 [===================>.............................................] 13/40   Step: 417ms | Tot: 5s376ms | Loss: 0.823 | Acc: 79.117% (2633/3328)              
 [=====================>...........................................] 14/40   Step: 413ms | Tot: 5s789ms | Loss: 0.804 | Acc: 79.408% (2846/3584)              
 [======================>..........................................] 15/40   Step: 525ms | Tot: 6s314ms | Loss: 0.806 | Acc: 79.531% (3054/3840)              
 [========================>........................................] 16/40   Step: 421ms | Tot: 6s736ms | Loss: 0.811 | Acc: 79.517% (3257/4096)              
 [==========================>......................................] 17/40   Step: 421ms | Tot: 7s157ms | Loss: 0.812 | Acc: 79.274% (3450/4352)              
 [===========================>.....................................] 18/40   Step: 422ms | Tot: 7s579ms | Loss: 0.814 | Acc: 79.210% (3650/4608)              
 [=============================>...................................] 19/40   Step: 418ms | Tot: 7s998ms | Loss: 0.811 | Acc: 79.297% (3857/4864)              
 [==============================>..................................] 20/40   Step: 415ms | Tot: 8s413ms | Loss: 0.819 | Acc: 79.180% (4054/5120)              
 [================================>................................] 21/40   Step: 415ms | Tot: 8s829ms | Loss: 0.821 | Acc: 79.092% (4252/5376)              
