There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Start to select 6506 samples for a fair comparison.
Selected 5439 samples for weakness < 5
Now select extra 1067 samples by random
Train with the selected 6506 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/26   Step: 1m1s | Tot: 0ms | Loss: 0.151 | Acc: 96.094% (246/256)              
 [==>..............................................................] 2/26   Step: 1s951ms | Tot: 1s951ms | Loss: 0.145 | Acc: 96.094% (492/512)              
 [=====>...........................................................] 3/26   Step: 970ms | Tot: 2s922ms | Loss: 0.142 | Acc: 96.094% (738/768)              
 [=======>.........................................................] 4/26   Step: 1s121ms | Tot: 4s44ms | Loss: 0.160 | Acc: 95.703% (980/1024)              
 [==========>......................................................] 5/26   Step: 962ms | Tot: 5s6ms | Loss: 0.154 | Acc: 95.781% (1226/1280)              
 [============>....................................................] 6/26   Step: 962ms | Tot: 5s969ms | Loss: 0.150 | Acc: 96.094% (1476/1536)              
 [===============>.................................................] 7/26   Step: 958ms | Tot: 6s927ms | Loss: 0.156 | Acc: 95.871% (1718/1792)              
 [=================>...............................................] 8/26   Step: 972ms | Tot: 7s899ms | Loss: 0.155 | Acc: 95.801% (1962/2048)              
 [====================>............................................] 9/26   Step: 1s63ms | Tot: 8s963ms | Loss: 0.160 | Acc: 95.790% (2207/2304)              
 [======================>..........................................] 10/26   Step: 962ms | Tot: 9s925ms | Loss: 0.152 | Acc: 95.977% (2457/2560)              
 [=========================>.......................................] 11/26   Step: 958ms | Tot: 10s884ms | Loss: 0.151 | Acc: 95.952% (2702/2816)              
 [===========================>.....................................] 12/26   Step: 957ms | Tot: 11s842ms | Loss: 0.153 | Acc: 95.931% (2947/3072)              
 [==============================>..................................] 13/26   Step: 1s64ms | Tot: 12s906ms | Loss: 0.160 | Acc: 95.823% (3189/3328)              
 [================================>................................] 14/26   Step: 962ms | Tot: 13s869ms | Loss: 0.155 | Acc: 95.871% (3436/3584)              
 [===================================>.............................] 15/26   Step: 962ms | Tot: 14s831ms | Loss: 0.152 | Acc: 95.990% (3686/3840)              
 [=====================================>...........................] 16/26   Step: 959ms | Tot: 15s791ms | Loss: 0.153 | Acc: 95.972% (3931/4096)              
 [========================================>........................] 17/26   Step: 974ms | Tot: 16s765ms | Loss: 0.152 | Acc: 96.025% (4179/4352)              
 [==========================================>......................] 18/26   Step: 1s86ms | Tot: 17s851ms | Loss: 0.149 | Acc: 96.094% (4428/4608)              
 [=============================================>...................] 19/26   Step: 960ms | Tot: 18s812ms | Loss: 0.146 | Acc: 96.155% (4677/4864)              
 [===============================================>.................] 20/26   Step: 959ms | Tot: 19s772ms | Loss: 0.144 | Acc: 96.230% (4927/5120)              
 [==================================================>..............] 21/26   Step: 958ms | Tot: 20s730ms | Loss: 0.144 | Acc: 96.243% (5174/5376)              
 [====================================================>............] 22/26   Step: 1s38ms | Tot: 21s768ms | Loss: 0.145 | Acc: 96.236% (5420/5632)              
 [=======================================================>.........] 23/26   Step: 847ms | Tot: 22s616ms | Loss: 0.145 | Acc: 96.196% (5664/5888)              
 [=========================================================>.......] 24/26   Step: 846ms | Tot: 23s463ms | Loss: 0.142 | Acc: 96.240% (5913/6144)              
 [============================================================>....] 25/26   Step: 845ms | Tot: 24s309ms | Loss: 0.141 | Acc: 96.266% (6161/6400)              
 [==============================================================>..] 26/26   Step: 8s548ms | Tot: 32s858ms | Loss: 0.142 | Acc: 96.219% (6260/6506)
 [>................................................................] 1/40   Step: 1s308ms | Tot: 0ms | Loss: 0.769 | Acc: 78.906% (202/256)              
 [=>...............................................................] 2/40   Step: 433ms | Tot: 433ms | Loss: 0.776 | Acc: 79.297% (406/512)              
 [===>.............................................................] 3/40   Step: 423ms | Tot: 857ms | Loss: 0.742 | Acc: 80.469% (618/768)              
 [====>............................................................] 4/40   Step: 416ms | Tot: 1s274ms | Loss: 0.751 | Acc: 80.957% (829/1024)              
 [======>..........................................................] 5/40   Step: 417ms | Tot: 1s692ms | Loss: 0.752 | Acc: 81.328% (1041/1280)              
 [========>........................................................] 6/40   Step: 419ms | Tot: 2s111ms | Loss: 0.765 | Acc: 80.794% (1241/1536)              
 [=========>.......................................................] 7/40   Step: 532ms | Tot: 2s644ms | Loss: 0.773 | Acc: 80.469% (1442/1792)              
 [===========>.....................................................] 8/40   Step: 423ms | Tot: 3s67ms | Loss: 0.765 | Acc: 80.518% (1649/2048)              
 [=============>...................................................] 9/40   Step: 428ms | Tot: 3s496ms | Loss: 0.760 | Acc: 80.512% (1855/2304)              
 [==============>..................................................] 10/40   Step: 420ms | Tot: 3s916ms | Loss: 0.755 | Acc: 80.625% (2064/2560)              
 [================>................................................] 11/40   Step: 420ms | Tot: 4s336ms | Loss: 0.744 | Acc: 80.682% (2272/2816)              
 [=================>...............................................] 12/40   Step: 525ms | Tot: 4s862ms | Loss: 0.750 | Acc: 80.632% (2477/3072)              
 [===================>.............................................] 13/40   Step: 420ms | Tot: 5s283ms | Loss: 0.765 | Acc: 80.228% (2670/3328)              
 [=====================>...........................................] 14/40   Step: 420ms | Tot: 5s704ms | Loss: 0.774 | Acc: 80.162% (2873/3584)              
 [======================>..........................................] 15/40   Step: 422ms | Tot: 6s126ms | Loss: 0.775 | Acc: 80.052% (3074/3840)              
 [========================>........................................] 16/40   Step: 419ms | Tot: 6s545ms | Loss: 0.779 | Acc: 80.078% (3280/4096)              
 [==========================>......................................] 17/40   Step: 421ms | Tot: 6s967ms | Loss: 0.791 | Acc: 79.940% (3479/4352)              
 [===========================>.....................................] 18/40   Step: 524ms | Tot: 7s492ms | Loss: 0.793 | Acc: 79.861% (3680/4608)              
 [=============================>...................................] 19/40   Step: 424ms | Tot: 7s916ms | Loss: 0.792 | Acc: 79.934% (3888/4864)              
 [==============================>..................................] 20/40   Step: 420ms | Tot: 8s337ms | Loss: 0.796 | Acc: 79.824% (4087/5120)              
