cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 9674 samples for weakkness <= 7.
Train with the selected 9674 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/38   Step: 1m41ms | Tot: 0ms | Loss: 0.194 | Acc: 94.531% (242/256)              
 [=>...............................................................] 2/38   Step: 1s960ms | Tot: 1s960ms | Loss: 0.159 | Acc: 94.531% (484/512)              
 [===>.............................................................] 3/38   Step: 979ms | Tot: 2s940ms | Loss: 0.155 | Acc: 94.401% (725/768)              
 [=====>...........................................................] 4/38   Step: 1s126ms | Tot: 4s67ms | Loss: 0.160 | Acc: 94.434% (967/1024)              
 [======>..........................................................] 5/38   Step: 965ms | Tot: 5s32ms | Loss: 0.146 | Acc: 94.922% (1215/1280)              
 [========>........................................................] 6/38   Step: 965ms | Tot: 5s998ms | Loss: 0.145 | Acc: 95.052% (1460/1536)              
 [==========>......................................................] 7/38   Step: 968ms | Tot: 6s966ms | Loss: 0.143 | Acc: 94.978% (1702/1792)              
 [===========>.....................................................] 8/38   Step: 974ms | Tot: 7s940ms | Loss: 0.137 | Acc: 95.215% (1950/2048)              
 [=============>...................................................] 9/38   Step: 1s77ms | Tot: 9s18ms | Loss: 0.129 | Acc: 95.573% (2202/2304)              
 [===============>.................................................] 10/38   Step: 967ms | Tot: 9s986ms | Loss: 0.125 | Acc: 95.703% (2450/2560)              
 [=================>...............................................] 11/38   Step: 963ms | Tot: 10s949ms | Loss: 0.117 | Acc: 96.023% (2704/2816)              
 [==================>..............................................] 12/38   Step: 968ms | Tot: 11s917ms | Loss: 0.116 | Acc: 96.159% (2954/3072)              
 [====================>............................................] 13/38   Step: 962ms | Tot: 12s880ms | Loss: 0.117 | Acc: 96.064% (3197/3328)              
 [======================>..........................................] 14/38   Step: 1s70ms | Tot: 13s950ms | Loss: 0.113 | Acc: 96.177% (3447/3584)              
 [=======================>.........................................] 15/38   Step: 966ms | Tot: 14s916ms | Loss: 0.112 | Acc: 96.276% (3697/3840)              
 [=========================>.......................................] 16/38   Step: 964ms | Tot: 15s881ms | Loss: 0.110 | Acc: 96.313% (3945/4096)              
 [===========================>.....................................] 17/38   Step: 974ms | Tot: 16s856ms | Loss: 0.110 | Acc: 96.347% (4193/4352)              
 [=============================>...................................] 18/38   Step: 1s94ms | Tot: 17s950ms | Loss: 0.109 | Acc: 96.354% (4440/4608)              
 [==============================>..................................] 19/38   Step: 965ms | Tot: 18s916ms | Loss: 0.108 | Acc: 96.443% (4691/4864)              
 [================================>................................] 20/38   Step: 968ms | Tot: 19s885ms | Loss: 0.107 | Acc: 96.504% (4941/5120)              
 [==================================>..............................] 21/38   Step: 971ms | Tot: 20s856ms | Loss: 0.105 | Acc: 96.540% (5190/5376)              
 [===================================>.............................] 22/38   Step: 966ms | Tot: 21s822ms | Loss: 0.103 | Acc: 96.662% (5444/5632)              
 [=====================================>...........................] 23/38   Step: 1s108ms | Tot: 22s931ms | Loss: 0.102 | Acc: 96.705% (5694/5888)              
 [=======================================>.........................] 24/38   Step: 970ms | Tot: 23s901ms | Loss: 0.099 | Acc: 96.794% (5947/6144)              
 [=========================================>.......................] 25/38   Step: 965ms | Tot: 24s867ms | Loss: 0.099 | Acc: 96.844% (6198/6400)              
 [==========================================>......................] 26/38   Step: 971ms | Tot: 25s839ms | Loss: 0.098 | Acc: 96.890% (6449/6656)              
 [============================================>....................] 27/38   Step: 1s74ms | Tot: 26s913ms | Loss: 0.098 | Acc: 96.889% (6697/6912)              
 [==============================================>..................] 28/38   Step: 968ms | Tot: 27s881ms | Loss: 0.097 | Acc: 96.875% (6944/7168)              
 [===============================================>.................] 29/38   Step: 974ms | Tot: 28s855ms | Loss: 0.096 | Acc: 96.915% (7195/7424)              
 [=================================================>...............] 30/38   Step: 967ms | Tot: 29s823ms | Loss: 0.094 | Acc: 97.018% (7451/7680)              
 [===================================================>.............] 31/38   Step: 966ms | Tot: 30s789ms | Loss: 0.093 | Acc: 97.064% (7703/7936)              
 [=====================================================>...........] 32/38   Step: 1s68ms | Tot: 31s857ms | Loss: 0.092 | Acc: 97.119% (7956/8192)              
 [======================================================>..........] 33/38   Step: 962ms | Tot: 32s820ms | Loss: 0.090 | Acc: 97.171% (8209/8448)              
 [========================================================>........] 34/38   Step: 945ms | Tot: 33s766ms | Loss: 0.089 | Acc: 97.220% (8462/8704)              
 [==========================================================>......] 35/38   Step: 856ms | Tot: 34s622ms | Loss: 0.089 | Acc: 97.243% (8713/8960)              
 [===========================================================>.....] 36/38   Step: 958ms | Tot: 35s580ms | Loss: 0.087 | Acc: 97.298% (8967/9216)              
 [=============================================================>...] 37/38   Step: 856ms | Tot: 36s436ms | Loss: 0.086 | Acc: 97.350% (9221/9472)              
 [===============================================================>.] 38/38   Step: 9s503ms | Tot: 45s939ms | Loss: 0.086 | Acc: 97.364% (9419/9674)
 [>................................................................] 1/40   Step: 1s120ms | Tot: 0ms | Loss: 0.439 | Acc: 86.328% (221/256)              
 [=>...............................................................] 2/40   Step: 439ms | Tot: 439ms | Loss: 0.523 | Acc: 84.180% (431/512)              
 [===>.............................................................] 3/40   Step: 438ms | Tot: 878ms | Loss: 0.510 | Acc: 85.026% (653/768)              
 [====>............................................................] 4/40   Step: 636ms | Tot: 1s514ms | Loss: 0.494 | Acc: 85.449% (875/1024)              
 [======>..........................................................] 5/40   Step: 426ms | Tot: 1s941ms | Loss: 0.481 | Acc: 85.938% (1100/1280)              
 [========>........................................................] 6/40   Step: 428ms | Tot: 2s369ms | Loss: 0.490 | Acc: 85.807% (1318/1536)              
 [=========>.......................................................] 7/40   Step: 426ms | Tot: 2s796ms | Loss: 0.487 | Acc: 86.161% (1544/1792)              
 [===========>.....................................................] 8/40   Step: 427ms | Tot: 3s223ms | Loss: 0.475 | Acc: 86.328% (1768/2048)              
 [=============>...................................................] 9/40   Step: 531ms | Tot: 3s755ms | Loss: 0.475 | Acc: 86.241% (1987/2304)              
 [==============>..................................................] 10/40   Step: 429ms | Tot: 4s184ms | Loss: 0.466 | Acc: 86.484% (2214/2560)              
 [================>................................................] 11/40   Step: 425ms | Tot: 4s609ms | Loss: 0.458 | Acc: 86.790% (2444/2816)              
 [=================>...............................................] 12/40   Step: 427ms | Tot: 5s36ms | Loss: 0.471 | Acc: 86.621% (2661/3072)              
 [===================>.............................................] 13/40   Step: 422ms | Tot: 5s459ms | Loss: 0.469 | Acc: 86.689% (2885/3328)              
 [=====================>...........................................] 14/40   Step: 424ms | Tot: 5s884ms | Loss: 0.460 | Acc: 86.802% (3111/3584)              
 [======================>..........................................] 15/40   Step: 527ms | Tot: 6s412ms | Loss: 0.465 | Acc: 86.745% (3331/3840)              
 [========================>........................................] 16/40   Step: 426ms | Tot: 6s839ms | Loss: 0.474 | Acc: 86.621% (3548/4096)              
 [==========================>......................................] 17/40   Step: 424ms | Tot: 7s263ms | Loss: 0.474 | Acc: 86.742% (3775/4352)              
 [===========================>.....................................] 18/40   Step: 424ms | Tot: 7s687ms | Loss: 0.488 | Acc: 86.458% (3984/4608)              
 [=============================>...................................] 19/40   Step: 426ms | Tot: 8s114ms | Loss: 0.485 | Acc: 86.390% (4202/4864)              
 [==============================>..................................] 20/40   Step: 529ms | Tot: 8s644ms | Loss: 0.484 | Acc: 86.367% (4422/5120)              
 [================================>................................] 21/40   Step: 429ms | Tot: 9s73ms | Loss: 0.488 | Acc: 86.254% (4637/5376)              
 [==================================>..............................] 22/40   Step: 426ms | Tot: 9s500ms | Loss: 0.491 | Acc: 86.204% (4855/5632)              
 [===================================>.............................] 23/40   Step: 424ms | Tot: 9s925ms | Loss: 0.495 | Acc: 86.141% (5072/5888)              
 [=====================================>...........................] 24/40   Step: 428ms | Tot: 10s353ms | Loss: 0.490 | Acc: 86.312% (5303/6144)              
 [=======================================>.........................] 25/40   Step: 432ms | Tot: 10s785ms | Loss: 0.494 | Acc: 86.297% (5523/6400)              
 [========================================>........................] 26/40   Step: 542ms | Tot: 11s327ms | Loss: 0.502 | Acc: 86.043% (5727/6656)              
 [==========================================>......................] 27/40   Step: 431ms | Tot: 11s758ms | Loss: 0.505 | Acc: 85.995% (5944/6912)              
 [===========================================>.....................] 28/40   Step: 427ms | Tot: 12s185ms | Loss: 0.508 | Acc: 85.951% (6161/7168)              
 [=============================================>...................] 29/40   Step: 430ms | Tot: 12s616ms | Loss: 0.509 | Acc: 85.964% (6382/7424)              
 [===============================================>.................] 30/40   Step: 425ms | Tot: 13s42ms | Loss: 0.506 | Acc: 86.016% (6606/7680)              
 [================================================>................] 31/40   Step: 526ms | Tot: 13s569ms | Loss: 0.506 | Acc: 86.001% (6825/7936)              
 [==================================================>..............] 32/40   Step: 418ms | Tot: 13s988ms | Loss: 0.505 | Acc: 85.999% (7045/8192)              
 [====================================================>............] 33/40   Step: 420ms | Tot: 14s408ms | Loss: 0.504 | Acc: 85.997% (7265/8448)              
 [=====================================================>...........] 34/40   Step: 418ms | Tot: 14s827ms | Loss: 0.503 | Acc: 85.983% (7484/8704)              
 [=======================================================>.........] 35/40   Step: 420ms | Tot: 15s248ms | Loss: 0.504 | Acc: 85.993% (7705/8960)              
 [========================================================>........] 36/40   Step: 379ms | Tot: 15s628ms | Loss: 0.508 | Acc: 85.927% (7919/9216)              
 [==========================================================>......] 37/40   Step: 478ms | Tot: 16s106ms | Loss: 0.506 | Acc: 85.969% (8143/9472)              
 [============================================================>....] 38/40   Step: 378ms | Tot: 16s485ms | Loss: 0.506 | Acc: 85.855% (8352/9728)              
 [=============================================================>...] 39/40   Step: 377ms | Tot: 16s862ms | Loss: 0.505 | Acc: 85.897% (8576/9984)              
 [===============================================================>.] 40/40   Step: 2s306ms | Tot: 19s169ms | Loss: 0.506 | Acc: 85.870% (8587/10000)
Saving with better validation accuracy model: 85.870..

Epoch: 1
 [>................................................................] 1/38   Step: 3s63ms | Tot: 0ms | Loss: 0.035 | Acc: 99.219% (254/256)              
 [=>...............................................................] 2/38   Step: 1s141ms | Tot: 1s141ms | Loss: 0.056 | Acc: 98.438% (504/512)              
 [===>.............................................................] 3/38   Step: 983ms | Tot: 2s125ms | Loss: 0.055 | Acc: 98.568% (757/768)              
 [=====>...........................................................] 4/38   Step: 988ms | Tot: 3s114ms | Loss: 0.051 | Acc: 98.828% (1012/1024)              
 [======>..........................................................] 5/38   Step: 985ms | Tot: 4s99ms | Loss: 0.048 | Acc: 98.984% (1267/1280)              
 [========>........................................................] 6/38   Step: 1s85ms | Tot: 5s184ms | Loss: 0.047 | Acc: 99.089% (1522/1536)              
 [==========>......................................................] 7/38   Step: 982ms | Tot: 6s166ms | Loss: 0.048 | Acc: 99.051% (1775/1792)              
 [===========>.....................................................] 8/38   Step: 979ms | Tot: 7s145ms | Loss: 0.045 | Acc: 99.170% (2031/2048)              
 [=============>...................................................] 9/38   Step: 974ms | Tot: 8s120ms | Loss: 0.044 | Acc: 99.089% (2283/2304)              
 [===============>.................................................] 10/38   Step: 994ms | Tot: 9s115ms | Loss: 0.042 | Acc: 99.141% (2538/2560)              
 [=================>...............................................] 11/38   Step: 1s68ms | Tot: 10s183ms | Loss: 0.041 | Acc: 99.219% (2794/2816)              
 [==================>..............................................] 12/38   Step: 961ms | Tot: 11s144ms | Loss: 0.041 | Acc: 99.154% (3046/3072)              
 [====================>............................................] 13/38   Step: 963ms | Tot: 12s108ms | Loss: 0.041 | Acc: 99.159% (3300/3328)              
 [======================>..........................................] 14/38   Step: 961ms | Tot: 13s70ms | Loss: 0.041 | Acc: 99.107% (3552/3584)              
 [=======================>.........................................] 15/38   Step: 1s68ms | Tot: 14s138ms | Loss: 0.040 | Acc: 99.167% (3808/3840)              
 [=========================>.......................................] 16/38   Step: 972ms | Tot: 15s111ms | Loss: 0.040 | Acc: 99.121% (4060/4096)              
 [===========================>.....................................] 17/38   Step: 965ms | Tot: 16s76ms | Loss: 0.040 | Acc: 99.104% (4313/4352)              
 [=============================>...................................] 18/38   Step: 965ms | Tot: 17s42ms | Loss: 0.040 | Acc: 99.089% (4566/4608)              
 [==============================>..................................] 19/38   Step: 964ms | Tot: 18s6ms | Loss: 0.040 | Acc: 99.075% (4819/4864)              
