cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 90 percent training data.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/141   Step: 43s791ms | Tot: 0ms | Loss: 0.105 | Acc: 96.484% (247/256)              
 [>................................................................] 2/141   Step: 2s61ms | Tot: 2s61ms | Loss: 0.121 | Acc: 96.289% (493/512)              
 [>................................................................] 3/141   Step: 963ms | Tot: 3s25ms | Loss: 0.118 | Acc: 96.484% (741/768)              
 [=>...............................................................] 4/141   Step: 1s152ms | Tot: 4s178ms | Loss: 0.120 | Acc: 96.094% (984/1024)              
 [=>...............................................................] 5/141   Step: 948ms | Tot: 5s127ms | Loss: 0.125 | Acc: 95.781% (1226/1280)              
 [==>..............................................................] 6/141   Step: 955ms | Tot: 6s82ms | Loss: 0.128 | Acc: 95.768% (1471/1536)              
 [==>..............................................................] 7/141   Step: 949ms | Tot: 7s31ms | Loss: 0.132 | Acc: 95.703% (1715/1792)              
 [===>.............................................................] 8/141   Step: 952ms | Tot: 7s984ms | Loss: 0.129 | Acc: 95.801% (1962/2048)              
 [===>.............................................................] 9/141   Step: 1s54ms | Tot: 9s38ms | Loss: 0.127 | Acc: 95.833% (2208/2304)              
 [====>............................................................] 10/141   Step: 951ms | Tot: 9s990ms | Loss: 0.123 | Acc: 95.938% (2456/2560)              
 [====>............................................................] 11/141   Step: 956ms | Tot: 10s947ms | Loss: 0.122 | Acc: 95.916% (2701/2816)              
 [=====>...........................................................] 12/141   Step: 965ms | Tot: 11s912ms | Loss: 0.127 | Acc: 95.703% (2940/3072)              
 [=====>...........................................................] 13/141   Step: 957ms | Tot: 12s869ms | Loss: 0.126 | Acc: 95.733% (3186/3328)              
 [=====>...........................................................] 14/141   Step: 1s61ms | Tot: 13s931ms | Loss: 0.123 | Acc: 95.815% (3434/3584)              
 [======>..........................................................] 15/141   Step: 957ms | Tot: 14s889ms | Loss: 0.122 | Acc: 95.807% (3679/3840)              
 [======>..........................................................] 16/141   Step: 963ms | Tot: 15s853ms | Loss: 0.123 | Acc: 95.801% (3924/4096)              
 [=======>.........................................................] 17/141   Step: 965ms | Tot: 16s818ms | Loss: 0.122 | Acc: 95.887% (4173/4352)              
 [=======>.........................................................] 18/141   Step: 1s65ms | Tot: 17s884ms | Loss: 0.119 | Acc: 95.985% (4423/4608)              
 [========>........................................................] 19/141   Step: 960ms | Tot: 18s845ms | Loss: 0.117 | Acc: 96.053% (4672/4864)              
 [========>........................................................] 20/141   Step: 956ms | Tot: 19s801ms | Loss: 0.117 | Acc: 96.055% (4918/5120)              
 [=========>.......................................................] 21/141   Step: 962ms | Tot: 20s763ms | Loss: 0.119 | Acc: 96.038% (5163/5376)              
 [=========>.......................................................] 22/141   Step: 975ms | Tot: 21s738ms | Loss: 0.119 | Acc: 96.023% (5408/5632)              
 [==========>......................................................] 23/141   Step: 1s95ms | Tot: 22s834ms | Loss: 0.118 | Acc: 96.128% (5660/5888)              
 [==========>......................................................] 24/141   Step: 955ms | Tot: 23s790ms | Loss: 0.118 | Acc: 96.143% (5907/6144)              
 [===========>.....................................................] 25/141   Step: 950ms | Tot: 24s740ms | Loss: 0.116 | Acc: 96.188% (6156/6400)              
 [===========>.....................................................] 26/141   Step: 954ms | Tot: 25s695ms | Loss: 0.115 | Acc: 96.244% (6406/6656)              
 [===========>.....................................................] 27/141   Step: 1s60ms | Tot: 26s755ms | Loss: 0.114 | Acc: 96.282% (6655/6912)              
 [============>....................................................] 28/141   Step: 948ms | Tot: 27s704ms | Loss: 0.113 | Acc: 96.345% (6906/7168)              
 [============>....................................................] 29/141   Step: 955ms | Tot: 28s659ms | Loss: 0.111 | Acc: 96.417% (7158/7424)              
 [=============>...................................................] 30/141   Step: 951ms | Tot: 29s611ms | Loss: 0.111 | Acc: 96.406% (7404/7680)              
 [=============>...................................................] 31/141   Step: 954ms | Tot: 30s566ms | Loss: 0.111 | Acc: 96.421% (7652/7936)              
 [==============>..................................................] 32/141   Step: 1s73ms | Tot: 31s639ms | Loss: 0.113 | Acc: 96.338% (7892/8192)              
 [==============>..................................................] 33/141   Step: 955ms | Tot: 32s595ms | Loss: 0.112 | Acc: 96.390% (8143/8448)              
 [===============>.................................................] 34/141   Step: 958ms | Tot: 33s553ms | Loss: 0.111 | Acc: 96.392% (8390/8704)              
 [===============>.................................................] 35/141   Step: 954ms | Tot: 34s508ms | Loss: 0.110 | Acc: 96.440% (8641/8960)              
 [================>................................................] 36/141   Step: 956ms | Tot: 35s464ms | Loss: 0.110 | Acc: 96.387% (8883/9216)              
 [================>................................................] 37/141   Step: 1s66ms | Tot: 36s530ms | Loss: 0.109 | Acc: 96.421% (9133/9472)              
 [=================>...............................................] 38/141   Step: 952ms | Tot: 37s483ms | Loss: 0.108 | Acc: 96.474% (9385/9728)              
 [=================>...............................................] 39/141   Step: 949ms | Tot: 38s433ms | Loss: 0.107 | Acc: 96.534% (9638/9984)              
 [=================>...............................................] 40/141   Step: 948ms | Tot: 39s381ms | Loss: 0.106 | Acc: 96.582% (9890/10240)              
 [==================>..............................................] 41/141   Step: 1s64ms | Tot: 40s446ms | Loss: 0.106 | Acc: 96.589% (10138/10496)              
 [==================>..............................................] 42/141   Step: 974ms | Tot: 41s420ms | Loss: 0.106 | Acc: 96.605% (10387/10752)              
 [===================>.............................................] 43/141   Step: 961ms | Tot: 42s381ms | Loss: 0.104 | Acc: 96.648% (10639/11008)              
 [===================>.............................................] 44/141   Step: 956ms | Tot: 43s338ms | Loss: 0.103 | Acc: 96.689% (10891/11264)              
 [====================>............................................] 45/141   Step: 949ms | Tot: 44s287ms | Loss: 0.103 | Acc: 96.701% (11140/11520)              
 [====================>............................................] 46/141   Step: 1s90ms | Tot: 45s377ms | Loss: 0.102 | Acc: 96.714% (11389/11776)              
 [=====================>...........................................] 47/141   Step: 963ms | Tot: 46s341ms | Loss: 0.103 | Acc: 96.700% (11635/12032)              
 [=====================>...........................................] 48/141   Step: 950ms | Tot: 47s291ms | Loss: 0.103 | Acc: 96.712% (11884/12288)              
 [======================>..........................................] 49/141   Step: 950ms | Tot: 48s242ms | Loss: 0.102 | Acc: 96.732% (12134/12544)              
 [======================>..........................................] 50/141   Step: 959ms | Tot: 49s202ms | Loss: 0.101 | Acc: 96.750% (12384/12800)              
 [=======================>.........................................] 51/141   Step: 1s68ms | Tot: 50s270ms | Loss: 0.101 | Acc: 96.760% (12633/13056)              
 [=======================>.........................................] 52/141   Step: 969ms | Tot: 51s240ms | Loss: 0.101 | Acc: 96.800% (12886/13312)              
 [=======================>.........................................] 53/141   Step: 954ms | Tot: 52s195ms | Loss: 0.100 | Acc: 96.831% (13138/13568)              
 [========================>........................................] 54/141   Step: 951ms | Tot: 53s147ms | Loss: 0.100 | Acc: 96.839% (13387/13824)              
 [========================>........................................] 55/141   Step: 948ms | Tot: 54s96ms | Loss: 0.101 | Acc: 96.818% (13632/14080)              
 [=========================>.......................................] 56/141   Step: 1s55ms | Tot: 55s151ms | Loss: 0.100 | Acc: 96.819% (13880/14336)              
 [=========================>.......................................] 57/141   Step: 959ms | Tot: 56s111ms | Loss: 0.101 | Acc: 96.806% (14126/14592)              
 [==========================>......................................] 58/141   Step: 955ms | Tot: 57s67ms | Loss: 0.100 | Acc: 96.835% (14378/14848)              
 [==========================>......................................] 59/141   Step: 953ms | Tot: 58s20ms | Loss: 0.099 | Acc: 96.875% (14632/15104)              
 [===========================>.....................................] 60/141   Step: 1s57ms | Tot: 59s77ms | Loss: 0.099 | Acc: 96.875% (14880/15360)              
 [===========================>.....................................] 61/141   Step: 948ms | Tot: 1m26ms | Loss: 0.098 | Acc: 96.888% (15130/15616)              
 [============================>....................................] 62/141   Step: 966ms | Tot: 1m992ms | Loss: 0.098 | Acc: 96.894% (15379/15872)              
 [============================>....................................] 63/141   Step: 952ms | Tot: 1m1s | Loss: 0.097 | Acc: 96.931% (15633/16128)              
 [=============================>...................................] 64/141   Step: 946ms | Tot: 1m2s | Loss: 0.097 | Acc: 96.942% (15883/16384)              
 [=============================>...................................] 65/141   Step: 1s59ms | Tot: 1m3s | Loss: 0.097 | Acc: 96.965% (16135/16640)              
 [=============================>...................................] 66/141   Step: 947ms | Tot: 1m4s | Loss: 0.096 | Acc: 96.993% (16388/16896)              
 [==============================>..................................] 67/141   Step: 950ms | Tot: 1m5s | Loss: 0.096 | Acc: 96.997% (16637/17152)              
 [==============================>..................................] 68/141   Step: 953ms | Tot: 1m6s | Loss: 0.096 | Acc: 97.007% (16887/17408)              
 [===============================>.................................] 69/141   Step: 1s58ms | Tot: 1m7s | Loss: 0.095 | Acc: 97.028% (17139/17664)              
 [===============================>.................................] 70/141   Step: 964ms | Tot: 1m8s | Loss: 0.095 | Acc: 97.031% (17388/17920)              
 [================================>................................] 71/141   Step: 951ms | Tot: 1m9s | Loss: 0.095 | Acc: 97.035% (17637/18176)              
 [================================>................................] 72/141   Step: 950ms | Tot: 1m10s | Loss: 0.095 | Acc: 97.043% (17887/18432)              
 [=================================>...............................] 73/141   Step: 966ms | Tot: 1m11s | Loss: 0.095 | Acc: 97.036% (18134/18688)              
 [=================================>...............................] 74/141   Step: 1s59ms | Tot: 1m12s | Loss: 0.095 | Acc: 97.049% (18385/18944)              
 [==================================>..............................] 75/141   Step: 958ms | Tot: 1m13s | Loss: 0.095 | Acc: 97.057% (18635/19200)              
 [==================================>..............................] 76/141   Step: 964ms | Tot: 1m14s | Loss: 0.095 | Acc: 97.045% (18881/19456)              
 [===================================>.............................] 77/141   Step: 952ms | Tot: 1m15s | Loss: 0.094 | Acc: 97.068% (19134/19712)              
