cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 90 percent training data.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/141   Step: 1m11s | Tot: 0ms | Loss: 0.009 | Acc: 99.609% (255/256)              
 [>................................................................] 2/141   Step: 1s984ms | Tot: 1s984ms | Loss: 0.009 | Acc: 99.805% (511/512)              
 [>................................................................] 3/141   Step: 984ms | Tot: 2s969ms | Loss: 0.009 | Acc: 99.870% (767/768)              
 [=>...............................................................] 4/141   Step: 1s123ms | Tot: 4s92ms | Loss: 0.030 | Acc: 99.316% (1017/1024)              
 [=>...............................................................] 5/141   Step: 959ms | Tot: 5s51ms | Loss: 0.026 | Acc: 99.453% (1273/1280)              
 [==>..............................................................] 6/141   Step: 962ms | Tot: 6s14ms | Loss: 0.026 | Acc: 99.414% (1527/1536)              
 [==>..............................................................] 7/141   Step: 955ms | Tot: 6s970ms | Loss: 0.026 | Acc: 99.386% (1781/1792)              
 [===>.............................................................] 8/141   Step: 965ms | Tot: 7s935ms | Loss: 0.029 | Acc: 99.365% (2035/2048)              
 [===>.............................................................] 9/141   Step: 1s60ms | Tot: 8s996ms | Loss: 0.034 | Acc: 99.262% (2287/2304)              
 [====>............................................................] 10/141   Step: 961ms | Tot: 9s957ms | Loss: 0.035 | Acc: 99.219% (2540/2560)              
 [====>............................................................] 11/141   Step: 957ms | Tot: 10s915ms | Loss: 0.033 | Acc: 99.183% (2793/2816)              
 [=====>...........................................................] 12/141   Step: 964ms | Tot: 11s879ms | Loss: 0.032 | Acc: 99.186% (3047/3072)              
 [=====>...........................................................] 13/141   Step: 978ms | Tot: 12s857ms | Loss: 0.032 | Acc: 99.159% (3300/3328)              
 [=====>...........................................................] 14/141   Step: 1s66ms | Tot: 13s924ms | Loss: 0.030 | Acc: 99.191% (3555/3584)              
 [======>..........................................................] 15/141   Step: 966ms | Tot: 14s891ms | Loss: 0.031 | Acc: 99.193% (3809/3840)              
 [======>..........................................................] 16/141   Step: 981ms | Tot: 15s872ms | Loss: 0.030 | Acc: 99.194% (4063/4096)              
 [=======>.........................................................] 17/141   Step: 965ms | Tot: 16s837ms | Loss: 0.030 | Acc: 99.173% (4316/4352)              
 [=======>.........................................................] 18/141   Step: 971ms | Tot: 17s809ms | Loss: 0.030 | Acc: 99.154% (4569/4608)              
 [========>........................................................] 19/141   Step: 1s95ms | Tot: 18s904ms | Loss: 0.029 | Acc: 99.198% (4825/4864)              
 [========>........................................................] 20/141   Step: 961ms | Tot: 19s866ms | Loss: 0.030 | Acc: 99.180% (5078/5120)              
 [=========>.......................................................] 21/141   Step: 957ms | Tot: 20s823ms | Loss: 0.030 | Acc: 99.182% (5332/5376)              
 [=========>.......................................................] 22/141   Step: 960ms | Tot: 21s784ms | Loss: 0.029 | Acc: 99.201% (5587/5632)              
 [==========>......................................................] 23/141   Step: 983ms | Tot: 22s767ms | Loss: 0.030 | Acc: 99.185% (5840/5888)              
 [==========>......................................................] 24/141   Step: 1s77ms | Tot: 23s844ms | Loss: 0.030 | Acc: 99.186% (6094/6144)              
 [===========>.....................................................] 25/141   Step: 965ms | Tot: 24s810ms | Loss: 0.032 | Acc: 99.188% (6348/6400)              
 [===========>.....................................................] 26/141   Step: 958ms | Tot: 25s768ms | Loss: 0.031 | Acc: 99.204% (6603/6656)              
 [===========>.....................................................] 27/141   Step: 955ms | Tot: 26s724ms | Loss: 0.032 | Acc: 99.190% (6856/6912)              
 [============>....................................................] 28/141   Step: 965ms | Tot: 27s689ms | Loss: 0.032 | Acc: 99.191% (7110/7168)              
 [============>....................................................] 29/141   Step: 1s63ms | Tot: 28s753ms | Loss: 0.031 | Acc: 99.205% (7365/7424)              
 [=============>...................................................] 30/141   Step: 960ms | Tot: 29s713ms | Loss: 0.032 | Acc: 99.206% (7619/7680)              
 [=============>...................................................] 31/141   Step: 960ms | Tot: 30s673ms | Loss: 0.032 | Acc: 99.206% (7873/7936)              
 [==============>..................................................] 32/141   Step: 962ms | Tot: 31s636ms | Loss: 0.031 | Acc: 99.231% (8129/8192)              
 [==============>..................................................] 33/141   Step: 1s83ms | Tot: 32s719ms | Loss: 0.031 | Acc: 99.231% (8383/8448)              
 [===============>.................................................] 34/141   Step: 964ms | Tot: 33s684ms | Loss: 0.031 | Acc: 99.230% (8637/8704)              
 [===============>.................................................] 35/141   Step: 972ms | Tot: 34s657ms | Loss: 0.032 | Acc: 99.196% (8888/8960)              
 [================>................................................] 36/141   Step: 964ms | Tot: 35s621ms | Loss: 0.032 | Acc: 99.197% (9142/9216)              
 [================>................................................] 37/141   Step: 960ms | Tot: 36s581ms | Loss: 0.031 | Acc: 99.219% (9398/9472)              
 [=================>...............................................] 38/141   Step: 1s70ms | Tot: 37s652ms | Loss: 0.031 | Acc: 99.219% (9652/9728)              
 [=================>...............................................] 39/141   Step: 961ms | Tot: 38s613ms | Loss: 0.031 | Acc: 99.219% (9906/9984)              
 [=================>...............................................] 40/141   Step: 960ms | Tot: 39s573ms | Loss: 0.031 | Acc: 99.229% (10161/10240)              
 [==================>..............................................] 41/141   Step: 961ms | Tot: 40s534ms | Loss: 0.031 | Acc: 99.228% (10415/10496)              
 [==================>..............................................] 42/141   Step: 1s108ms | Tot: 41s643ms | Loss: 0.030 | Acc: 99.228% (10669/10752)              
 [===================>.............................................] 43/141   Step: 977ms | Tot: 42s620ms | Loss: 0.030 | Acc: 99.237% (10924/11008)              
 [===================>.............................................] 44/141   Step: 961ms | Tot: 43s582ms | Loss: 0.030 | Acc: 99.254% (11180/11264)              
 [====================>............................................] 45/141   Step: 957ms | Tot: 44s539ms | Loss: 0.029 | Acc: 99.271% (11436/11520)              
 [====================>............................................] 46/141   Step: 960ms | Tot: 45s500ms | Loss: 0.029 | Acc: 99.270% (11690/11776)              
 [=====================>...........................................] 47/141   Step: 1s72ms | Tot: 46s573ms | Loss: 0.029 | Acc: 99.277% (11945/12032)              
 [=====================>...........................................] 48/141   Step: 958ms | Tot: 47s531ms | Loss: 0.029 | Acc: 99.276% (12199/12288)              
 [======================>..........................................] 49/141   Step: 960ms | Tot: 48s492ms | Loss: 0.028 | Acc: 99.290% (12455/12544)              
 [======================>..........................................] 50/141   Step: 972ms | Tot: 49s464ms | Loss: 0.028 | Acc: 99.305% (12711/12800)              
 [=======================>.........................................] 51/141   Step: 958ms | Tot: 50s423ms | Loss: 0.027 | Acc: 99.311% (12966/13056)              
 [=======================>.........................................] 52/141   Step: 1s58ms | Tot: 51s481ms | Loss: 0.028 | Acc: 99.301% (13219/13312)              
 [=======================>.........................................] 53/141   Step: 979ms | Tot: 52s461ms | Loss: 0.027 | Acc: 99.307% (13474/13568)              
 [========================>........................................] 54/141   Step: 964ms | Tot: 53s426ms | Loss: 0.028 | Acc: 99.298% (13727/13824)              
 [========================>........................................] 55/141   Step: 962ms | Tot: 54s388ms | Loss: 0.027 | Acc: 99.311% (13983/14080)              
 [=========================>.......................................] 56/141   Step: 1s59ms | Tot: 55s448ms | Loss: 0.027 | Acc: 99.323% (14239/14336)              
 [=========================>.......................................] 57/141   Step: 959ms | Tot: 56s408ms | Loss: 0.026 | Acc: 99.335% (14495/14592)              
 [==========================>......................................] 58/141   Step: 963ms | Tot: 57s371ms | Loss: 0.027 | Acc: 99.313% (14746/14848)              
 [==========================>......................................] 59/141   Step: 966ms | Tot: 58s338ms | Loss: 0.027 | Acc: 99.318% (15001/15104)              
 [===========================>.....................................] 60/141   Step: 958ms | Tot: 59s296ms | Loss: 0.027 | Acc: 99.323% (15256/15360)              
 [===========================>.....................................] 61/141   Step: 1s58ms | Tot: 1m355ms | Loss: 0.027 | Acc: 99.321% (15510/15616)              
 [============================>....................................] 62/141   Step: 958ms | Tot: 1m1s | Loss: 0.027 | Acc: 99.320% (15764/15872)              
 [============================>....................................] 63/141   Step: 983ms | Tot: 1m2s | Loss: 0.028 | Acc: 99.306% (16016/16128)              
 [=============================>...................................] 64/141   Step: 969ms | Tot: 1m3s | Loss: 0.028 | Acc: 99.310% (16271/16384)              
 [=============================>...................................] 65/141   Step: 966ms | Tot: 1m4s | Loss: 0.028 | Acc: 99.309% (16525/16640)              
 [=============================>...................................] 66/141   Step: 1s60ms | Tot: 1m5s | Loss: 0.028 | Acc: 99.302% (16778/16896)              
 [==============================>..................................] 67/141   Step: 958ms | Tot: 1m6s | Loss: 0.028 | Acc: 99.306% (17033/17152)              
 [==============================>..................................] 68/141   Step: 954ms | Tot: 1m7s | Loss: 0.028 | Acc: 99.311% (17288/17408)              
 [===============================>.................................] 69/141   Step: 964ms | Tot: 1m8s | Loss: 0.028 | Acc: 99.309% (17542/17664)              
 [===============================>.................................] 70/141   Step: 964ms | Tot: 1m9s | Loss: 0.028 | Acc: 99.314% (17797/17920)              
 [================================>................................] 71/141   Step: 1s82ms | Tot: 1m10s | Loss: 0.028 | Acc: 99.307% (18050/18176)              
 [================================>................................] 72/141   Step: 956ms | Tot: 1m11s | Loss: 0.028 | Acc: 99.306% (18304/18432)              
 [=================================>...............................] 73/141   Step: 973ms | Tot: 1m12s | Loss: 0.028 | Acc: 99.315% (18560/18688)              
 [=================================>...............................] 74/141   Step: 958ms | Tot: 1m13s | Loss: 0.028 | Acc: 99.303% (18812/18944)              
 [==================================>..............................] 75/141   Step: 1s72ms | Tot: 1m14s | Loss: 0.028 | Acc: 99.312% (19068/19200)              
 [==================================>..............................] 76/141   Step: 969ms | Tot: 1m15s | Loss: 0.027 | Acc: 99.322% (19324/19456)              
 [===================================>.............................] 77/141   Step: 958ms | Tot: 1m16s | Loss: 0.027 | Acc: 99.310% (19576/19712)              
