cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the wcl selected dataset.
load parameters
Now try to run the WCL algorithm
Selected 3069 boundary instances.
Select 70.00 percent samples, 984 overlapping with the pre-selected boundary samples
The unique selected subset size is: 30085
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/118   Step: 1m10s | Tot: 0ms | Loss: 0.012 | Acc: 99.609% (255/256)              
 [>................................................................] 2/118   Step: 1s962ms | Tot: 1s962ms | Loss: 0.019 | Acc: 99.609% (510/512)              
 [=>...............................................................] 3/118   Step: 987ms | Tot: 2s949ms | Loss: 0.025 | Acc: 99.349% (763/768)              
 [=>...............................................................] 4/118   Step: 1s120ms | Tot: 4s70ms | Loss: 0.031 | Acc: 99.121% (1015/1024)              
 [==>..............................................................] 5/118   Step: 949ms | Tot: 5s19ms | Loss: 0.029 | Acc: 99.219% (1270/1280)              
 [==>..............................................................] 6/118   Step: 949ms | Tot: 5s969ms | Loss: 0.028 | Acc: 99.219% (1524/1536)              
 [===>.............................................................] 7/118   Step: 947ms | Tot: 6s917ms | Loss: 0.032 | Acc: 99.219% (1778/1792)              
 [===>.............................................................] 8/118   Step: 949ms | Tot: 7s866ms | Loss: 0.040 | Acc: 99.121% (2030/2048)              
 [====>............................................................] 9/118   Step: 1s52ms | Tot: 8s919ms | Loss: 0.037 | Acc: 99.175% (2285/2304)              
 [====>............................................................] 10/118   Step: 948ms | Tot: 9s867ms | Loss: 0.034 | Acc: 99.219% (2540/2560)              
 [=====>...........................................................] 11/118   Step: 945ms | Tot: 10s813ms | Loss: 0.036 | Acc: 99.112% (2791/2816)              
 [======>..........................................................] 12/118   Step: 950ms | Tot: 11s763ms | Loss: 0.034 | Acc: 99.089% (3044/3072)              
 [======>..........................................................] 13/118   Step: 968ms | Tot: 12s732ms | Loss: 0.035 | Acc: 99.038% (3296/3328)              
 [=======>.........................................................] 14/118   Step: 1s69ms | Tot: 13s802ms | Loss: 0.036 | Acc: 99.023% (3549/3584)              
 [=======>.........................................................] 15/118   Step: 950ms | Tot: 14s752ms | Loss: 0.038 | Acc: 99.010% (3802/3840)              
 [========>........................................................] 16/118   Step: 953ms | Tot: 15s706ms | Loss: 0.038 | Acc: 98.999% (4055/4096)              
 [========>........................................................] 17/118   Step: 951ms | Tot: 16s657ms | Loss: 0.036 | Acc: 99.035% (4310/4352)              
 [=========>.......................................................] 18/118   Step: 963ms | Tot: 17s621ms | Loss: 0.035 | Acc: 99.067% (4565/4608)              
 [=========>.......................................................] 19/118   Step: 1s55ms | Tot: 18s676ms | Loss: 0.036 | Acc: 99.075% (4819/4864)              
 [==========>......................................................] 20/118   Step: 955ms | Tot: 19s632ms | Loss: 0.035 | Acc: 99.062% (5072/5120)              
 [===========>.....................................................] 21/118   Step: 955ms | Tot: 20s587ms | Loss: 0.035 | Acc: 99.089% (5327/5376)              
 [===========>.....................................................] 22/118   Step: 958ms | Tot: 21s546ms | Loss: 0.034 | Acc: 99.112% (5582/5632)              
 [============>....................................................] 23/118   Step: 949ms | Tot: 22s496ms | Loss: 0.033 | Acc: 99.151% (5838/5888)              
 [============>....................................................] 24/118   Step: 1s108ms | Tot: 23s604ms | Loss: 0.032 | Acc: 99.170% (6093/6144)              
 [=============>...................................................] 25/118   Step: 948ms | Tot: 24s553ms | Loss: 0.031 | Acc: 99.188% (6348/6400)              
 [=============>...................................................] 26/118   Step: 956ms | Tot: 25s509ms | Loss: 0.031 | Acc: 99.174% (6601/6656)              
 [==============>..................................................] 27/118   Step: 948ms | Tot: 26s457ms | Loss: 0.031 | Acc: 99.175% (6855/6912)              
 [==============>..................................................] 28/118   Step: 1s58ms | Tot: 27s516ms | Loss: 0.031 | Acc: 99.163% (7108/7168)              
 [===============>.................................................] 29/118   Step: 949ms | Tot: 28s465ms | Loss: 0.030 | Acc: 99.192% (7364/7424)              
 [===============>.................................................] 30/118   Step: 948ms | Tot: 29s414ms | Loss: 0.030 | Acc: 99.219% (7620/7680)              
 [================>................................................] 31/118   Step: 948ms | Tot: 30s362ms | Loss: 0.029 | Acc: 99.244% (7876/7936)              
 [=================>...............................................] 32/118   Step: 950ms | Tot: 31s312ms | Loss: 0.029 | Acc: 99.255% (8131/8192)              
 [=================>...............................................] 33/118   Step: 1s52ms | Tot: 32s365ms | Loss: 0.030 | Acc: 99.254% (8385/8448)              
 [==================>..............................................] 34/118   Step: 969ms | Tot: 33s334ms | Loss: 0.030 | Acc: 99.253% (8639/8704)              
 [==================>..............................................] 35/118   Step: 945ms | Tot: 34s280ms | Loss: 0.030 | Acc: 99.252% (8893/8960)              
 [===================>.............................................] 36/118   Step: 950ms | Tot: 35s230ms | Loss: 0.030 | Acc: 99.251% (9147/9216)              
 [===================>.............................................] 37/118   Step: 1s59ms | Tot: 36s290ms | Loss: 0.029 | Acc: 99.261% (9402/9472)              
 [====================>............................................] 38/118   Step: 949ms | Tot: 37s239ms | Loss: 0.030 | Acc: 99.250% (9655/9728)              
 [====================>............................................] 39/118   Step: 956ms | Tot: 38s195ms | Loss: 0.029 | Acc: 99.249% (9909/9984)              
 [=====================>...........................................] 40/118   Step: 963ms | Tot: 39s159ms | Loss: 0.030 | Acc: 99.229% (10161/10240)              
 [======================>..........................................] 41/118   Step: 952ms | Tot: 40s111ms | Loss: 0.030 | Acc: 99.238% (10416/10496)              
 [======================>..........................................] 42/118   Step: 1s62ms | Tot: 41s174ms | Loss: 0.029 | Acc: 99.237% (10670/10752)              
 [=======================>.........................................] 43/118   Step: 958ms | Tot: 42s133ms | Loss: 0.030 | Acc: 99.219% (10922/11008)              
 [=======================>.........................................] 44/118   Step: 966ms | Tot: 43s99ms | Loss: 0.030 | Acc: 99.201% (11174/11264)              
 [========================>........................................] 45/118   Step: 958ms | Tot: 44s57ms | Loss: 0.030 | Acc: 99.201% (11428/11520)              
 [========================>........................................] 46/118   Step: 957ms | Tot: 45s15ms | Loss: 0.031 | Acc: 99.202% (11682/11776)              
 [=========================>.......................................] 47/118   Step: 1s101ms | Tot: 46s116ms | Loss: 0.032 | Acc: 99.177% (11933/12032)              
 [=========================>.......................................] 48/118   Step: 946ms | Tot: 47s62ms | Loss: 0.031 | Acc: 99.194% (12189/12288)              
 [==========================>......................................] 49/118   Step: 952ms | Tot: 48s15ms | Loss: 0.031 | Acc: 99.187% (12442/12544)              
 [==========================>......................................] 50/118   Step: 946ms | Tot: 48s962ms | Loss: 0.031 | Acc: 99.180% (12695/12800)              
 [===========================>.....................................] 51/118   Step: 1s53ms | Tot: 50s15ms | Loss: 0.031 | Acc: 99.188% (12950/13056)              
 [============================>....................................] 52/118   Step: 948ms | Tot: 50s964ms | Loss: 0.032 | Acc: 99.174% (13202/13312)              
 [============================>....................................] 53/118   Step: 949ms | Tot: 51s914ms | Loss: 0.032 | Acc: 99.167% (13455/13568)              
 [=============================>...................................] 54/118   Step: 967ms | Tot: 52s881ms | Loss: 0.032 | Acc: 99.168% (13709/13824)              
 [=============================>...................................] 55/118   Step: 948ms | Tot: 53s830ms | Loss: 0.032 | Acc: 99.169% (13963/14080)              
 [==============================>..................................] 56/118   Step: 1s51ms | Tot: 54s881ms | Loss: 0.032 | Acc: 99.177% (14218/14336)              
 [==============================>..................................] 57/118   Step: 956ms | Tot: 55s837ms | Loss: 0.032 | Acc: 99.184% (14473/14592)              
 [===============================>.................................] 58/118   Step: 951ms | Tot: 56s789ms | Loss: 0.032 | Acc: 99.185% (14727/14848)              
 [===============================>.................................] 59/118   Step: 944ms | Tot: 57s733ms | Loss: 0.034 | Acc: 99.159% (14977/15104)              
 [================================>................................] 60/118   Step: 950ms | Tot: 58s684ms | Loss: 0.033 | Acc: 99.154% (15230/15360)              
 [=================================>...............................] 61/118   Step: 1s58ms | Tot: 59s743ms | Loss: 0.033 | Acc: 99.148% (15483/15616)              
 [=================================>...............................] 62/118   Step: 951ms | Tot: 1m695ms | Loss: 0.033 | Acc: 99.162% (15739/15872)              
 [==================================>..............................] 63/118   Step: 958ms | Tot: 1m1s | Loss: 0.033 | Acc: 99.163% (15993/16128)              
 [==================================>..............................] 64/118   Step: 952ms | Tot: 1m2s | Loss: 0.033 | Acc: 99.170% (16248/16384)              
 [===================================>.............................] 65/118   Step: 1s72ms | Tot: 1m3s | Loss: 0.032 | Acc: 99.171% (16502/16640)              
 [===================================>.............................] 66/118   Step: 949ms | Tot: 1m4s | Loss: 0.032 | Acc: 99.171% (16756/16896)              
 [====================================>............................] 67/118   Step: 953ms | Tot: 1m5s | Loss: 0.032 | Acc: 99.178% (17011/17152)              
 [====================================>............................] 68/118   Step: 952ms | Tot: 1m6s | Loss: 0.032 | Acc: 99.184% (17266/17408)              
 [=====================================>...........................] 69/118   Step: 956ms | Tot: 1m7s | Loss: 0.032 | Acc: 99.190% (17521/17664)              
 [======================================>..........................] 70/118   Step: 1s91ms | Tot: 1m8s | Loss: 0.031 | Acc: 99.196% (17776/17920)              
 [======================================>..........................] 71/118   Step: 947ms | Tot: 1m9s | Loss: 0.031 | Acc: 99.202% (18031/18176)              
 [=======================================>.........................] 72/118   Step: 945ms | Tot: 1m10s | Loss: 0.031 | Acc: 99.202% (18285/18432)              
 [=======================================>.........................] 73/118   Step: 946ms | Tot: 1m11s | Loss: 0.031 | Acc: 99.203% (18539/18688)              
 [========================================>........................] 74/118   Step: 1s67ms | Tot: 1m12s | Loss: 0.031 | Acc: 99.213% (18795/18944)              
 [========================================>........................] 75/118   Step: 962ms | Tot: 1m13s | Loss: 0.031 | Acc: 99.219% (19050/19200)              
 [=========================================>.......................] 76/118   Step: 950ms | Tot: 1m14s | Loss: 0.031 | Acc: 99.214% (19303/19456)              
 [=========================================>.......................] 77/118   Step: 949ms | Tot: 1m15s | Loss: 0.031 | Acc: 99.214% (19557/19712)              
 [==========================================>......................] 78/118   Step: 950ms | Tot: 1m16s | Loss: 0.031 | Acc: 99.219% (19812/19968)              
 [==========================================>......................] 79/118   Step: 1s52ms | Tot: 1m17s | Loss: 0.031 | Acc: 99.204% (20063/20224)              
 [===========================================>.....................] 80/118   Step: 953ms | Tot: 1m18s | Loss: 0.031 | Acc: 99.209% (20318/20480)              
 [============================================>....................] 81/118   Step: 946ms | Tot: 1m19s | Loss: 0.031 | Acc: 99.219% (20574/20736)              
 [============================================>....................] 82/118   Step: 948ms | Tot: 1m20s | Loss: 0.030 | Acc: 99.224% (20829/20992)              
 [=============================================>...................] 83/118   Step: 950ms | Tot: 1m21s | Loss: 0.030 | Acc: 99.228% (21084/21248)              
 [=============================================>...................] 84/118   Step: 1s52ms | Tot: 1m22s | Loss: 0.030 | Acc: 99.228% (21338/21504)              
 [==============================================>..................] 85/118   Step: 963ms | Tot: 1m23s | Loss: 0.030 | Acc: 99.233% (21593/21760)              
 [==============================================>..................] 86/118   Step: 948ms | Tot: 1m24s | Loss: 0.030 | Acc: 99.237% (21848/22016)              
 [===============================================>.................] 87/118   Step: 943ms | Tot: 1m25s | Loss: 0.029 | Acc: 99.241% (22103/22272)              
 [===============================================>.................] 88/118   Step: 1s60ms | Tot: 1m26s | Loss: 0.029 | Acc: 99.245% (22358/22528)              
 [================================================>................] 89/118   Step: 949ms | Tot: 1m27s | Loss: 0.029 | Acc: 99.245% (22612/22784)              
 [=================================================>...............] 90/118   Step: 945ms | Tot: 1m28s | Loss: 0.029 | Acc: 99.249% (22867/23040)              
 [=================================================>...............] 91/118   Step: 946ms | Tot: 1m28s | Loss: 0.029 | Acc: 99.249% (23121/23296)              
 [==================================================>..............] 92/118   Step: 947ms | Tot: 1m29s | Loss: 0.029 | Acc: 99.248% (23375/23552)              
 [==================================================>..............] 93/118   Step: 1s57ms | Tot: 1m30s | Loss: 0.029 | Acc: 99.244% (23628/23808)              
 [===================================================>.............] 94/118   Step: 951ms | Tot: 1m31s | Loss: 0.029 | Acc: 99.248% (23883/24064)              
 [===================================================>.............] 95/118   Step: 974ms | Tot: 1m32s | Loss: 0.029 | Acc: 99.252% (24138/24320)              
 [====================================================>............] 96/118   Step: 957ms | Tot: 1m33s | Loss: 0.029 | Acc: 99.259% (24394/24576)              
