cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset (by weighted the boundary points).
load parameters
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 12000 samples for a fair comparison at each subset.
Selected 12000 samples from all the classes
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/47   Step: 59s495ms | Tot: 0ms | Loss: 0.543 | Acc: 85.156% (218/256)              
 [=>...............................................................] 2/47   Step: 1s982ms | Tot: 1s982ms | Loss: 0.502 | Acc: 86.523% (443/512)              
 [==>..............................................................] 3/47   Step: 968ms | Tot: 2s951ms | Loss: 0.454 | Acc: 88.021% (676/768)              
 [====>............................................................] 4/47   Step: 1s134ms | Tot: 4s85ms | Loss: 0.413 | Acc: 88.477% (906/1024)              
 [=====>...........................................................] 5/47   Step: 969ms | Tot: 5s55ms | Loss: 0.397 | Acc: 89.062% (1140/1280)              
 [======>..........................................................] 6/47   Step: 958ms | Tot: 6s14ms | Loss: 0.391 | Acc: 88.672% (1362/1536)              
 [========>........................................................] 7/47   Step: 954ms | Tot: 6s968ms | Loss: 0.397 | Acc: 88.672% (1589/1792)              
 [=========>.......................................................] 8/47   Step: 956ms | Tot: 7s925ms | Loss: 0.395 | Acc: 88.623% (1815/2048)              
 [===========>.....................................................] 9/47   Step: 1s58ms | Tot: 8s983ms | Loss: 0.389 | Acc: 88.976% (2050/2304)              
 [============>....................................................] 10/47   Step: 958ms | Tot: 9s941ms | Loss: 0.387 | Acc: 88.750% (2272/2560)              
 [=============>...................................................] 11/47   Step: 951ms | Tot: 10s893ms | Loss: 0.389 | Acc: 88.849% (2502/2816)              
 [===============>.................................................] 12/47   Step: 953ms | Tot: 11s847ms | Loss: 0.391 | Acc: 88.802% (2728/3072)              
 [================>................................................] 13/47   Step: 955ms | Tot: 12s802ms | Loss: 0.390 | Acc: 88.732% (2953/3328)              
 [=================>...............................................] 14/47   Step: 1s69ms | Tot: 13s872ms | Loss: 0.384 | Acc: 88.839% (3184/3584)              
 [===================>.............................................] 15/47   Step: 983ms | Tot: 14s855ms | Loss: 0.385 | Acc: 88.750% (3408/3840)              
 [====================>............................................] 16/47   Step: 962ms | Tot: 15s817ms | Loss: 0.386 | Acc: 88.867% (3640/4096)              
 [======================>..........................................] 17/47   Step: 958ms | Tot: 16s776ms | Loss: 0.379 | Acc: 88.948% (3871/4352)              
 [=======================>.........................................] 18/47   Step: 1s70ms | Tot: 17s846ms | Loss: 0.374 | Acc: 89.062% (4104/4608)              
 [========================>........................................] 19/47   Step: 971ms | Tot: 18s817ms | Loss: 0.369 | Acc: 89.186% (4338/4864)              
 [==========================>......................................] 20/47   Step: 969ms | Tot: 19s787ms | Loss: 0.371 | Acc: 89.082% (4561/5120)              
 [===========================>.....................................] 21/47   Step: 956ms | Tot: 20s744ms | Loss: 0.367 | Acc: 89.249% (4798/5376)              
 [=============================>...................................] 22/47   Step: 963ms | Tot: 21s707ms | Loss: 0.369 | Acc: 89.205% (5024/5632)              
 [==============================>..................................] 23/47   Step: 1s108ms | Tot: 22s816ms | Loss: 0.366 | Acc: 89.317% (5259/5888)              
 [===============================>.................................] 24/47   Step: 958ms | Tot: 23s774ms | Loss: 0.363 | Acc: 89.421% (5494/6144)              
 [=================================>...............................] 25/47   Step: 970ms | Tot: 24s745ms | Loss: 0.362 | Acc: 89.469% (5726/6400)              
 [==================================>..............................] 26/47   Step: 962ms | Tot: 25s707ms | Loss: 0.357 | Acc: 89.543% (5960/6656)              
 [===================================>.............................] 27/47   Step: 1s65ms | Tot: 26s773ms | Loss: 0.352 | Acc: 89.627% (6195/6912)              
 [=====================================>...........................] 28/47   Step: 955ms | Tot: 27s728ms | Loss: 0.348 | Acc: 89.718% (6431/7168)              
 [======================================>..........................] 29/47   Step: 952ms | Tot: 28s681ms | Loss: 0.347 | Acc: 89.763% (6664/7424)              
 [========================================>........................] 30/47   Step: 956ms | Tot: 29s637ms | Loss: 0.348 | Acc: 89.779% (6895/7680)              
 [=========================================>.......................] 31/47   Step: 950ms | Tot: 30s587ms | Loss: 0.344 | Acc: 89.882% (7133/7936)              
 [==========================================>......................] 32/47   Step: 1s62ms | Tot: 31s650ms | Loss: 0.345 | Acc: 89.868% (7362/8192)              
 [============================================>....................] 33/47   Step: 960ms | Tot: 32s611ms | Loss: 0.339 | Acc: 90.009% (7604/8448)              
 [=============================================>...................] 34/47   Step: 955ms | Tot: 33s566ms | Loss: 0.337 | Acc: 90.074% (7840/8704)              
 [===============================================>.................] 35/47   Step: 971ms | Tot: 34s538ms | Loss: 0.338 | Acc: 90.045% (8068/8960)              
 [================================================>................] 36/47   Step: 956ms | Tot: 35s495ms | Loss: 0.339 | Acc: 89.985% (8293/9216)              
 [=================================================>...............] 37/47   Step: 1s65ms | Tot: 36s560ms | Loss: 0.339 | Acc: 90.034% (8528/9472)              
 [===================================================>.............] 38/47   Step: 962ms | Tot: 37s522ms | Loss: 0.337 | Acc: 90.111% (8766/9728)              
 [====================================================>............] 39/47   Step: 961ms | Tot: 38s484ms | Loss: 0.335 | Acc: 90.114% (8997/9984)              
 [=====================================================>...........] 40/47   Step: 954ms | Tot: 39s438ms | Loss: 0.335 | Acc: 90.098% (9226/10240)              
 [=======================================================>.........] 41/47   Step: 966ms | Tot: 40s405ms | Loss: 0.334 | Acc: 90.101% (9457/10496)              
 [========================================================>........] 42/47   Step: 1s58ms | Tot: 41s464ms | Loss: 0.335 | Acc: 90.086% (9686/10752)              
 [==========================================================>......] 43/47   Step: 943ms | Tot: 42s408ms | Loss: 0.332 | Acc: 90.162% (9925/11008)              
 [===========================================================>.....] 44/47   Step: 848ms | Tot: 43s256ms | Loss: 0.331 | Acc: 90.181% (10158/11264)              
 [============================================================>....] 45/47   Step: 846ms | Tot: 44s103ms | Loss: 0.331 | Acc: 90.200% (10391/11520)              
 [==============================================================>..] 46/47   Step: 1s5ms | Tot: 45s108ms | Loss: 0.331 | Acc: 90.209% (10623/11776)              
 [===============================================================>.] 47/47   Step: 8s885ms | Tot: 53s994ms | Loss: 0.328 | Acc: 90.242% (10829/12000)
 [>................................................................] 1/40   Step: 1s132ms | Tot: 0ms | Loss: 0.267 | Acc: 91.406% (234/256)              
 [=>...............................................................] 2/40   Step: 421ms | Tot: 421ms | Loss: 0.337 | Acc: 89.453% (458/512)              
 [===>.............................................................] 3/40   Step: 422ms | Tot: 844ms | Loss: 0.330 | Acc: 89.714% (689/768)              
 [====>............................................................] 4/40   Step: 414ms | Tot: 1s258ms | Loss: 0.326 | Acc: 89.941% (921/1024)              
 [======>..........................................................] 5/40   Step: 590ms | Tot: 1s849ms | Loss: 0.322 | Acc: 90.078% (1153/1280)              
 [========>........................................................] 6/40   Step: 415ms | Tot: 2s264ms | Loss: 0.329 | Acc: 89.844% (1380/1536)              
 [=========>.......................................................] 7/40   Step: 414ms | Tot: 2s678ms | Loss: 0.331 | Acc: 89.900% (1611/1792)              
 [===========>.....................................................] 8/40   Step: 416ms | Tot: 3s95ms | Loss: 0.329 | Acc: 90.088% (1845/2048)              
 [=============>...................................................] 9/40   Step: 414ms | Tot: 3s509ms | Loss: 0.340 | Acc: 89.931% (2072/2304)              
 [==============>..................................................] 10/40   Step: 520ms | Tot: 4s30ms | Loss: 0.336 | Acc: 89.961% (2303/2560)              
 [================>................................................] 11/40   Step: 415ms | Tot: 4s446ms | Loss: 0.336 | Acc: 89.986% (2534/2816)              
 [=================>...............................................] 12/40   Step: 417ms | Tot: 4s864ms | Loss: 0.339 | Acc: 89.681% (2755/3072)              
 [===================>.............................................] 13/40   Step: 414ms | Tot: 5s278ms | Loss: 0.352 | Acc: 89.273% (2971/3328)              
 [=====================>...........................................] 14/40   Step: 413ms | Tot: 5s692ms | Loss: 0.345 | Acc: 89.397% (3204/3584)              
 [======================>..........................................] 15/40   Step: 415ms | Tot: 6s107ms | Loss: 0.343 | Acc: 89.531% (3438/3840)              
 [========================>........................................] 16/40   Step: 521ms | Tot: 6s629ms | Loss: 0.349 | Acc: 89.404% (3662/4096)              
 [==========================>......................................] 17/40   Step: 414ms | Tot: 7s43ms | Loss: 0.352 | Acc: 89.338% (3888/4352)              
 [===========================>.....................................] 18/40   Step: 414ms | Tot: 7s457ms | Loss: 0.357 | Acc: 89.236% (4112/4608)              
 [=============================>...................................] 19/40   Step: 414ms | Tot: 7s872ms | Loss: 0.361 | Acc: 89.021% (4330/4864)              
 [==============================>..................................] 20/40   Step: 413ms | Tot: 8s286ms | Loss: 0.362 | Acc: 89.043% (4559/5120)              
 [================================>................................] 21/40   Step: 414ms | Tot: 8s700ms | Loss: 0.362 | Acc: 89.137% (4792/5376)              
 [==================================>..............................] 22/40   Step: 532ms | Tot: 9s233ms | Loss: 0.361 | Acc: 89.116% (5019/5632)              
 [===================================>.............................] 23/40   Step: 417ms | Tot: 9s650ms | Loss: 0.362 | Acc: 89.012% (5241/5888)              
 [=====================================>...........................] 24/40   Step: 415ms | Tot: 10s65ms | Loss: 0.361 | Acc: 89.014% (5469/6144)              
 [=======================================>.........................] 25/40   Step: 414ms | Tot: 10s479ms | Loss: 0.361 | Acc: 89.047% (5699/6400)              
 [========================================>........................] 26/40   Step: 417ms | Tot: 10s897ms | Loss: 0.368 | Acc: 88.912% (5918/6656)              
 [==========================================>......................] 27/40   Step: 413ms | Tot: 11s310ms | Loss: 0.367 | Acc: 88.961% (6149/6912)              
 [===========================================>.....................] 28/40   Step: 519ms | Tot: 11s830ms | Loss: 0.371 | Acc: 88.867% (6370/7168)              
 [=============================================>...................] 29/40   Step: 413ms | Tot: 12s243ms | Loss: 0.375 | Acc: 88.807% (6593/7424)              
 [===============================================>.................] 30/40   Step: 413ms | Tot: 12s656ms | Loss: 0.373 | Acc: 88.867% (6825/7680)              
 [================================================>................] 31/40   Step: 413ms | Tot: 13s69ms | Loss: 0.373 | Acc: 88.861% (7052/7936)              
 [==================================================>..............] 32/40   Step: 414ms | Tot: 13s484ms | Loss: 0.373 | Acc: 88.855% (7279/8192)              
 [====================================================>............] 33/40   Step: 414ms | Tot: 13s899ms | Loss: 0.372 | Acc: 88.849% (7506/8448)              
 [=====================================================>...........] 34/40   Step: 521ms | Tot: 14s420ms | Loss: 0.372 | Acc: 88.810% (7730/8704)              
 [=======================================================>.........] 35/40   Step: 413ms | Tot: 14s834ms | Loss: 0.372 | Acc: 88.739% (7951/8960)              
 [========================================================>........] 36/40   Step: 374ms | Tot: 15s208ms | Loss: 0.373 | Acc: 88.726% (8177/9216)              
 [==========================================================>......] 37/40   Step: 369ms | Tot: 15s578ms | Loss: 0.372 | Acc: 88.809% (8412/9472)              
 [============================================================>....] 38/40   Step: 369ms | Tot: 15s947ms | Loss: 0.371 | Acc: 88.795% (8638/9728)              
 [=============================================================>...] 39/40   Step: 369ms | Tot: 16s316ms | Loss: 0.373 | Acc: 88.742% (8860/9984)              
 [===============================================================>.] 40/40   Step: 2s449ms | Tot: 18s765ms | Loss: 0.373 | Acc: 88.730% (8873/10000)
Saving with better validation accuracy model: 88.730..

Epoch: 1
 [>................................................................] 1/47   Step: 3s12ms | Tot: 0ms | Loss: 0.244 | Acc: 90.625% (232/256)              
 [=>...............................................................] 2/47   Step: 960ms | Tot: 960ms | Loss: 0.242 | Acc: 91.406% (468/512)              
 [==>..............................................................] 3/47   Step: 953ms | Tot: 1s913ms | Loss: 0.224 | Acc: 92.708% (712/768)              
 [====>............................................................] 4/47   Step: 952ms | Tot: 2s865ms | Loss: 0.230 | Acc: 92.578% (948/1024)              
 [=====>...........................................................] 5/47   Step: 1s121ms | Tot: 3s987ms | Loss: 0.229 | Acc: 92.812% (1188/1280)              
 [======>..........................................................] 6/47   Step: 954ms | Tot: 4s941ms | Loss: 0.236 | Acc: 92.643% (1423/1536)              
 [========>........................................................] 7/47   Step: 966ms | Tot: 5s907ms | Loss: 0.235 | Acc: 92.355% (1655/1792)              
 [=========>.......................................................] 8/47   Step: 958ms | Tot: 6s866ms | Loss: 0.240 | Acc: 92.236% (1889/2048)              
 [===========>.....................................................] 9/47   Step: 1s83ms | Tot: 7s950ms | Loss: 0.233 | Acc: 92.405% (2129/2304)              
 [============>....................................................] 10/47   Step: 959ms | Tot: 8s909ms | Loss: 0.235 | Acc: 92.383% (2365/2560)              
 [=============>...................................................] 11/47   Step: 958ms | Tot: 9s867ms | Loss: 0.228 | Acc: 92.791% (2613/2816)              
 [===============>.................................................] 12/47   Step: 953ms | Tot: 10s820ms | Loss: 0.233 | Acc: 92.611% (2845/3072)              
 [================>................................................] 13/47   Step: 950ms | Tot: 11s771ms | Loss: 0.235 | Acc: 92.698% (3085/3328)              
 [=================>...............................................] 14/47   Step: 1s88ms | Tot: 12s860ms | Loss: 0.230 | Acc: 92.829% (3327/3584)              
 [===================>.............................................] 15/47   Step: 955ms | Tot: 13s815ms | Loss: 0.226 | Acc: 92.943% (3569/3840)              
 [====================>............................................] 16/47   Step: 951ms | Tot: 14s767ms | Loss: 0.223 | Acc: 93.042% (3811/4096)              
 [======================>..........................................] 17/47   Step: 948ms | Tot: 15s715ms | Loss: 0.223 | Acc: 93.061% (4050/4352)              
 [=======================>.........................................] 18/47   Step: 1s77ms | Tot: 16s793ms | Loss: 0.221 | Acc: 93.164% (4293/4608)              
 [========================>........................................] 19/47   Step: 967ms | Tot: 17s761ms | Loss: 0.221 | Acc: 93.174% (4532/4864)              
 [==========================>......................................] 20/47   Step: 951ms | Tot: 18s712ms | Loss: 0.229 | Acc: 92.969% (4760/5120)              
 [===========================>.....................................] 21/47   Step: 953ms | Tot: 19s666ms | Loss: 0.226 | Acc: 93.043% (5002/5376)              
 [=============================>...................................] 22/47   Step: 954ms | Tot: 20s620ms | Loss: 0.227 | Acc: 93.040% (5240/5632)              
 [==============================>..................................] 23/47   Step: 1s57ms | Tot: 21s677ms | Loss: 0.226 | Acc: 92.952% (5473/5888)              
 [===============================>.................................] 24/47   Step: 952ms | Tot: 22s629ms | Loss: 0.227 | Acc: 92.904% (5708/6144)              
 [=================================>...............................] 25/47   Step: 954ms | Tot: 23s584ms | Loss: 0.228 | Acc: 92.906% (5946/6400)              
 [==================================>..............................] 26/47   Step: 951ms | Tot: 24s535ms | Loss: 0.225 | Acc: 93.014% (6191/6656)              
 [===================================>.............................] 27/47   Step: 1s60ms | Tot: 25s596ms | Loss: 0.225 | Acc: 93.070% (6433/6912)              
 [=====================================>...........................] 28/47   Step: 957ms | Tot: 26s553ms | Loss: 0.222 | Acc: 93.108% (6674/7168)              
 [======================================>..........................] 29/47   Step: 973ms | Tot: 27s526ms | Loss: 0.222 | Acc: 93.144% (6915/7424)              
 [========================================>........................] 30/47   Step: 950ms | Tot: 28s476ms | Loss: 0.224 | Acc: 93.177% (7156/7680)              
 [=========================================>.......................] 31/47   Step: 951ms | Tot: 29s428ms | Loss: 0.223 | Acc: 93.170% (7394/7936)              
 [==========================================>......................] 32/47   Step: 1s59ms | Tot: 30s488ms | Loss: 0.223 | Acc: 93.091% (7626/8192)              
 [============================================>....................] 33/47   Step: 952ms | Tot: 31s440ms | Loss: 0.224 | Acc: 93.099% (7865/8448)              
 [=============================================>...................] 34/47   Step: 953ms | Tot: 32s394ms | Loss: 0.224 | Acc: 93.107% (8104/8704)              
 [===============================================>.................] 35/47   Step: 953ms | Tot: 33s347ms | Loss: 0.223 | Acc: 93.170% (8348/8960)              
 [================================================>................] 36/47   Step: 951ms | Tot: 34s299ms | Loss: 0.220 | Acc: 93.262% (8595/9216)              
 [=================================================>...............] 37/47   Step: 1s59ms | Tot: 35s358ms | Loss: 0.221 | Acc: 93.159% (8824/9472)              
 [===================================================>.............] 38/47   Step: 956ms | Tot: 36s314ms | Loss: 0.222 | Acc: 93.092% (9056/9728)              
 [====================================================>............] 39/47   Step: 954ms | Tot: 37s269ms | Loss: 0.223 | Acc: 93.039% (9289/9984)              
 [=====================================================>...........] 40/47   Step: 966ms | Tot: 38s236ms | Loss: 0.223 | Acc: 93.027% (9526/10240)              
 [=======================================================>.........] 41/47   Step: 1s65ms | Tot: 39s302ms | Loss: 0.224 | Acc: 92.950% (9756/10496)              
 [========================================================>........] 42/47   Step: 957ms | Tot: 40s259ms | Loss: 0.226 | Acc: 92.913% (9990/10752)              
