cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 24951 samples for weakkness <= 13.
Train with the selected 24951 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/98   Step: 1m798ms | Tot: 0ms | Loss: 0.192 | Acc: 93.359% (239/256)              
 [>................................................................] 2/98   Step: 1s982ms | Tot: 1s982ms | Loss: 0.186 | Acc: 93.359% (478/512)              
 [=>...............................................................] 3/98   Step: 985ms | Tot: 2s967ms | Loss: 0.182 | Acc: 93.359% (717/768)              
 [=>...............................................................] 4/98   Step: 1s137ms | Tot: 4s105ms | Loss: 0.192 | Acc: 93.164% (954/1024)              
 [==>..............................................................] 5/98   Step: 963ms | Tot: 5s69ms | Loss: 0.192 | Acc: 92.812% (1188/1280)              
 [===>.............................................................] 6/98   Step: 974ms | Tot: 6s43ms | Loss: 0.182 | Acc: 93.424% (1435/1536)              
 [===>.............................................................] 7/98   Step: 964ms | Tot: 7s8ms | Loss: 0.172 | Acc: 93.862% (1682/1792)              
 [====>............................................................] 8/98   Step: 967ms | Tot: 7s975ms | Loss: 0.173 | Acc: 93.799% (1921/2048)              
 [=====>...........................................................] 9/98   Step: 1s65ms | Tot: 9s40ms | Loss: 0.171 | Acc: 93.924% (2164/2304)              
 [=====>...........................................................] 10/98   Step: 963ms | Tot: 10s3ms | Loss: 0.166 | Acc: 94.180% (2411/2560)              
 [======>..........................................................] 11/98   Step: 968ms | Tot: 10s972ms | Loss: 0.160 | Acc: 94.389% (2658/2816)              
 [=======>.........................................................] 12/98   Step: 960ms | Tot: 11s932ms | Loss: 0.159 | Acc: 94.434% (2901/3072)              
 [=======>.........................................................] 13/98   Step: 1s84ms | Tot: 13s17ms | Loss: 0.157 | Acc: 94.651% (3150/3328)              
 [========>........................................................] 14/98   Step: 970ms | Tot: 13s988ms | Loss: 0.152 | Acc: 94.754% (3396/3584)              
 [=========>.......................................................] 15/98   Step: 968ms | Tot: 14s957ms | Loss: 0.150 | Acc: 94.922% (3645/3840)              
 [=========>.......................................................] 16/98   Step: 974ms | Tot: 15s931ms | Loss: 0.146 | Acc: 95.044% (3893/4096)              
 [==========>......................................................] 17/98   Step: 977ms | Tot: 16s909ms | Loss: 0.146 | Acc: 95.060% (4137/4352)              
 [===========>.....................................................] 18/98   Step: 1s75ms | Tot: 17s985ms | Loss: 0.144 | Acc: 95.139% (4384/4608)              
 [===========>.....................................................] 19/98   Step: 968ms | Tot: 18s954ms | Loss: 0.140 | Acc: 95.271% (4634/4864)              
 [============>....................................................] 20/98   Step: 972ms | Tot: 19s926ms | Loss: 0.138 | Acc: 95.312% (4880/5120)              
 [=============>...................................................] 21/98   Step: 965ms | Tot: 20s891ms | Loss: 0.136 | Acc: 95.387% (5128/5376)              
 [=============>...................................................] 22/98   Step: 965ms | Tot: 21s857ms | Loss: 0.137 | Acc: 95.384% (5372/5632)              
 [==============>..................................................] 23/98   Step: 1s128ms | Tot: 22s986ms | Loss: 0.135 | Acc: 95.431% (5619/5888)              
 [===============>.................................................] 24/98   Step: 965ms | Tot: 23s951ms | Loss: 0.134 | Acc: 95.492% (5867/6144)              
 [===============>.................................................] 25/98   Step: 969ms | Tot: 24s920ms | Loss: 0.134 | Acc: 95.484% (6111/6400)              
 [================>................................................] 26/98   Step: 965ms | Tot: 25s886ms | Loss: 0.132 | Acc: 95.538% (6359/6656)              
 [=================>...............................................] 27/98   Step: 1s75ms | Tot: 26s961ms | Loss: 0.130 | Acc: 95.616% (6609/6912)              
 [=================>...............................................] 28/98   Step: 969ms | Tot: 27s931ms | Loss: 0.128 | Acc: 95.703% (6860/7168)              
 [==================>..............................................] 29/98   Step: 959ms | Tot: 28s891ms | Loss: 0.128 | Acc: 95.730% (7107/7424)              
 [===================>.............................................] 30/98   Step: 964ms | Tot: 29s855ms | Loss: 0.127 | Acc: 95.768% (7355/7680)              
 [===================>.............................................] 31/98   Step: 971ms | Tot: 30s827ms | Loss: 0.125 | Acc: 95.854% (7607/7936)              
 [====================>............................................] 32/98   Step: 1s73ms | Tot: 31s900ms | Loss: 0.123 | Acc: 95.898% (7856/8192)              
 [=====================>...........................................] 33/98   Step: 970ms | Tot: 32s871ms | Loss: 0.122 | Acc: 95.952% (8106/8448)              
 [=====================>...........................................] 34/98   Step: 975ms | Tot: 33s846ms | Loss: 0.121 | Acc: 95.990% (8355/8704)              
 [======================>..........................................] 35/98   Step: 988ms | Tot: 34s834ms | Loss: 0.119 | Acc: 96.038% (8605/8960)              
 [=======================>.........................................] 36/98   Step: 971ms | Tot: 35s805ms | Loss: 0.118 | Acc: 96.105% (8857/9216)              
 [=======================>.........................................] 37/98   Step: 1s72ms | Tot: 36s878ms | Loss: 0.117 | Acc: 96.136% (9106/9472)              
 [========================>........................................] 38/98   Step: 976ms | Tot: 37s854ms | Loss: 0.116 | Acc: 96.197% (9358/9728)              
 [=========================>.......................................] 39/98   Step: 965ms | Tot: 38s819ms | Loss: 0.115 | Acc: 96.244% (9609/9984)              
 [=========================>.......................................] 40/98   Step: 962ms | Tot: 39s782ms | Loss: 0.114 | Acc: 96.221% (9853/10240)              
 [==========================>......................................] 41/98   Step: 963ms | Tot: 40s746ms | Loss: 0.113 | Acc: 96.275% (10105/10496)              
 [===========================>.....................................] 42/98   Step: 1s103ms | Tot: 41s849ms | Loss: 0.112 | Acc: 96.298% (10354/10752)              
 [===========================>.....................................] 43/98   Step: 967ms | Tot: 42s817ms | Loss: 0.111 | Acc: 96.330% (10604/11008)              
 [============================>....................................] 44/98   Step: 982ms | Tot: 43s800ms | Loss: 0.110 | Acc: 96.378% (10856/11264)              
 [=============================>...................................] 45/98   Step: 965ms | Tot: 44s765ms | Loss: 0.109 | Acc: 96.415% (11107/11520)              
 [=============================>...................................] 46/98   Step: 1s83ms | Tot: 45s849ms | Loss: 0.109 | Acc: 96.416% (11354/11776)              
 [==============================>..................................] 47/98   Step: 977ms | Tot: 46s826ms | Loss: 0.108 | Acc: 96.418% (11601/12032)              
 [===============================>.................................] 48/98   Step: 975ms | Tot: 47s801ms | Loss: 0.107 | Acc: 96.452% (11852/12288)              
 [===============================>.................................] 49/98   Step: 960ms | Tot: 48s762ms | Loss: 0.106 | Acc: 96.492% (12104/12544)              
 [================================>................................] 50/98   Step: 962ms | Tot: 49s725ms | Loss: 0.106 | Acc: 96.492% (12351/12800)              
 [=================================>...............................] 51/98   Step: 1s68ms | Tot: 50s794ms | Loss: 0.105 | Acc: 96.523% (12602/13056)              
 [=================================>...............................] 52/98   Step: 964ms | Tot: 51s758ms | Loss: 0.104 | Acc: 96.522% (12849/13312)              
 [==================================>..............................] 53/98   Step: 965ms | Tot: 52s723ms | Loss: 0.104 | Acc: 96.558% (13101/13568)              
 [===================================>.............................] 54/98   Step: 978ms | Tot: 53s702ms | Loss: 0.103 | Acc: 96.549% (13347/13824)              
 [===================================>.............................] 55/98   Step: 1s67ms | Tot: 54s769ms | Loss: 0.102 | Acc: 96.612% (13603/14080)              
 [====================================>............................] 56/98   Step: 961ms | Tot: 55s731ms | Loss: 0.101 | Acc: 96.638% (13854/14336)              
 [=====================================>...........................] 57/98   Step: 967ms | Tot: 56s698ms | Loss: 0.100 | Acc: 96.676% (14107/14592)              
 [=====================================>...........................] 58/98   Step: 966ms | Tot: 57s665ms | Loss: 0.100 | Acc: 96.686% (14356/14848)              
 [======================================>..........................] 59/98   Step: 974ms | Tot: 58s639ms | Loss: 0.099 | Acc: 96.709% (14607/15104)              
 [=======================================>.........................] 60/98   Step: 1s67ms | Tot: 59s707ms | Loss: 0.100 | Acc: 96.706% (14854/15360)              
 [=======================================>.........................] 61/98   Step: 962ms | Tot: 1m670ms | Loss: 0.099 | Acc: 96.721% (15104/15616)              
 [========================================>........................] 62/98   Step: 970ms | Tot: 1m1s | Loss: 0.099 | Acc: 96.724% (15352/15872)              
 [=========================================>.......................] 63/98   Step: 968ms | Tot: 1m2s | Loss: 0.098 | Acc: 96.757% (15605/16128)              
 [=========================================>.......................] 64/98   Step: 1s117ms | Tot: 1m3s | Loss: 0.098 | Acc: 96.777% (15856/16384)              
 [==========================================>......................] 65/98   Step: 968ms | Tot: 1m4s | Loss: 0.097 | Acc: 96.803% (16108/16640)              
 [===========================================>.....................] 66/98   Step: 972ms | Tot: 1m5s | Loss: 0.097 | Acc: 96.834% (16361/16896)              
 [===========================================>.....................] 67/98   Step: 963ms | Tot: 1m6s | Loss: 0.096 | Acc: 96.846% (16611/17152)              
 [============================================>....................] 68/98   Step: 967ms | Tot: 1m7s | Loss: 0.096 | Acc: 96.864% (16862/17408)              
 [=============================================>...................] 69/98   Step: 1s80ms | Tot: 1m8s | Loss: 0.095 | Acc: 96.892% (17115/17664)              
 [=============================================>...................] 70/98   Step: 961ms | Tot: 1m9s | Loss: 0.094 | Acc: 96.914% (17367/17920)              
 [==============================================>..................] 71/98   Step: 963ms | Tot: 1m10s | Loss: 0.094 | Acc: 96.947% (17621/18176)              
 [===============================================>.................] 72/98   Step: 958ms | Tot: 1m11s | Loss: 0.094 | Acc: 96.956% (17871/18432)              
 [===============================================>.................] 73/98   Step: 1s78ms | Tot: 1m12s | Loss: 0.094 | Acc: 96.945% (18117/18688)              
 [================================================>................] 74/98   Step: 994ms | Tot: 1m13s | Loss: 0.093 | Acc: 96.970% (18370/18944)              
