cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset (by weighted the boundary points).
load parameters
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 36000 samples for a fair comparison at each subset.
Selected 36000 samples from all the classes
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/141   Step: 41s950ms | Tot: 0ms | Loss: 0.162 | Acc: 93.750% (240/256)              
 [>................................................................] 2/141   Step: 1s959ms | Tot: 1s959ms | Loss: 0.155 | Acc: 94.336% (483/512)              
 [>................................................................] 3/141   Step: 971ms | Tot: 2s931ms | Loss: 0.151 | Acc: 94.661% (727/768)              
 [=>...............................................................] 4/141   Step: 1s157ms | Tot: 4s88ms | Loss: 0.180 | Acc: 93.945% (962/1024)              
 [=>...............................................................] 5/141   Step: 961ms | Tot: 5s49ms | Loss: 0.185 | Acc: 93.672% (1199/1280)              
 [==>..............................................................] 6/141   Step: 964ms | Tot: 6s13ms | Loss: 0.179 | Acc: 93.945% (1443/1536)              
 [==>..............................................................] 7/141   Step: 977ms | Tot: 6s990ms | Loss: 0.171 | Acc: 94.196% (1688/1792)              
 [===>.............................................................] 8/141   Step: 958ms | Tot: 7s949ms | Loss: 0.174 | Acc: 94.141% (1928/2048)              
 [===>.............................................................] 9/141   Step: 1s60ms | Tot: 9s10ms | Loss: 0.165 | Acc: 94.575% (2179/2304)              
 [====>............................................................] 10/141   Step: 960ms | Tot: 9s970ms | Loss: 0.157 | Acc: 94.805% (2427/2560)              
 [====>............................................................] 11/141   Step: 959ms | Tot: 10s929ms | Loss: 0.157 | Acc: 94.673% (2666/2816)              
 [=====>...........................................................] 12/141   Step: 957ms | Tot: 11s887ms | Loss: 0.161 | Acc: 94.661% (2908/3072)              
 [=====>...........................................................] 13/141   Step: 1s69ms | Tot: 12s956ms | Loss: 0.161 | Acc: 94.651% (3150/3328)              
 [=====>...........................................................] 14/141   Step: 956ms | Tot: 13s912ms | Loss: 0.159 | Acc: 94.754% (3396/3584)              
 [======>..........................................................] 15/141   Step: 961ms | Tot: 14s873ms | Loss: 0.154 | Acc: 94.922% (3645/3840)              
 [======>..........................................................] 16/141   Step: 960ms | Tot: 15s833ms | Loss: 0.151 | Acc: 95.117% (3896/4096)              
 [=======>.........................................................] 17/141   Step: 975ms | Tot: 16s809ms | Loss: 0.148 | Acc: 95.244% (4145/4352)              
 [=======>.........................................................] 18/141   Step: 1s62ms | Tot: 17s872ms | Loss: 0.144 | Acc: 95.443% (4398/4608)              
 [========>........................................................] 19/141   Step: 963ms | Tot: 18s836ms | Loss: 0.141 | Acc: 95.559% (4648/4864)              
 [========>........................................................] 20/141   Step: 961ms | Tot: 19s797ms | Loss: 0.140 | Acc: 95.586% (4894/5120)              
 [=========>.......................................................] 21/141   Step: 965ms | Tot: 20s762ms | Loss: 0.139 | Acc: 95.647% (5142/5376)              
 [=========>.......................................................] 22/141   Step: 1s65ms | Tot: 21s828ms | Loss: 0.138 | Acc: 95.721% (5391/5632)              
 [==========>......................................................] 23/141   Step: 958ms | Tot: 22s787ms | Loss: 0.136 | Acc: 95.822% (5642/5888)              
 [==========>......................................................] 24/141   Step: 977ms | Tot: 23s764ms | Loss: 0.133 | Acc: 95.817% (5887/6144)              
 [===========>.....................................................] 25/141   Step: 962ms | Tot: 24s726ms | Loss: 0.132 | Acc: 95.859% (6135/6400)              
 [===========>.....................................................] 26/141   Step: 961ms | Tot: 25s688ms | Loss: 0.130 | Acc: 95.959% (6387/6656)              
 [===========>.....................................................] 27/141   Step: 1s104ms | Tot: 26s792ms | Loss: 0.127 | Acc: 96.021% (6637/6912)              
 [============>....................................................] 28/141   Step: 958ms | Tot: 27s751ms | Loss: 0.127 | Acc: 96.066% (6886/7168)              
 [============>....................................................] 29/141   Step: 957ms | Tot: 28s709ms | Loss: 0.125 | Acc: 96.107% (7135/7424)              
 [=============>...................................................] 30/141   Step: 964ms | Tot: 29s673ms | Loss: 0.125 | Acc: 96.159% (7385/7680)              
 [=============>...................................................] 31/141   Step: 1s95ms | Tot: 30s768ms | Loss: 0.124 | Acc: 96.195% (7634/7936)              
 [==============>..................................................] 32/141   Step: 956ms | Tot: 31s725ms | Loss: 0.123 | Acc: 96.216% (7882/8192)              
 [==============>..................................................] 33/141   Step: 958ms | Tot: 32s684ms | Loss: 0.122 | Acc: 96.259% (8132/8448)              
 [===============>.................................................] 34/141   Step: 958ms | Tot: 33s642ms | Loss: 0.121 | Acc: 96.266% (8379/8704)              
 [===============>.................................................] 35/141   Step: 960ms | Tot: 34s602ms | Loss: 0.122 | Acc: 96.239% (8623/8960)              
 [================>................................................] 36/141   Step: 1s63ms | Tot: 35s665ms | Loss: 0.120 | Acc: 96.311% (8876/9216)              
 [================>................................................] 37/141   Step: 981ms | Tot: 36s647ms | Loss: 0.119 | Acc: 96.358% (9127/9472)              
 [=================>...............................................] 38/141   Step: 957ms | Tot: 37s605ms | Loss: 0.119 | Acc: 96.361% (9374/9728)              
 [=================>...............................................] 39/141   Step: 960ms | Tot: 38s566ms | Loss: 0.118 | Acc: 96.384% (9623/9984)              
 [=================>...............................................] 40/141   Step: 961ms | Tot: 39s528ms | Loss: 0.118 | Acc: 96.396% (9871/10240)              
 [==================>..............................................] 41/141   Step: 1s65ms | Tot: 40s593ms | Loss: 0.117 | Acc: 96.437% (10122/10496)              
 [==================>..............................................] 42/141   Step: 959ms | Tot: 41s553ms | Loss: 0.116 | Acc: 96.466% (10372/10752)              
 [===================>.............................................] 43/141   Step: 967ms | Tot: 42s521ms | Loss: 0.117 | Acc: 96.430% (10615/11008)              
 [===================>.............................................] 44/141   Step: 957ms | Tot: 43s479ms | Loss: 0.118 | Acc: 96.422% (10861/11264)              
 [====================>............................................] 45/141   Step: 1s73ms | Tot: 44s552ms | Loss: 0.117 | Acc: 96.415% (11107/11520)              
 [====================>............................................] 46/141   Step: 974ms | Tot: 45s527ms | Loss: 0.116 | Acc: 96.450% (11358/11776)              
 [=====================>...........................................] 47/141   Step: 973ms | Tot: 46s501ms | Loss: 0.116 | Acc: 96.493% (11610/12032)              
 [=====================>...........................................] 48/141   Step: 965ms | Tot: 47s467ms | Loss: 0.115 | Acc: 96.509% (11859/12288)              
 [======================>..........................................] 49/141   Step: 962ms | Tot: 48s429ms | Loss: 0.115 | Acc: 96.508% (12106/12544)              
 [======================>..........................................] 50/141   Step: 1s104ms | Tot: 49s534ms | Loss: 0.113 | Acc: 96.547% (12358/12800)              
 [=======================>.........................................] 51/141   Step: 960ms | Tot: 50s494ms | Loss: 0.113 | Acc: 96.592% (12611/13056)              
 [=======================>.........................................] 52/141   Step: 959ms | Tot: 51s454ms | Loss: 0.113 | Acc: 96.597% (12859/13312)              
 [=======================>.........................................] 53/141   Step: 954ms | Tot: 52s408ms | Loss: 0.112 | Acc: 96.624% (13110/13568)              
 [========================>........................................] 54/141   Step: 1s61ms | Tot: 53s469ms | Loss: 0.111 | Acc: 96.651% (13361/13824)              
 [========================>........................................] 55/141   Step: 957ms | Tot: 54s427ms | Loss: 0.111 | Acc: 96.655% (13609/14080)              
 [=========================>.......................................] 56/141   Step: 955ms | Tot: 55s383ms | Loss: 0.110 | Acc: 96.694% (13862/14336)              
 [=========================>.......................................] 57/141   Step: 963ms | Tot: 56s346ms | Loss: 0.109 | Acc: 96.717% (14113/14592)              
 [==========================>......................................] 58/141   Step: 967ms | Tot: 57s314ms | Loss: 0.110 | Acc: 96.707% (14359/14848)              
 [==========================>......................................] 59/141   Step: 1s63ms | Tot: 58s377ms | Loss: 0.109 | Acc: 96.729% (14610/15104)              
 [===========================>.....................................] 60/141   Step: 968ms | Tot: 59s346ms | Loss: 0.108 | Acc: 96.751% (14861/15360)              
 [===========================>.....................................] 61/141   Step: 964ms | Tot: 1m310ms | Loss: 0.108 | Acc: 96.760% (15110/15616)              
 [============================>....................................] 62/141   Step: 958ms | Tot: 1m1s | Loss: 0.108 | Acc: 96.762% (15358/15872)              
 [============================>....................................] 63/141   Step: 1s62ms | Tot: 1m2s | Loss: 0.107 | Acc: 96.776% (15608/16128)              
 [=============================>...................................] 64/141   Step: 957ms | Tot: 1m3s | Loss: 0.107 | Acc: 96.796% (15859/16384)              
 [=============================>...................................] 65/141   Step: 959ms | Tot: 1m4s | Loss: 0.106 | Acc: 96.803% (16108/16640)              
 [=============================>...................................] 66/141   Step: 957ms | Tot: 1m5s | Loss: 0.106 | Acc: 96.822% (16359/16896)              
 [==============================>..................................] 67/141   Step: 957ms | Tot: 1m6s | Loss: 0.105 | Acc: 96.846% (16611/17152)              
 [==============================>..................................] 68/141   Step: 1s91ms | Tot: 1m7s | Loss: 0.105 | Acc: 96.864% (16862/17408)              
 [===============================>.................................] 69/141   Step: 967ms | Tot: 1m8s | Loss: 0.104 | Acc: 96.875% (17112/17664)              
 [===============================>.................................] 70/141   Step: 969ms | Tot: 1m9s | Loss: 0.103 | Acc: 96.908% (17366/17920)              
 [================================>................................] 71/141   Step: 958ms | Tot: 1m10s | Loss: 0.103 | Acc: 96.930% (17618/18176)              
 [================================>................................] 72/141   Step: 956ms | Tot: 1m11s | Loss: 0.103 | Acc: 96.929% (17866/18432)              
 [=================================>...............................] 73/141   Step: 1s62ms | Tot: 1m12s | Loss: 0.104 | Acc: 96.918% (18112/18688)              
 [=================================>...............................] 74/141   Step: 958ms | Tot: 1m13s | Loss: 0.103 | Acc: 96.938% (18364/18944)              
 [==================================>..............................] 75/141   Step: 959ms | Tot: 1m14s | Loss: 0.103 | Acc: 96.953% (18615/19200)              
 [==================================>..............................] 76/141   Step: 957ms | Tot: 1m15s | Loss: 0.102 | Acc: 96.973% (18867/19456)              
 [===================================>.............................] 77/141   Step: 1s106ms | Tot: 1m16s | Loss: 0.102 | Acc: 96.961% (19113/19712)              
 [===================================>.............................] 78/141   Step: 974ms | Tot: 1m17s | Loss: 0.102 | Acc: 96.950% (19359/19968)              
 [===================================>.............................] 79/141   Step: 955ms | Tot: 1m18s | Loss: 0.102 | Acc: 96.934% (19604/20224)              
 [====================================>............................] 80/141   Step: 958ms | Tot: 1m19s | Loss: 0.102 | Acc: 96.953% (19856/20480)              
 [====================================>............................] 81/141   Step: 956ms | Tot: 1m19s | Loss: 0.101 | Acc: 96.971% (20108/20736)              
 [=====================================>...........................] 82/141   Step: 1s59ms | Tot: 1m21s | Loss: 0.100 | Acc: 96.989% (20360/20992)              
 [=====================================>...........................] 83/141   Step: 955ms | Tot: 1m22s | Loss: 0.100 | Acc: 97.002% (20611/21248)              
 [======================================>..........................] 84/141   Step: 957ms | Tot: 1m22s | Loss: 0.100 | Acc: 97.010% (20861/21504)              
 [======================================>..........................] 85/141   Step: 957ms | Tot: 1m23s | Loss: 0.099 | Acc: 97.017% (21111/21760)              
 [=======================================>.........................] 86/141   Step: 1s64ms | Tot: 1m24s | Loss: 0.099 | Acc: 97.025% (21361/22016)              
 [=======================================>.........................] 87/141   Step: 955ms | Tot: 1m25s | Loss: 0.099 | Acc: 97.019% (21608/22272)              
 [========================================>........................] 88/141   Step: 974ms | Tot: 1m26s | Loss: 0.099 | Acc: 97.017% (21856/22528)              
 [========================================>........................] 89/141   Step: 956ms | Tot: 1m27s | Loss: 0.099 | Acc: 97.015% (22104/22784)              
 [=========================================>.......................] 90/141   Step: 963ms | Tot: 1m28s | Loss: 0.099 | Acc: 97.005% (22350/23040)              
 [=========================================>.......................] 91/141   Step: 1s61ms | Tot: 1m29s | Loss: 0.099 | Acc: 97.017% (22601/23296)              
 [=========================================>.......................] 92/141   Step: 956ms | Tot: 1m30s | Loss: 0.098 | Acc: 97.015% (22849/23552)              
 [==========================================>......................] 93/141   Step: 964ms | Tot: 1m31s | Loss: 0.098 | Acc: 97.030% (23101/23808)              
 [==========================================>......................] 94/141   Step: 961ms | Tot: 1m32s | Loss: 0.098 | Acc: 97.029% (23349/24064)              
 [===========================================>.....................] 95/141   Step: 1s66ms | Tot: 1m33s | Loss: 0.098 | Acc: 97.039% (23600/24320)              
 [===========================================>.....................] 96/141   Step: 956ms | Tot: 1m34s | Loss: 0.097 | Acc: 97.058% (23853/24576)              
 [============================================>....................] 97/141   Step: 956ms | Tot: 1m35s | Loss: 0.096 | Acc: 97.080% (24107/24832)              
 [============================================>....................] 98/141   Step: 975ms | Tot: 1m36s | Loss: 0.096 | Acc: 97.086% (24357/25088)              
 [=============================================>...................] 99/141   Step: 960ms | Tot: 1m37s | Loss: 0.096 | Acc: 97.104% (24610/25344)              
 [=============================================>...................] 100/141   Step: 1s63ms | Tot: 1m38s | Loss: 0.096 | Acc: 97.094% (24856/25600)              
 [==============================================>..................] 101/141   Step: 956ms | Tot: 1m39s | Loss: 0.096 | Acc: 97.103% (25107/25856)              
 [==============================================>..................] 102/141   Step: 958ms | Tot: 1m40s | Loss: 0.096 | Acc: 97.109% (25357/26112)              
 [===============================================>.................] 103/141   Step: 954ms | Tot: 1m41s | Loss: 0.095 | Acc: 97.114% (25607/26368)              
 [===============================================>.................] 104/141   Step: 954ms | Tot: 1m42s | Loss: 0.095 | Acc: 97.119% (25857/26624)              
 [===============================================>.................] 105/141   Step: 1s72ms | Tot: 1m43s | Loss: 0.095 | Acc: 97.117% (26105/26880)              
 [================================================>................] 106/141   Step: 958ms | Tot: 1m44s | Loss: 0.095 | Acc: 97.133% (26358/27136)              
 [================================================>................] 107/141   Step: 960ms | Tot: 1m45s | Loss: 0.095 | Acc: 97.142% (26609/27392)              
 [=================================================>...............] 108/141   Step: 976ms | Tot: 1m46s | Loss: 0.094 | Acc: 97.146% (26859/27648)              
 [=================================================>...............] 109/141   Step: 1s59ms | Tot: 1m47s | Loss: 0.094 | Acc: 97.147% (27108/27904)              
 [==================================================>..............] 110/141   Step: 960ms | Tot: 1m48s | Loss: 0.094 | Acc: 97.141% (27355/28160)              
 [==================================================>..............] 111/141   Step: 954ms | Tot: 1m49s | Loss: 0.094 | Acc: 97.153% (27607/28416)              
 [===================================================>.............] 112/141   Step: 955ms | Tot: 1m50s | Loss: 0.094 | Acc: 97.154% (27856/28672)              
 [===================================================>.............] 113/141   Step: 958ms | Tot: 1m51s | Loss: 0.093 | Acc: 97.158% (28106/28928)              
 [====================================================>............] 114/141   Step: 1s63ms | Tot: 1m52s | Loss: 0.093 | Acc: 97.166% (28357/29184)              
 [====================================================>............] 115/141   Step: 963ms | Tot: 1m53s | Loss: 0.093 | Acc: 97.177% (28609/29440)              
 [=====================================================>...........] 116/141   Step: 955ms | Tot: 1m54s | Loss: 0.093 | Acc: 97.181% (28859/29696)              
 [=====================================================>...........] 117/141   Step: 956ms | Tot: 1m55s | Loss: 0.092 | Acc: 97.189% (29110/29952)              
 [=====================================================>...........] 118/141   Step: 957ms | Tot: 1m56s | Loss: 0.093 | Acc: 97.180% (29356/30208)              
 [======================================================>..........] 119/141   Step: 1s115ms | Tot: 1m57s | Loss: 0.092 | Acc: 97.193% (29609/30464)              
 [======================================================>..........] 120/141   Step: 954ms | Tot: 1m58s | Loss: 0.092 | Acc: 97.197% (29859/30720)              
 [=======================================================>.........] 121/141   Step: 961ms | Tot: 1m59s | Loss: 0.092 | Acc: 97.208% (30111/30976)              
 [=======================================================>.........] 122/141   Step: 960ms | Tot: 2m331ms | Loss: 0.092 | Acc: 97.211% (30361/31232)              
 [========================================================>........] 123/141   Step: 1s65ms | Tot: 2m1s | Loss: 0.092 | Acc: 97.218% (30612/31488)              
 [========================================================>........] 124/141   Step: 955ms | Tot: 2m2s | Loss: 0.091 | Acc: 97.234% (30866/31744)              
 [=========================================================>.......] 125/141   Step: 959ms | Tot: 2m3s | Loss: 0.091 | Acc: 97.237% (31116/32000)              
 [=========================================================>.......] 126/141   Step: 954ms | Tot: 2m4s | Loss: 0.091 | Acc: 97.241% (31366/32256)              
 [==========================================================>......] 127/141   Step: 956ms | Tot: 2m5s | Loss: 0.091 | Acc: 97.244% (31616/32512)              
 [==========================================================>......] 128/141   Step: 1s59ms | Tot: 2m6s | Loss: 0.090 | Acc: 97.260% (31870/32768)              
 [===========================================================>.....] 129/141   Step: 972ms | Tot: 2m7s | Loss: 0.090 | Acc: 97.263% (32120/33024)              
 [===========================================================>.....] 130/141   Step: 953ms | Tot: 2m8s | Loss: 0.090 | Acc: 97.272% (32372/33280)              
 [===========================================================>.....] 131/141   Step: 958ms | Tot: 2m9s | Loss: 0.090 | Acc: 97.257% (32616/33536)              
 [============================================================>....] 132/141   Step: 1s62ms | Tot: 2m10s | Loss: 0.090 | Acc: 97.263% (32867/33792)              
 [============================================================>....] 133/141   Step: 954ms | Tot: 2m11s | Loss: 0.090 | Acc: 97.271% (33119/34048)              
 [=============================================================>...] 134/141   Step: 955ms | Tot: 2m12s | Loss: 0.089 | Acc: 97.277% (33370/34304)              
 [=============================================================>...] 135/141   Step: 956ms | Tot: 2m13s | Loss: 0.089 | Acc: 97.286% (33622/34560)              
 [==============================================================>..] 136/141   Step: 954ms | Tot: 2m14s | Loss: 0.089 | Acc: 97.297% (33875/34816)              
