cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 1
Train with the cl selected dataset.
------------------ Start to select subsets ------------------
Start to select 14546 samples for a fair comparison.
Use multiple GPU to train the network.
Use 150 epochs

Epoch: 0
 [>................................................................] 1/57   Step: 39s941ms | Tot: 0ms | Loss: 2.331 | Acc: 12.109% (31/256)              
 [=>...............................................................] 2/57   Step: 2s48ms | Tot: 2s48ms | Loss: 2.309 | Acc: 13.867% (71/512)              
 [==>..............................................................] 3/57   Step: 961ms | Tot: 3s9ms | Loss: 2.303 | Acc: 15.755% (121/768)              
 [===>.............................................................] 4/57   Step: 1s138ms | Tot: 4s148ms | Loss: 2.243 | Acc: 17.676% (181/1024)              
 [====>............................................................] 5/57   Step: 952ms | Tot: 5s100ms | Loss: 2.235 | Acc: 19.297% (247/1280)              
 [=====>...........................................................] 6/57   Step: 952ms | Tot: 6s53ms | Loss: 2.246 | Acc: 19.922% (306/1536)              
 [======>..........................................................] 7/57   Step: 950ms | Tot: 7s3ms | Loss: 2.246 | Acc: 19.699% (353/1792)              
 [=======>.........................................................] 8/57   Step: 946ms | Tot: 7s950ms | Loss: 2.296 | Acc: 19.238% (394/2048)              
 [=========>.......................................................] 9/57   Step: 1s51ms | Tot: 9s2ms | Loss: 2.285 | Acc: 19.835% (457/2304)              
 [==========>......................................................] 10/57   Step: 951ms | Tot: 9s953ms | Loss: 2.314 | Acc: 19.844% (508/2560)              
 [===========>.....................................................] 11/57   Step: 959ms | Tot: 10s912ms | Loss: 2.295 | Acc: 20.099% (566/2816)              
 [============>....................................................] 12/57   Step: 955ms | Tot: 11s867ms | Loss: 2.289 | Acc: 20.280% (623/3072)              
 [=============>...................................................] 13/57   Step: 945ms | Tot: 12s813ms | Loss: 2.277 | Acc: 20.613% (686/3328)              
 [==============>..................................................] 14/57   Step: 1s51ms | Tot: 13s865ms | Loss: 2.244 | Acc: 21.261% (762/3584)              
 [===============>.................................................] 15/57   Step: 952ms | Tot: 14s818ms | Loss: 2.227 | Acc: 21.719% (834/3840)              
 [=================>...............................................] 16/57   Step: 950ms | Tot: 15s768ms | Loss: 2.209 | Acc: 22.363% (916/4096)              
 [==================>..............................................] 17/57   Step: 965ms | Tot: 16s734ms | Loss: 2.195 | Acc: 22.564% (982/4352)              
 [===================>.............................................] 18/57   Step: 958ms | Tot: 17s692ms | Loss: 2.182 | Acc: 22.678% (1045/4608)              
 [====================>............................................] 19/57   Step: 1s53ms | Tot: 18s745ms | Loss: 2.187 | Acc: 22.533% (1096/4864)              
 [=====================>...........................................] 20/57   Step: 956ms | Tot: 19s702ms | Loss: 2.186 | Acc: 22.773% (1166/5120)              
 [======================>..........................................] 21/57   Step: 962ms | Tot: 20s664ms | Loss: 2.173 | Acc: 23.326% (1254/5376)              
 [=======================>.........................................] 22/57   Step: 981ms | Tot: 21s645ms | Loss: 2.174 | Acc: 23.278% (1311/5632)              
 [=========================>.......................................] 23/57   Step: 1s93ms | Tot: 22s739ms | Loss: 2.166 | Acc: 23.556% (1387/5888)              
 [==========================>......................................] 24/57   Step: 946ms | Tot: 23s685ms | Loss: 2.157 | Acc: 23.926% (1470/6144)              
 [===========================>.....................................] 25/57   Step: 950ms | Tot: 24s636ms | Loss: 2.144 | Acc: 24.219% (1550/6400)              
 [============================>....................................] 26/57   Step: 950ms | Tot: 25s587ms | Loss: 2.136 | Acc: 24.414% (1625/6656)              
 [=============================>...................................] 27/57   Step: 954ms | Tot: 26s542ms | Loss: 2.129 | Acc: 24.740% (1710/6912)              
 [==============================>..................................] 28/57   Step: 1s53ms | Tot: 27s595ms | Loss: 2.116 | Acc: 25.000% (1792/7168)              
 [===============================>.................................] 29/57   Step: 945ms | Tot: 28s541ms | Loss: 2.108 | Acc: 25.229% (1873/7424)              
 [=================================>...............................] 30/57   Step: 957ms | Tot: 29s499ms | Loss: 2.101 | Acc: 25.482% (1957/7680)              
 [==================================>..............................] 31/57   Step: 955ms | Tot: 30s454ms | Loss: 2.092 | Acc: 25.643% (2035/7936)              
 [===================================>.............................] 32/57   Step: 967ms | Tot: 31s422ms | Loss: 2.082 | Acc: 25.818% (2115/8192)              
 [====================================>............................] 33/57   Step: 1s82ms | Tot: 32s505ms | Loss: 2.077 | Acc: 25.817% (2181/8448)              
 [=====================================>...........................] 34/57   Step: 951ms | Tot: 33s456ms | Loss: 2.066 | Acc: 26.195% (2280/8704)              
 [======================================>..........................] 35/57   Step: 952ms | Tot: 34s408ms | Loss: 2.059 | Acc: 26.317% (2358/8960)              
 [=======================================>.........................] 36/57   Step: 949ms | Tot: 35s358ms | Loss: 2.058 | Acc: 26.432% (2436/9216)              
 [=========================================>.......................] 37/57   Step: 1s73ms | Tot: 36s432ms | Loss: 2.053 | Acc: 26.594% (2519/9472)              
 [==========================================>......................] 38/57   Step: 956ms | Tot: 37s388ms | Loss: 2.047 | Acc: 26.758% (2603/9728)              
 [===========================================>.....................] 39/57   Step: 955ms | Tot: 38s344ms | Loss: 2.040 | Acc: 26.933% (2689/9984)              
 [============================================>....................] 40/57   Step: 949ms | Tot: 39s294ms | Loss: 2.033 | Acc: 27.168% (2782/10240)              
 [=============================================>...................] 41/57   Step: 954ms | Tot: 40s249ms | Loss: 2.026 | Acc: 27.315% (2867/10496)              
 [==============================================>..................] 42/57   Step: 1s90ms | Tot: 41s340ms | Loss: 2.020 | Acc: 27.539% (2961/10752)              
 [===============================================>.................] 43/57   Step: 978ms | Tot: 42s318ms | Loss: 2.015 | Acc: 27.907% (3072/11008)              
 [=================================================>...............] 44/57   Step: 951ms | Tot: 43s270ms | Loss: 2.006 | Acc: 28.054% (3160/11264)              
 [==================================================>..............] 45/57   Step: 954ms | Tot: 44s225ms | Loss: 2.000 | Acc: 28.264% (3256/11520)              
 [===================================================>.............] 46/57   Step: 947ms | Tot: 45s173ms | Loss: 1.994 | Acc: 28.482% (3354/11776)              
 [====================================================>............] 47/57   Step: 1s78ms | Tot: 46s251ms | Loss: 1.988 | Acc: 28.707% (3454/12032)              
 [=====================================================>...........] 48/57   Step: 959ms | Tot: 47s211ms | Loss: 1.978 | Acc: 29.110% (3577/12288)              
 [======================================================>..........] 49/57   Step: 948ms | Tot: 48s160ms | Loss: 1.969 | Acc: 29.408% (3689/12544)              
 [=======================================================>.........] 50/57   Step: 945ms | Tot: 49s105ms | Loss: 1.963 | Acc: 29.516% (3778/12800)              
 [=========================================================>.......] 51/57   Step: 1s65ms | Tot: 50s171ms | Loss: 1.957 | Acc: 29.726% (3881/13056)              
 [==========================================================>......] 52/57   Step: 970ms | Tot: 51s142ms | Loss: 1.950 | Acc: 30.011% (3995/13312)              
 [===========================================================>.....] 53/57   Step: 950ms | Tot: 52s92ms | Loss: 1.945 | Acc: 30.226% (4101/13568)              
 [============================================================>....] 54/57   Step: 837ms | Tot: 52s930ms | Loss: 1.938 | Acc: 30.411% (4204/13824)              
 [=============================================================>...] 55/57   Step: 837ms | Tot: 53s768ms | Loss: 1.930 | Acc: 30.717% (4325/14080)              
 [==============================================================>..] 56/57   Step: 941ms | Tot: 54s709ms | Loss: 1.923 | Acc: 30.957% (4438/14336)              
 [===============================================================>.] 57/57   Step: 9s971ms | Tot: 1m4s | Loss: 1.918 | Acc: 31.136% (4529/14546)
 [>................................................................] 1/40   Step: 1s114ms | Tot: 0ms | Loss: 2.196 | Acc: 33.594% (86/256)              
 [=>...............................................................] 2/40   Step: 440ms | Tot: 440ms | Loss: 2.192 | Acc: 33.789% (173/512)              
 [===>.............................................................] 3/40   Step: 429ms | Tot: 869ms | Loss: 2.342 | Acc: 33.203% (255/768)              
 [====>............................................................] 4/40   Step: 613ms | Tot: 1s483ms | Loss: 2.329 | Acc: 31.250% (320/1024)              
 [======>..........................................................] 5/40   Step: 425ms | Tot: 1s909ms | Loss: 2.288 | Acc: 31.797% (407/1280)              
 [========>........................................................] 6/40   Step: 424ms | Tot: 2s333ms | Loss: 2.299 | Acc: 31.120% (478/1536)              
 [=========>.......................................................] 7/40   Step: 428ms | Tot: 2s762ms | Loss: 2.322 | Acc: 30.748% (551/1792)              
 [===========>.....................................................] 8/40   Step: 424ms | Tot: 3s187ms | Loss: 2.345 | Acc: 30.225% (619/2048)              
 [=============>...................................................] 9/40   Step: 533ms | Tot: 3s720ms | Loss: 2.338 | Acc: 30.208% (696/2304)              
 [==============>..................................................] 10/40   Step: 420ms | Tot: 4s141ms | Loss: 2.336 | Acc: 30.000% (768/2560)              
 [================>................................................] 11/40   Step: 421ms | Tot: 4s562ms | Loss: 2.324 | Acc: 30.256% (852/2816)              
 [=================>...............................................] 12/40   Step: 432ms | Tot: 4s995ms | Loss: 2.313 | Acc: 30.534% (938/3072)              
 [===================>.............................................] 13/40   Step: 436ms | Tot: 5s431ms | Loss: 2.319 | Acc: 30.649% (1020/3328)              
 [=====================>...........................................] 14/40   Step: 440ms | Tot: 5s871ms | Loss: 2.335 | Acc: 30.552% (1095/3584)              
 [======================>..........................................] 15/40   Step: 526ms | Tot: 6s398ms | Loss: 2.334 | Acc: 30.703% (1179/3840)              
 [========================>........................................] 16/40   Step: 418ms | Tot: 6s816ms | Loss: 2.330 | Acc: 30.859% (1264/4096)              
 [==========================>......................................] 17/40   Step: 418ms | Tot: 7s234ms | Loss: 2.329 | Acc: 30.653% (1334/4352)              
 [===========================>.....................................] 18/40   Step: 423ms | Tot: 7s657ms | Loss: 2.332 | Acc: 30.425% (1402/4608)              
 [=============================>...................................] 19/40   Step: 431ms | Tot: 8s89ms | Loss: 2.334 | Acc: 30.489% (1483/4864)              
 [==============================>..................................] 20/40   Step: 542ms | Tot: 8s632ms | Loss: 2.328 | Acc: 30.508% (1562/5120)              
 [================================>................................] 21/40   Step: 420ms | Tot: 9s52ms | Loss: 2.327 | Acc: 30.469% (1638/5376)              
 [==================================>..............................] 22/40   Step: 422ms | Tot: 9s475ms | Loss: 2.329 | Acc: 30.575% (1722/5632)              
 [===================================>.............................] 23/40   Step: 421ms | Tot: 9s896ms | Loss: 2.326 | Acc: 30.656% (1805/5888)              
 [=====================================>...........................] 24/40   Step: 415ms | Tot: 10s312ms | Loss: 2.312 | Acc: 30.892% (1898/6144)              
 [=======================================>.........................] 25/40   Step: 416ms | Tot: 10s728ms | Loss: 2.310 | Acc: 30.969% (1982/6400)              
 [========================================>........................] 26/40   Step: 528ms | Tot: 11s257ms | Loss: 2.312 | Acc: 30.814% (2051/6656)              
 [==========================================>......................] 27/40   Step: 418ms | Tot: 11s675ms | Loss: 2.317 | Acc: 30.816% (2130/6912)              
 [===========================================>.....................] 28/40   Step: 415ms | Tot: 12s90ms | Loss: 2.314 | Acc: 30.594% (2193/7168)              
 [=============================================>...................] 29/40   Step: 414ms | Tot: 12s504ms | Loss: 2.311 | Acc: 30.590% (2271/7424)              
 [===============================================>.................] 30/40   Step: 419ms | Tot: 12s923ms | Loss: 2.316 | Acc: 30.495% (2342/7680)              
 [================================================>................] 31/40   Step: 520ms | Tot: 13s444ms | Loss: 2.306 | Acc: 30.519% (2422/7936)              
 [==================================================>..............] 32/40   Step: 420ms | Tot: 13s865ms | Loss: 2.310 | Acc: 30.530% (2501/8192)              
 [====================================================>............] 33/40   Step: 416ms | Tot: 14s281ms | Loss: 2.309 | Acc: 30.575% (2583/8448)              
 [=====================================================>...........] 34/40   Step: 416ms | Tot: 14s698ms | Loss: 2.302 | Acc: 30.641% (2667/8704)              
 [=======================================================>.........] 35/40   Step: 437ms | Tot: 15s136ms | Loss: 2.302 | Acc: 30.692% (2750/8960)              
 [========================================================>........] 36/40   Step: 379ms | Tot: 15s516ms | Loss: 2.300 | Acc: 30.621% (2822/9216)              
 [==========================================================>......] 37/40   Step: 490ms | Tot: 16s6ms | Loss: 2.299 | Acc: 30.500% (2889/9472)              
 [============================================================>....] 38/40   Step: 374ms | Tot: 16s381ms | Loss: 2.298 | Acc: 30.520% (2969/9728)              
 [=============================================================>...] 39/40   Step: 370ms | Tot: 16s751ms | Loss: 2.305 | Acc: 30.429% (3038/9984)              
 [===============================================================>.] 40/40   Step: 2s388ms | Tot: 19s139ms | Loss: 2.305 | Acc: 30.430% (3043/10000)
Saving with better validation accuracy model: 30.430..

Epoch: 1
 [>................................................................] 1/57   Step: 2s956ms | Tot: 0ms | Loss: 1.649 | Acc: 38.672% (99/256)              
 [=>...............................................................] 2/57   Step: 1s117ms | Tot: 1s118ms | Loss: 1.618 | Acc: 40.430% (207/512)              
 [==>..............................................................] 3/57   Step: 965ms | Tot: 2s83ms | Loss: 1.569 | Acc: 41.927% (322/768)              
 [===>.............................................................] 4/57   Step: 974ms | Tot: 3s58ms | Loss: 1.578 | Acc: 42.578% (436/1024)              
 [====>............................................................] 5/57   Step: 968ms | Tot: 4s26ms | Loss: 1.570 | Acc: 42.656% (546/1280)              
 [=====>...........................................................] 6/57   Step: 957ms | Tot: 4s983ms | Loss: 1.567 | Acc: 42.773% (657/1536)              
 [======>..........................................................] 7/57   Step: 1s47ms | Tot: 6s31ms | Loss: 1.575 | Acc: 42.801% (767/1792)              
 [=======>.........................................................] 8/57   Step: 958ms | Tot: 6s990ms | Loss: 1.576 | Acc: 43.018% (881/2048)              
 [=========>.......................................................] 9/57   Step: 959ms | Tot: 7s949ms | Loss: 1.583 | Acc: 42.622% (982/2304)              
 [==========>......................................................] 10/57   Step: 959ms | Tot: 8s908ms | Loss: 1.580 | Acc: 42.969% (1100/2560)              
 [===========>.....................................................] 11/57   Step: 1s71ms | Tot: 9s980ms | Loss: 1.575 | Acc: 43.501% (1225/2816)              
 [============>....................................................] 12/57   Step: 960ms | Tot: 10s941ms | Loss: 1.581 | Acc: 43.294% (1330/3072)              
 [=============>...................................................] 13/57   Step: 959ms | Tot: 11s900ms | Loss: 1.581 | Acc: 43.450% (1446/3328)              
 [==============>..................................................] 14/57   Step: 956ms | Tot: 12s856ms | Loss: 1.582 | Acc: 43.276% (1551/3584)              
 [===============>.................................................] 15/57   Step: 968ms | Tot: 13s825ms | Loss: 1.583 | Acc: 43.073% (1654/3840)              
