cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset (by weighted the boundary points).
load parameters
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 20000 samples for a fair comparison.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/79   Step: 40s736ms | Tot: 0ms | Loss: 0.209 | Acc: 91.797% (235/256)              
 [>................................................................] 2/79   Step: 1s972ms | Tot: 1s972ms | Loss: 0.226 | Acc: 91.797% (470/512)              
 [=>...............................................................] 3/79   Step: 977ms | Tot: 2s949ms | Loss: 0.241 | Acc: 91.797% (705/768)              
 [==>..............................................................] 4/79   Step: 1s158ms | Tot: 4s108ms | Loss: 0.232 | Acc: 91.992% (942/1024)              
 [===>.............................................................] 5/79   Step: 979ms | Tot: 5s88ms | Loss: 0.240 | Acc: 91.719% (1174/1280)              
 [====>............................................................] 6/79   Step: 965ms | Tot: 6s53ms | Loss: 0.247 | Acc: 91.992% (1413/1536)              
 [====>............................................................] 7/79   Step: 962ms | Tot: 7s16ms | Loss: 0.244 | Acc: 92.132% (1651/1792)              
 [=====>...........................................................] 8/79   Step: 963ms | Tot: 7s980ms | Loss: 0.241 | Acc: 92.188% (1888/2048)              
 [======>..........................................................] 9/79   Step: 1s70ms | Tot: 9s50ms | Loss: 0.234 | Acc: 92.231% (2125/2304)              
 [=======>.........................................................] 10/79   Step: 964ms | Tot: 10s15ms | Loss: 0.233 | Acc: 92.383% (2365/2560)              
 [========>........................................................] 11/79   Step: 964ms | Tot: 10s979ms | Loss: 0.230 | Acc: 92.578% (2607/2816)              
 [=========>.......................................................] 12/79   Step: 961ms | Tot: 11s941ms | Loss: 0.236 | Acc: 92.415% (2839/3072)              
 [=========>.......................................................] 13/79   Step: 966ms | Tot: 12s908ms | Loss: 0.239 | Acc: 92.398% (3075/3328)              
 [==========>......................................................] 14/79   Step: 1s80ms | Tot: 13s988ms | Loss: 0.239 | Acc: 92.383% (3311/3584)              
 [===========>.....................................................] 15/79   Step: 982ms | Tot: 14s971ms | Loss: 0.233 | Acc: 92.526% (3553/3840)              
 [============>....................................................] 16/79   Step: 967ms | Tot: 15s938ms | Loss: 0.231 | Acc: 92.676% (3796/4096)              
 [=============>...................................................] 17/79   Step: 978ms | Tot: 16s917ms | Loss: 0.229 | Acc: 92.831% (4040/4352)              
 [=============>...................................................] 18/79   Step: 968ms | Tot: 17s886ms | Loss: 0.225 | Acc: 92.904% (4281/4608)              
 [==============>..................................................] 19/79   Step: 1s71ms | Tot: 18s957ms | Loss: 0.226 | Acc: 92.907% (4519/4864)              
 [===============>.................................................] 20/79   Step: 971ms | Tot: 19s928ms | Loss: 0.226 | Acc: 92.891% (4756/5120)              
 [================>................................................] 21/79   Step: 965ms | Tot: 20s894ms | Loss: 0.226 | Acc: 92.801% (4989/5376)              
 [=================>...............................................] 22/79   Step: 969ms | Tot: 21s864ms | Loss: 0.224 | Acc: 92.791% (5226/5632)              
 [==================>..............................................] 23/79   Step: 1s114ms | Tot: 22s979ms | Loss: 0.226 | Acc: 92.799% (5464/5888)              
 [==================>..............................................] 24/79   Step: 965ms | Tot: 23s944ms | Loss: 0.228 | Acc: 92.839% (5704/6144)              
 [===================>.............................................] 25/79   Step: 981ms | Tot: 24s926ms | Loss: 0.227 | Acc: 92.875% (5944/6400)              
 [====================>............................................] 26/79   Step: 960ms | Tot: 25s886ms | Loss: 0.226 | Acc: 92.864% (6181/6656)              
 [=====================>...........................................] 27/79   Step: 965ms | Tot: 26s852ms | Loss: 0.223 | Acc: 92.911% (6422/6912)              
 [======================>..........................................] 28/79   Step: 1s67ms | Tot: 27s919ms | Loss: 0.222 | Acc: 92.969% (6664/7168)              
 [=======================>.........................................] 29/79   Step: 965ms | Tot: 28s885ms | Loss: 0.224 | Acc: 92.928% (6899/7424)              
 [=======================>.........................................] 30/79   Step: 965ms | Tot: 29s850ms | Loss: 0.221 | Acc: 93.021% (7144/7680)              
 [========================>........................................] 31/79   Step: 966ms | Tot: 30s816ms | Loss: 0.218 | Acc: 93.120% (7390/7936)              
 [=========================>.......................................] 32/79   Step: 1s73ms | Tot: 31s890ms | Loss: 0.218 | Acc: 93.127% (7629/8192)              
 [==========================>......................................] 33/79   Step: 960ms | Tot: 32s850ms | Loss: 0.215 | Acc: 93.241% (7877/8448)              
 [===========================>.....................................] 34/79   Step: 963ms | Tot: 33s814ms | Loss: 0.214 | Acc: 93.267% (8118/8704)              
 [===========================>.....................................] 35/79   Step: 977ms | Tot: 34s791ms | Loss: 0.214 | Acc: 93.281% (8358/8960)              
 [============================>....................................] 36/79   Step: 960ms | Tot: 35s752ms | Loss: 0.211 | Acc: 93.305% (8599/9216)              
 [=============================>...................................] 37/79   Step: 1s85ms | Tot: 36s837ms | Loss: 0.209 | Acc: 93.370% (8844/9472)              
 [==============================>..................................] 38/79   Step: 977ms | Tot: 37s814ms | Loss: 0.208 | Acc: 93.390% (9085/9728)              
 [===============================>.................................] 39/79   Step: 967ms | Tot: 38s782ms | Loss: 0.207 | Acc: 93.419% (9327/9984)              
 [================================>................................] 40/79   Step: 966ms | Tot: 39s749ms | Loss: 0.206 | Acc: 93.447% (9569/10240)              
 [================================>................................] 41/79   Step: 966ms | Tot: 40s715ms | Loss: 0.206 | Acc: 93.464% (9810/10496)              
 [=================================>...............................] 42/79   Step: 1s105ms | Tot: 41s820ms | Loss: 0.204 | Acc: 93.490% (10052/10752)              
 [==================================>..............................] 43/79   Step: 961ms | Tot: 42s782ms | Loss: 0.205 | Acc: 93.450% (10287/11008)              
 [===================================>.............................] 44/79   Step: 966ms | Tot: 43s749ms | Loss: 0.204 | Acc: 93.493% (10531/11264)              
 [====================================>............................] 45/79   Step: 979ms | Tot: 44s728ms | Loss: 0.204 | Acc: 93.498% (10771/11520)              
 [=====================================>...........................] 46/79   Step: 1s78ms | Tot: 45s807ms | Loss: 0.205 | Acc: 93.504% (11011/11776)              
 [=====================================>...........................] 47/79   Step: 965ms | Tot: 46s772ms | Loss: 0.204 | Acc: 93.517% (11252/12032)              
 [======================================>..........................] 48/79   Step: 964ms | Tot: 47s736ms | Loss: 0.204 | Acc: 93.522% (11492/12288)              
 [=======================================>.........................] 49/79   Step: 962ms | Tot: 48s699ms | Loss: 0.204 | Acc: 93.503% (11729/12544)              
 [========================================>........................] 50/79   Step: 959ms | Tot: 49s658ms | Loss: 0.202 | Acc: 93.578% (11978/12800)              
 [=========================================>.......................] 51/79   Step: 1s65ms | Tot: 50s724ms | Loss: 0.202 | Acc: 93.581% (12218/13056)              
 [=========================================>.......................] 52/79   Step: 968ms | Tot: 51s692ms | Loss: 0.203 | Acc: 93.555% (12454/13312)              
 [==========================================>......................] 53/79   Step: 959ms | Tot: 52s652ms | Loss: 0.202 | Acc: 93.588% (12698/13568)              
 [===========================================>.....................] 54/79   Step: 963ms | Tot: 53s615ms | Loss: 0.202 | Acc: 93.598% (12939/13824)              
 [============================================>....................] 55/79   Step: 975ms | Tot: 54s591ms | Loss: 0.202 | Acc: 93.608% (13180/14080)              
 [=============================================>...................] 56/79   Step: 1s65ms | Tot: 55s657ms | Loss: 0.202 | Acc: 93.604% (13419/14336)              
 [==============================================>..................] 57/79   Step: 969ms | Tot: 56s626ms | Loss: 0.201 | Acc: 93.640% (13664/14592)              
 [==============================================>..................] 58/79   Step: 965ms | Tot: 57s591ms | Loss: 0.202 | Acc: 93.609% (13899/14848)              
 [===============================================>.................] 59/79   Step: 962ms | Tot: 58s553ms | Loss: 0.201 | Acc: 93.671% (14148/15104)              
 [================================================>................] 60/79   Step: 961ms | Tot: 59s515ms | Loss: 0.201 | Acc: 93.672% (14388/15360)              
 [=================================================>...............] 61/79   Step: 1s63ms | Tot: 1m579ms | Loss: 0.201 | Acc: 93.692% (14631/15616)              
 [==================================================>..............] 62/79   Step: 962ms | Tot: 1m1s | Loss: 0.201 | Acc: 93.706% (14873/15872)              
 [===================================================>.............] 63/79   Step: 963ms | Tot: 1m2s | Loss: 0.199 | Acc: 93.769% (15123/16128)              
 [===================================================>.............] 64/79   Step: 973ms | Tot: 1m3s | Loss: 0.199 | Acc: 93.774% (15364/16384)              
 [====================================================>............] 65/79   Step: 1s84ms | Tot: 1m4s | Loss: 0.199 | Acc: 93.774% (15604/16640)              
 [=====================================================>...........] 66/79   Step: 969ms | Tot: 1m5s | Loss: 0.199 | Acc: 93.762% (15842/16896)              
 [======================================================>..........] 67/79   Step: 962ms | Tot: 1m6s | Loss: 0.198 | Acc: 93.744% (16079/17152)              
 [=======================================================>.........] 68/79   Step: 960ms | Tot: 1m7s | Loss: 0.198 | Acc: 93.761% (16322/17408)              
 [=======================================================>.........] 69/79   Step: 964ms | Tot: 1m8s | Loss: 0.197 | Acc: 93.784% (16566/17664)              
