cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset (by weighted the boundary points).
load parameters
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 36000 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/141   Step: 40s832ms | Tot: 0ms | Loss: 0.183 | Acc: 94.141% (241/256)              
 [>................................................................] 2/141   Step: 1s968ms | Tot: 1s968ms | Loss: 0.181 | Acc: 93.359% (478/512)              
 [>................................................................] 3/141   Step: 976ms | Tot: 2s944ms | Loss: 0.167 | Acc: 94.010% (722/768)              
 [=>...............................................................] 4/141   Step: 1s160ms | Tot: 4s105ms | Loss: 0.158 | Acc: 94.531% (968/1024)              
 [=>...............................................................] 5/141   Step: 966ms | Tot: 5s71ms | Loss: 0.150 | Acc: 95.156% (1218/1280)              
 [==>..............................................................] 6/141   Step: 980ms | Tot: 6s51ms | Loss: 0.146 | Acc: 95.443% (1466/1536)              
 [==>..............................................................] 7/141   Step: 964ms | Tot: 7s16ms | Loss: 0.146 | Acc: 95.312% (1708/1792)              
 [===>.............................................................] 8/141   Step: 966ms | Tot: 7s983ms | Loss: 0.143 | Acc: 95.410% (1954/2048)              
 [===>.............................................................] 9/141   Step: 1s72ms | Tot: 9s55ms | Loss: 0.141 | Acc: 95.443% (2199/2304)              
 [====>............................................................] 10/141   Step: 964ms | Tot: 10s20ms | Loss: 0.140 | Acc: 95.430% (2443/2560)              
 [====>............................................................] 11/141   Step: 965ms | Tot: 10s985ms | Loss: 0.140 | Acc: 95.348% (2685/2816)              
 [=====>...........................................................] 12/141   Step: 963ms | Tot: 11s949ms | Loss: 0.135 | Acc: 95.540% (2935/3072)              
 [=====>...........................................................] 13/141   Step: 1s72ms | Tot: 13s22ms | Loss: 0.137 | Acc: 95.403% (3175/3328)              
 [=====>...........................................................] 14/141   Step: 968ms | Tot: 13s990ms | Loss: 0.138 | Acc: 95.396% (3419/3584)              
 [======>..........................................................] 15/141   Step: 972ms | Tot: 14s963ms | Loss: 0.134 | Acc: 95.547% (3669/3840)              
 [======>..........................................................] 16/141   Step: 982ms | Tot: 15s945ms | Loss: 0.134 | Acc: 95.630% (3917/4096)              
 [=======>.........................................................] 17/141   Step: 977ms | Tot: 16s923ms | Loss: 0.134 | Acc: 95.519% (4157/4352)              
 [=======>.........................................................] 18/141   Step: 1s74ms | Tot: 17s998ms | Loss: 0.133 | Acc: 95.616% (4406/4608)              
 [========>........................................................] 19/141   Step: 972ms | Tot: 18s970ms | Loss: 0.132 | Acc: 95.621% (4651/4864)              
 [========>........................................................] 20/141   Step: 970ms | Tot: 19s941ms | Loss: 0.129 | Acc: 95.742% (4902/5120)              
 [=========>.......................................................] 21/141   Step: 968ms | Tot: 20s909ms | Loss: 0.128 | Acc: 95.740% (5147/5376)              
 [=========>.......................................................] 22/141   Step: 964ms | Tot: 21s873ms | Loss: 0.126 | Acc: 95.845% (5398/5632)              
 [==========>......................................................] 23/141   Step: 1s114ms | Tot: 22s988ms | Loss: 0.125 | Acc: 95.873% (5645/5888)              
 [==========>......................................................] 24/141   Step: 966ms | Tot: 23s955ms | Loss: 0.123 | Acc: 95.898% (5892/6144)              
 [===========>.....................................................] 25/141   Step: 965ms | Tot: 24s920ms | Loss: 0.124 | Acc: 95.891% (6137/6400)              
 [===========>.....................................................] 26/141   Step: 967ms | Tot: 25s887ms | Loss: 0.122 | Acc: 95.944% (6386/6656)              
 [===========>.....................................................] 27/141   Step: 1s81ms | Tot: 26s968ms | Loss: 0.121 | Acc: 95.949% (6632/6912)              
 [============>....................................................] 28/141   Step: 964ms | Tot: 27s933ms | Loss: 0.120 | Acc: 95.996% (6881/7168)              
 [============>....................................................] 29/141   Step: 963ms | Tot: 28s896ms | Loss: 0.120 | Acc: 96.013% (7128/7424)              
 [=============>...................................................] 30/141   Step: 963ms | Tot: 29s859ms | Loss: 0.119 | Acc: 96.042% (7376/7680)              
 [=============>...................................................] 31/141   Step: 966ms | Tot: 30s826ms | Loss: 0.118 | Acc: 96.031% (7621/7936)              
 [==============>..................................................] 32/141   Step: 1s77ms | Tot: 31s903ms | Loss: 0.118 | Acc: 96.033% (7867/8192)              
 [==============>..................................................] 33/141   Step: 962ms | Tot: 32s866ms | Loss: 0.118 | Acc: 96.035% (8113/8448)              
 [===============>.................................................] 34/141   Step: 966ms | Tot: 33s832ms | Loss: 0.117 | Acc: 96.059% (8361/8704)              
 [===============>.................................................] 35/141   Step: 970ms | Tot: 34s802ms | Loss: 0.118 | Acc: 96.027% (8604/8960)              
 [================>................................................] 36/141   Step: 1s76ms | Tot: 35s879ms | Loss: 0.119 | Acc: 95.985% (8846/9216)              
 [================>................................................] 37/141   Step: 981ms | Tot: 36s860ms | Loss: 0.117 | Acc: 96.052% (9098/9472)              
 [=================>...............................................] 38/141   Step: 969ms | Tot: 37s830ms | Loss: 0.116 | Acc: 96.063% (9345/9728)              
 [=================>...............................................] 39/141   Step: 966ms | Tot: 38s796ms | Loss: 0.116 | Acc: 96.094% (9594/9984)              
 [=================>...............................................] 40/141   Step: 968ms | Tot: 39s764ms | Loss: 0.116 | Acc: 96.104% (9841/10240)              
 [==================>..............................................] 41/141   Step: 1s112ms | Tot: 40s877ms | Loss: 0.115 | Acc: 96.151% (10092/10496)              
 [==================>..............................................] 42/141   Step: 963ms | Tot: 41s840ms | Loss: 0.115 | Acc: 96.150% (10338/10752)              
 [===================>.............................................] 43/141   Step: 965ms | Tot: 42s806ms | Loss: 0.116 | Acc: 96.157% (10585/11008)              
 [===================>.............................................] 44/141   Step: 972ms | Tot: 43s779ms | Loss: 0.115 | Acc: 96.200% (10836/11264)              
 [====================>............................................] 45/141   Step: 965ms | Tot: 44s745ms | Loss: 0.114 | Acc: 96.250% (11088/11520)              
 [====================>............................................] 46/141   Step: 1s66ms | Tot: 45s811ms | Loss: 0.114 | Acc: 96.255% (11335/11776)              
 [=====================>...........................................] 47/141   Step: 973ms | Tot: 46s785ms | Loss: 0.113 | Acc: 96.260% (11582/12032)              
 [=====================>...........................................] 48/141   Step: 962ms | Tot: 47s748ms | Loss: 0.113 | Acc: 96.265% (11829/12288)              
 [======================>..........................................] 49/141   Step: 963ms | Tot: 48s712ms | Loss: 0.112 | Acc: 96.309% (12081/12544)              
 [======================>..........................................] 50/141   Step: 1s70ms | Tot: 49s783ms | Loss: 0.110 | Acc: 96.352% (12333/12800)              
 [=======================>.........................................] 51/141   Step: 962ms | Tot: 50s745ms | Loss: 0.110 | Acc: 96.377% (12583/13056)              
 [=======================>.........................................] 52/141   Step: 962ms | Tot: 51s707ms | Loss: 0.109 | Acc: 96.387% (12831/13312)              
 [=======================>.........................................] 53/141   Step: 965ms | Tot: 52s672ms | Loss: 0.108 | Acc: 96.425% (13083/13568)              
 [========================>........................................] 54/141   Step: 962ms | Tot: 53s635ms | Loss: 0.108 | Acc: 96.448% (13333/13824)              
 [========================>........................................] 55/141   Step: 1s66ms | Tot: 54s701ms | Loss: 0.108 | Acc: 96.463% (13582/14080)              
 [=========================>.......................................] 56/141   Step: 961ms | Tot: 55s662ms | Loss: 0.108 | Acc: 96.463% (13829/14336)              
 [=========================>.......................................] 57/141   Step: 980ms | Tot: 56s642ms | Loss: 0.108 | Acc: 96.512% (14083/14592)              
 [==========================>......................................] 58/141   Step: 967ms | Tot: 57s610ms | Loss: 0.106 | Acc: 96.552% (14336/14848)              
 [==========================>......................................] 59/141   Step: 1s72ms | Tot: 58s683ms | Loss: 0.107 | Acc: 96.531% (14580/15104)              
 [===========================>.....................................] 60/141   Step: 961ms | Tot: 59s645ms | Loss: 0.106 | Acc: 96.549% (14830/15360)              
 [===========================>.....................................] 61/141   Step: 965ms | Tot: 1m610ms | Loss: 0.105 | Acc: 96.593% (15084/15616)              
 [============================>....................................] 62/141   Step: 977ms | Tot: 1m1s | Loss: 0.105 | Acc: 96.604% (15333/15872)              
 [============================>....................................] 63/141   Step: 964ms | Tot: 1m2s | Loss: 0.105 | Acc: 96.621% (15583/16128)              
 [=============================>...................................] 64/141   Step: 1s71ms | Tot: 1m3s | Loss: 0.104 | Acc: 96.649% (15835/16384)              
 [=============================>...................................] 65/141   Step: 970ms | Tot: 1m4s | Loss: 0.104 | Acc: 96.653% (16083/16640)              
 [=============================>...................................] 66/141   Step: 964ms | Tot: 1m5s | Loss: 0.104 | Acc: 96.668% (16333/16896)              
 [==============================>..................................] 67/141   Step: 975ms | Tot: 1m6s | Loss: 0.103 | Acc: 96.677% (16582/17152)              
 [==============================>..................................] 68/141   Step: 960ms | Tot: 1m7s | Loss: 0.103 | Acc: 96.674% (16829/17408)              
 [===============================>.................................] 69/141   Step: 1s70ms | Tot: 1m8s | Loss: 0.102 | Acc: 96.700% (17081/17664)              
 [===============================>.................................] 70/141   Step: 963ms | Tot: 1m9s | Loss: 0.102 | Acc: 96.708% (17330/17920)              
 [================================>................................] 71/141   Step: 961ms | Tot: 1m10s | Loss: 0.102 | Acc: 96.688% (17574/18176)              
 [================================>................................] 72/141   Step: 960ms | Tot: 1m11s | Loss: 0.102 | Acc: 96.696% (17823/18432)              
 [=================================>...............................] 73/141   Step: 1s73ms | Tot: 1m12s | Loss: 0.101 | Acc: 96.720% (18075/18688)              
 [=================================>...............................] 74/141   Step: 967ms | Tot: 1m13s | Loss: 0.101 | Acc: 96.727% (18324/18944)              
 [==================================>..............................] 75/141   Step: 960ms | Tot: 1m14s | Loss: 0.100 | Acc: 96.750% (18576/19200)              
 [==================================>..............................] 76/141   Step: 962ms | Tot: 1m15s | Loss: 0.100 | Acc: 96.752% (18824/19456)              
 [===================================>.............................] 77/141   Step: 975ms | Tot: 1m16s | Loss: 0.100 | Acc: 96.763% (19074/19712)              
 [===================================>.............................] 78/141   Step: 1s96ms | Tot: 1m17s | Loss: 0.100 | Acc: 96.780% (19325/19968)              
 [===================================>.............................] 79/141   Step: 966ms | Tot: 1m18s | Loss: 0.100 | Acc: 96.776% (19572/20224)              
 [====================================>............................] 80/141   Step: 963ms | Tot: 1m19s | Loss: 0.100 | Acc: 96.768% (19818/20480)              
 [====================================>............................] 81/141   Step: 961ms | Tot: 1m20s | Loss: 0.100 | Acc: 96.764% (20065/20736)              
 [=====================================>...........................] 82/141   Step: 1s78ms | Tot: 1m21s | Loss: 0.100 | Acc: 96.756% (20311/20992)              
 [=====================================>...........................] 83/141   Step: 961ms | Tot: 1m22s | Loss: 0.100 | Acc: 96.762% (20560/21248)              
 [======================================>..........................] 84/141   Step: 966ms | Tot: 1m23s | Loss: 0.100 | Acc: 96.777% (20811/21504)              
 [======================================>..........................] 85/141   Step: 963ms | Tot: 1m24s | Loss: 0.100 | Acc: 96.778% (21059/21760)              
 [=======================================>.........................] 86/141   Step: 960ms | Tot: 1m25s | Loss: 0.099 | Acc: 96.793% (21310/22016)              
 [=======================================>.........................] 87/141   Step: 1s85ms | Tot: 1m26s | Loss: 0.099 | Acc: 96.817% (21563/22272)              
 [========================================>........................] 88/141   Step: 961ms | Tot: 1m27s | Loss: 0.099 | Acc: 96.817% (21811/22528)              
 [========================================>........................] 89/141   Step: 963ms | Tot: 1m28s | Loss: 0.099 | Acc: 96.814% (22058/22784)              
