cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the egdis selected dataset.
load parameters
Now try to run the algorithm EGDIS with the generated sample dataset.
Selected 6506 samples
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/26   Step: 43s376ms | Tot: 0ms | Loss: 0.098 | Acc: 97.266% (249/256)              
 [==>..............................................................] 2/26   Step: 1s984ms | Tot: 1s984ms | Loss: 0.090 | Acc: 97.266% (498/512)              
 [=====>...........................................................] 3/26   Step: 972ms | Tot: 2s957ms | Loss: 0.095 | Acc: 97.135% (746/768)              
 [=======>.........................................................] 4/26   Step: 1s160ms | Tot: 4s117ms | Loss: 0.092 | Acc: 97.168% (995/1024)              
 [==========>......................................................] 5/26   Step: 960ms | Tot: 5s77ms | Loss: 0.088 | Acc: 97.344% (1246/1280)              
 [============>....................................................] 6/26   Step: 962ms | Tot: 6s40ms | Loss: 0.085 | Acc: 97.266% (1494/1536)              
 [===============>.................................................] 7/26   Step: 960ms | Tot: 7s | Loss: 0.086 | Acc: 97.098% (1740/1792)              
 [=================>...............................................] 8/26   Step: 959ms | Tot: 7s960ms | Loss: 0.086 | Acc: 97.168% (1990/2048)              
 [====================>............................................] 9/26   Step: 1s74ms | Tot: 9s34ms | Loss: 0.086 | Acc: 97.049% (2236/2304)              
 [======================>..........................................] 10/26   Step: 959ms | Tot: 9s994ms | Loss: 0.083 | Acc: 97.227% (2489/2560)              
 [=========================>.......................................] 11/26   Step: 958ms | Tot: 10s953ms | Loss: 0.078 | Acc: 97.443% (2744/2816)              
 [===========================>.....................................] 12/26   Step: 959ms | Tot: 11s913ms | Loss: 0.078 | Acc: 97.526% (2996/3072)              
 [==============================>..................................] 13/26   Step: 968ms | Tot: 12s881ms | Loss: 0.077 | Acc: 97.506% (3245/3328)              
 [================================>................................] 14/26   Step: 1s74ms | Tot: 13s956ms | Loss: 0.074 | Acc: 97.684% (3501/3584)              
 [===================================>.............................] 15/26   Step: 966ms | Tot: 14s922ms | Loss: 0.072 | Acc: 97.786% (3755/3840)              
 [=====================================>...........................] 16/26   Step: 970ms | Tot: 15s892ms | Loss: 0.070 | Acc: 97.852% (4008/4096)              
 [========================================>........................] 17/26   Step: 965ms | Tot: 16s858ms | Loss: 0.068 | Acc: 97.932% (4262/4352)              
 [==========================================>......................] 18/26   Step: 973ms | Tot: 17s831ms | Loss: 0.068 | Acc: 97.960% (4514/4608)              
 [=============================================>...................] 19/26   Step: 1s90ms | Tot: 18s921ms | Loss: 0.067 | Acc: 97.985% (4766/4864)              
 [===============================================>.................] 20/26   Step: 960ms | Tot: 19s882ms | Loss: 0.066 | Acc: 98.047% (5020/5120)              
 [==================================================>..............] 21/26   Step: 967ms | Tot: 20s849ms | Loss: 0.064 | Acc: 98.121% (5275/5376)              
 [====================================================>............] 22/26   Step: 892ms | Tot: 21s742ms | Loss: 0.064 | Acc: 98.118% (5526/5632)              
 [=======================================================>.........] 23/26   Step: 982ms | Tot: 22s725ms | Loss: 0.063 | Acc: 98.132% (5778/5888)              
 [=========================================================>.......] 24/26   Step: 856ms | Tot: 23s581ms | Loss: 0.063 | Acc: 98.161% (6031/6144)              
 [============================================================>....] 25/26   Step: 848ms | Tot: 24s429ms | Loss: 0.062 | Acc: 98.203% (6285/6400)              
 [==============================================================>..] 26/26   Step: 8s664ms | Tot: 33s94ms | Loss: 0.061 | Acc: 98.217% (6390/6506)
 [>................................................................] 1/40   Step: 1s91ms | Tot: 0ms | Loss: 0.834 | Acc: 78.906% (202/256)              
 [=>...............................................................] 2/40   Step: 598ms | Tot: 598ms | Loss: 0.881 | Acc: 79.492% (407/512)              
 [===>.............................................................] 3/40   Step: 420ms | Tot: 1s18ms | Loss: 0.845 | Acc: 79.688% (612/768)              
 [====>............................................................] 4/40   Step: 418ms | Tot: 1s437ms | Loss: 0.838 | Acc: 79.883% (818/1024)              
 [======>..........................................................] 5/40   Step: 419ms | Tot: 1s856ms | Loss: 0.791 | Acc: 80.625% (1032/1280)              
 [========>........................................................] 6/40   Step: 417ms | Tot: 2s274ms | Loss: 0.808 | Acc: 79.948% (1228/1536)              
 [=========>.......................................................] 7/40   Step: 418ms | Tot: 2s693ms | Loss: 0.791 | Acc: 79.967% (1433/1792)              
 [===========>.....................................................] 8/40   Step: 418ms | Tot: 3s111ms | Loss: 0.820 | Acc: 79.590% (1630/2048)              
 [=============>...................................................] 9/40   Step: 522ms | Tot: 3s634ms | Loss: 0.818 | Acc: 79.557% (1833/2304)              
 [==============>..................................................] 10/40   Step: 430ms | Tot: 4s64ms | Loss: 0.801 | Acc: 79.766% (2042/2560)              
 [================>................................................] 11/40   Step: 417ms | Tot: 4s482ms | Loss: 0.783 | Acc: 80.078% (2255/2816)              
 [=================>...............................................] 12/40   Step: 415ms | Tot: 4s898ms | Loss: 0.792 | Acc: 79.915% (2455/3072)              
