There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Start to select 6506 samples for a fair comparison.
Selected 5439 samples for weakness < 5
Now select extra 1067 samples by random
Train with the selected 6506 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/26   Step: 1m1s | Tot: 0ms | Loss: 0.030 | Acc: 98.828% (253/256)              
 [==>..............................................................] 2/26   Step: 1s964ms | Tot: 1s964ms | Loss: 0.027 | Acc: 99.219% (508/512)              
 [=====>...........................................................] 3/26   Step: 962ms | Tot: 2s926ms | Loss: 0.037 | Acc: 99.089% (761/768)              
 [=======>.........................................................] 4/26   Step: 1s114ms | Tot: 4s41ms | Loss: 0.040 | Acc: 98.730% (1011/1024)              
 [==========>......................................................] 5/26   Step: 955ms | Tot: 4s996ms | Loss: 0.035 | Acc: 98.906% (1266/1280)              
 [============>....................................................] 6/26   Step: 969ms | Tot: 5s966ms | Loss: 0.032 | Acc: 99.023% (1521/1536)              
 [===============>.................................................] 7/26   Step: 954ms | Tot: 6s920ms | Loss: 0.032 | Acc: 99.051% (1775/1792)              
 [=================>...............................................] 8/26   Step: 955ms | Tot: 7s876ms | Loss: 0.028 | Acc: 99.121% (2030/2048)              
 [====================>............................................] 9/26   Step: 1s53ms | Tot: 8s929ms | Loss: 0.033 | Acc: 99.045% (2282/2304)              
 [======================>..........................................] 10/26   Step: 958ms | Tot: 9s887ms | Loss: 0.030 | Acc: 99.102% (2537/2560)              
 [=========================>.......................................] 11/26   Step: 951ms | Tot: 10s839ms | Loss: 0.032 | Acc: 99.112% (2791/2816)              
 [===========================>.....................................] 12/26   Step: 950ms | Tot: 11s790ms | Loss: 0.032 | Acc: 99.121% (3045/3072)              
 [==============================>..................................] 13/26   Step: 1s58ms | Tot: 12s848ms | Loss: 0.032 | Acc: 99.129% (3299/3328)              
 [================================>................................] 14/26   Step: 968ms | Tot: 13s817ms | Loss: 0.034 | Acc: 99.107% (3552/3584)              
 [===================================>.............................] 15/26   Step: 954ms | Tot: 14s771ms | Loss: 0.034 | Acc: 99.141% (3807/3840)              
 [=====================================>...........................] 16/26   Step: 955ms | Tot: 15s726ms | Loss: 0.033 | Acc: 99.146% (4061/4096)              
 [========================================>........................] 17/26   Step: 972ms | Tot: 16s699ms | Loss: 0.035 | Acc: 99.150% (4315/4352)              
 [==========================================>......................] 18/26   Step: 1s101ms | Tot: 17s800ms | Loss: 0.036 | Acc: 99.110% (4567/4608)              
 [=============================================>...................] 19/26   Step: 948ms | Tot: 18s749ms | Loss: 0.035 | Acc: 99.137% (4822/4864)              
 [===============================================>.................] 20/26   Step: 951ms | Tot: 19s700ms | Loss: 0.033 | Acc: 99.160% (5077/5120)              
 [==================================================>..............] 21/26   Step: 953ms | Tot: 20s653ms | Loss: 0.032 | Acc: 99.200% (5333/5376)              
 [====================================================>............] 22/26   Step: 994ms | Tot: 21s648ms | Loss: 0.032 | Acc: 99.183% (5586/5632)              
 [=======================================================>.........] 23/26   Step: 839ms | Tot: 22s488ms | Loss: 0.034 | Acc: 99.151% (5838/5888)              
 [=========================================================>.......] 24/26   Step: 840ms | Tot: 23s329ms | Loss: 0.035 | Acc: 99.121% (6090/6144)              
 [============================================================>....] 25/26   Step: 840ms | Tot: 24s169ms | Loss: 0.035 | Acc: 99.125% (6344/6400)              
 [==============================================================>..] 26/26   Step: 8s917ms | Tot: 33s86ms | Loss: 0.035 | Acc: 99.124% (6449/6506)
 [>................................................................] 1/40   Step: 1s271ms | Tot: 0ms | Loss: 0.755 | Acc: 83.594% (214/256)              
 [=>...............................................................] 2/40   Step: 431ms | Tot: 431ms | Loss: 0.727 | Acc: 82.227% (421/512)              
 [===>.............................................................] 3/40   Step: 416ms | Tot: 848ms | Loss: 0.721 | Acc: 82.292% (632/768)              
 [====>............................................................] 4/40   Step: 421ms | Tot: 1s269ms | Loss: 0.714 | Acc: 82.617% (846/1024)              
 [======>..........................................................] 5/40   Step: 429ms | Tot: 1s698ms | Loss: 0.695 | Acc: 82.891% (1061/1280)              
 [========>........................................................] 6/40   Step: 424ms | Tot: 2s123ms | Loss: 0.713 | Acc: 82.552% (1268/1536)              
 [=========>.......................................................] 7/40   Step: 521ms | Tot: 2s645ms | Loss: 0.727 | Acc: 82.645% (1481/1792)              
 [===========>.....................................................] 8/40   Step: 417ms | Tot: 3s62ms | Loss: 0.717 | Acc: 82.812% (1696/2048)              
 [=============>...................................................] 9/40   Step: 419ms | Tot: 3s481ms | Loss: 0.710 | Acc: 82.856% (1909/2304)              
 [==============>..................................................] 10/40   Step: 419ms | Tot: 3s901ms | Loss: 0.700 | Acc: 83.008% (2125/2560)              
 [================>................................................] 11/40   Step: 414ms | Tot: 4s315ms | Loss: 0.693 | Acc: 83.203% (2343/2816)              
 [=================>...............................................] 12/40   Step: 518ms | Tot: 4s834ms | Loss: 0.702 | Acc: 82.812% (2544/3072)              
 [===================>.............................................] 13/40   Step: 420ms | Tot: 5s254ms | Loss: 0.725 | Acc: 82.422% (2743/3328)              
 [=====================>...........................................] 14/40   Step: 419ms | Tot: 5s673ms | Loss: 0.724 | Acc: 82.310% (2950/3584)              
 [======================>..........................................] 15/40   Step: 418ms | Tot: 6s91ms | Loss: 0.730 | Acc: 82.135% (3154/3840)              
 [========================>........................................] 16/40   Step: 417ms | Tot: 6s508ms | Loss: 0.740 | Acc: 82.007% (3359/4096)              
 [==========================>......................................] 17/40   Step: 422ms | Tot: 6s931ms | Loss: 0.749 | Acc: 81.824% (3561/4352)              
 [===========================>.....................................] 18/40   Step: 519ms | Tot: 7s450ms | Loss: 0.750 | Acc: 81.814% (3770/4608)              
 [=============================>...................................] 19/40   Step: 414ms | Tot: 7s865ms | Loss: 0.750 | Acc: 81.764% (3977/4864)              
 [==============================>..................................] 20/40   Step: 417ms | Tot: 8s282ms | Loss: 0.747 | Acc: 81.895% (4193/5120)              
