cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 5439 samples for weakkness <= 5.
Train with the selected 5439 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/22   Step: 1m28s | Tot: 0ms | Loss: 0.002 | Acc: 100.000% (256/256)              
 [==>..............................................................] 2/22   Step: 1s988ms | Tot: 1s988ms | Loss: 0.003 | Acc: 100.000% (512/512)              
 [=====>...........................................................] 3/22   Step: 978ms | Tot: 2s966ms | Loss: 0.003 | Acc: 100.000% (768/768)              
 [========>........................................................] 4/22   Step: 1s135ms | Tot: 4s102ms | Loss: 0.003 | Acc: 100.000% (1024/1024)              
 [===========>.....................................................] 5/22   Step: 983ms | Tot: 5s85ms | Loss: 0.003 | Acc: 100.000% (1280/1280)              
 [==============>..................................................] 6/22   Step: 969ms | Tot: 6s54ms | Loss: 0.003 | Acc: 100.000% (1536/1536)              
 [=================>...............................................] 7/22   Step: 967ms | Tot: 7s22ms | Loss: 0.003 | Acc: 100.000% (1792/1792)              
 [====================>............................................] 8/22   Step: 968ms | Tot: 7s990ms | Loss: 0.003 | Acc: 100.000% (2048/2048)              
 [=======================>.........................................] 9/22   Step: 1s68ms | Tot: 9s59ms | Loss: 0.003 | Acc: 100.000% (2304/2304)              
 [==========================>......................................] 10/22   Step: 965ms | Tot: 10s25ms | Loss: 0.003 | Acc: 100.000% (2560/2560)              
 [=============================>...................................] 11/22   Step: 968ms | Tot: 10s993ms | Loss: 0.003 | Acc: 100.000% (2816/2816)              
 [================================>................................] 12/22   Step: 968ms | Tot: 11s961ms | Loss: 0.003 | Acc: 100.000% (3072/3072)              
 [===================================>.............................] 13/22   Step: 976ms | Tot: 12s938ms | Loss: 0.003 | Acc: 100.000% (3328/3328)              
 [======================================>..........................] 14/22   Step: 1s78ms | Tot: 14s16ms | Loss: 0.003 | Acc: 100.000% (3584/3584)              
 [=========================================>.......................] 15/22   Step: 982ms | Tot: 14s998ms | Loss: 0.003 | Acc: 100.000% (3840/3840)              
 [============================================>....................] 16/22   Step: 974ms | Tot: 15s972ms | Loss: 0.003 | Acc: 100.000% (4096/4096)              
 [===============================================>.................] 17/22   Step: 982ms | Tot: 16s954ms | Loss: 0.003 | Acc: 100.000% (4352/4352)              
 [==================================================>..............] 18/22   Step: 994ms | Tot: 17s949ms | Loss: 0.003 | Acc: 100.000% (4608/4608)              
 [=====================================================>...........] 19/22   Step: 862ms | Tot: 18s812ms | Loss: 0.003 | Acc: 100.000% (4864/4864)              
 [========================================================>........] 20/22   Step: 856ms | Tot: 19s669ms | Loss: 0.003 | Acc: 100.000% (5120/5120)              
 [===========================================================>.....] 21/22   Step: 851ms | Tot: 20s520ms | Loss: 0.003 | Acc: 100.000% (5376/5376)              
 [==============================================================>..] 22/22   Step: 8s260ms | Tot: 28s781ms | Loss: 0.004 | Acc: 100.000% (5439/5439)
 [>................................................................] 1/40   Step: 1s361ms | Tot: 0ms | Loss: 1.003 | Acc: 76.953% (197/256)              
 [=>...............................................................] 2/40   Step: 425ms | Tot: 425ms | Loss: 1.011 | Acc: 75.195% (385/512)              
 [===>.............................................................] 3/40   Step: 421ms | Tot: 846ms | Loss: 0.944 | Acc: 77.344% (594/768)              
 [====>............................................................] 4/40   Step: 422ms | Tot: 1s268ms | Loss: 0.972 | Acc: 77.344% (792/1024)              
 [======>..........................................................] 5/40   Step: 421ms | Tot: 1s690ms | Loss: 0.928 | Acc: 78.516% (1005/1280)              
 [========>........................................................] 6/40   Step: 528ms | Tot: 2s219ms | Loss: 0.944 | Acc: 78.451% (1205/1536)              
 [=========>.......................................................] 7/40   Step: 421ms | Tot: 2s640ms | Loss: 0.948 | Acc: 78.181% (1401/1792)              
 [===========>.....................................................] 8/40   Step: 420ms | Tot: 3s60ms | Loss: 0.949 | Acc: 77.832% (1594/2048)              
 [=============>...................................................] 9/40   Step: 420ms | Tot: 3s481ms | Loss: 0.929 | Acc: 77.865% (1794/2304)              
 [==============>..................................................] 10/40   Step: 423ms | Tot: 3s904ms | Loss: 0.921 | Acc: 78.086% (1999/2560)              
 [================>................................................] 11/40   Step: 438ms | Tot: 4s343ms | Loss: 0.945 | Acc: 77.663% (2187/2816)              
 [=================>...............................................] 12/40   Step: 524ms | Tot: 4s868ms | Loss: 0.951 | Acc: 77.246% (2373/3072)              
 [===================>.............................................] 13/40   Step: 418ms | Tot: 5s287ms | Loss: 0.952 | Acc: 77.103% (2566/3328)              
 [=====================>...........................................] 14/40   Step: 419ms | Tot: 5s706ms | Loss: 0.952 | Acc: 77.121% (2764/3584)              
 [======================>..........................................] 15/40   Step: 420ms | Tot: 6s126ms | Loss: 0.963 | Acc: 76.953% (2955/3840)              
 [========================>........................................] 16/40   Step: 422ms | Tot: 6s548ms | Loss: 0.968 | Acc: 76.709% (3142/4096)              
 [==========================>......................................] 17/40   Step: 527ms | Tot: 7s76ms | Loss: 0.973 | Acc: 76.540% (3331/4352)              
 [===========================>.....................................] 18/40   Step: 419ms | Tot: 7s495ms | Loss: 0.984 | Acc: 76.237% (3513/4608)              
 [=============================>...................................] 19/40   Step: 423ms | Tot: 7s919ms | Loss: 0.988 | Acc: 76.336% (3713/4864)              
 [==============================>..................................] 20/40   Step: 420ms | Tot: 8s339ms | Loss: 0.993 | Acc: 76.250% (3904/5120)              
 [================================>................................] 21/40   Step: 419ms | Tot: 8s759ms | Loss: 0.999 | Acc: 76.172% (4095/5376)              
 [==================================>..............................] 22/40   Step: 420ms | Tot: 9s179ms | Loss: 1.008 | Acc: 76.030% (4282/5632)              
 [===================================>.............................] 23/40   Step: 524ms | Tot: 9s703ms | Loss: 1.011 | Acc: 76.019% (4476/5888)              
 [=====================================>...........................] 24/40   Step: 420ms | Tot: 10s124ms | Loss: 1.016 | Acc: 76.009% (4670/6144)              
 [=======================================>.........................] 25/40   Step: 419ms | Tot: 10s544ms | Loss: 1.019 | Acc: 75.906% (4858/6400)              
 [========================================>........................] 26/40   Step: 419ms | Tot: 10s963ms | Loss: 1.031 | Acc: 75.826% (5047/6656)              
 [==========================================>......................] 27/40   Step: 419ms | Tot: 11s383ms | Loss: 1.030 | Acc: 75.926% (5248/6912)              
 [===========================================>.....................] 28/40   Step: 527ms | Tot: 11s910ms | Loss: 1.033 | Acc: 75.865% (5438/7168)              
 [=============================================>...................] 29/40   Step: 420ms | Tot: 12s330ms | Loss: 1.035 | Acc: 75.902% (5635/7424)              
 [===============================================>.................] 30/40   Step: 419ms | Tot: 12s750ms | Loss: 1.030 | Acc: 75.977% (5835/7680)              
 [================================================>................] 31/40   Step: 420ms | Tot: 13s171ms | Loss: 1.024 | Acc: 76.033% (6034/7936)              
 [==================================================>..............] 32/40   Step: 419ms | Tot: 13s591ms | Loss: 1.026 | Acc: 76.001% (6226/8192)              
 [====================================================>............] 33/40   Step: 429ms | Tot: 14s21ms | Loss: 1.025 | Acc: 75.982% (6419/8448)              
 [=====================================================>...........] 34/40   Step: 531ms | Tot: 14s552ms | Loss: 1.021 | Acc: 76.000% (6615/8704)              
 [=======================================================>.........] 35/40   Step: 420ms | Tot: 14s973ms | Loss: 1.015 | Acc: 76.116% (6820/8960)              
 [========================================================>........] 36/40   Step: 381ms | Tot: 15s354ms | Loss: 1.017 | Acc: 76.031% (7007/9216)              
 [==========================================================>......] 37/40   Step: 375ms | Tot: 15s729ms | Loss: 1.013 | Acc: 76.130% (7211/9472)              
 [============================================================>....] 38/40   Step: 381ms | Tot: 16s110ms | Loss: 1.017 | Acc: 75.997% (7393/9728)              
 [=============================================================>...] 39/40   Step: 484ms | Tot: 16s595ms | Loss: 1.014 | Acc: 76.072% (7595/9984)              
 [===============================================================>.] 40/40   Step: 2s256ms | Tot: 18s851ms | Loss: 1.014 | Acc: 76.090% (7609/10000)
Saving with better validation accuracy model: 76.090..

Epoch: 1
 [>................................................................] 1/22   Step: 3s62ms | Tot: 0ms | Loss: 0.003 | Acc: 100.000% (256/256)              
 [==>..............................................................] 2/22   Step: 984ms | Tot: 984ms | Loss: 0.004 | Acc: 100.000% (512/512)              
 [=====>...........................................................] 3/22   Step: 981ms | Tot: 1s966ms | Loss: 0.005 | Acc: 100.000% (768/768)              
 [========>........................................................] 4/22   Step: 1s150ms | Tot: 3s117ms | Loss: 0.005 | Acc: 100.000% (1024/1024)              
 [===========>.....................................................] 5/22   Step: 974ms | Tot: 4s91ms | Loss: 0.004 | Acc: 100.000% (1280/1280)              
 [==============>..................................................] 6/22   Step: 970ms | Tot: 5s61ms | Loss: 0.004 | Acc: 100.000% (1536/1536)              
 [=================>...............................................] 7/22   Step: 968ms | Tot: 6s30ms | Loss: 0.004 | Acc: 100.000% (1792/1792)              
 [====================>............................................] 8/22   Step: 969ms | Tot: 6s999ms | Loss: 0.004 | Acc: 100.000% (2048/2048)              
 [=======================>.........................................] 9/22   Step: 1s103ms | Tot: 8s103ms | Loss: 0.004 | Acc: 100.000% (2304/2304)              
 [==========================>......................................] 10/22   Step: 972ms | Tot: 9s75ms | Loss: 0.004 | Acc: 100.000% (2560/2560)              
 [=============================>...................................] 11/22   Step: 966ms | Tot: 10s41ms | Loss: 0.004 | Acc: 100.000% (2816/2816)              
 [================================>................................] 12/22   Step: 965ms | Tot: 11s7ms | Loss: 0.004 | Acc: 100.000% (3072/3072)              
 [===================================>.............................] 13/22   Step: 968ms | Tot: 11s976ms | Loss: 0.004 | Acc: 100.000% (3328/3328)              
 [======================================>..........................] 14/22   Step: 1s102ms | Tot: 13s78ms | Loss: 0.004 | Acc: 100.000% (3584/3584)              
 [=========================================>.......................] 15/22   Step: 966ms | Tot: 14s44ms | Loss: 0.004 | Acc: 100.000% (3840/3840)              
 [============================================>....................] 16/22   Step: 965ms | Tot: 15s10ms | Loss: 0.004 | Acc: 100.000% (4096/4096)              
 [===============================================>.................] 17/22   Step: 967ms | Tot: 15s977ms | Loss: 0.004 | Acc: 100.000% (4352/4352)              
 [==================================================>..............] 18/22   Step: 884ms | Tot: 16s861ms | Loss: 0.004 | Acc: 100.000% (4608/4608)              
 [=====================================================>...........] 19/22   Step: 962ms | Tot: 17s824ms | Loss: 0.004 | Acc: 100.000% (4864/4864)              
 [========================================================>........] 20/22   Step: 856ms | Tot: 18s681ms | Loss: 0.004 | Acc: 99.980% (5119/5120)              
 [===========================================================>.....] 21/22   Step: 858ms | Tot: 19s539ms | Loss: 0.004 | Acc: 99.981% (5375/5376)              
 [==============================================================>..] 22/22   Step: 907ms | Tot: 20s446ms | Loss: 0.004 | Acc: 99.982% (5438/5439)
 [>................................................................] 1/40   Step: 1s181ms | Tot: 0ms | Loss: 1.008 | Acc: 77.344% (198/256)              
 [=>...............................................................] 2/40   Step: 604ms | Tot: 604ms | Loss: 1.008 | Acc: 75.977% (389/512)              
 [===>.............................................................] 3/40   Step: 422ms | Tot: 1s26ms | Loss: 0.948 | Acc: 77.214% (593/768)              
 [====>............................................................] 4/40   Step: 421ms | Tot: 1s447ms | Loss: 0.973 | Acc: 77.051% (789/1024)              
 [======>..........................................................] 5/40   Step: 421ms | Tot: 1s869ms | Loss: 0.935 | Acc: 78.281% (1002/1280)              
 [========>........................................................] 6/40   Step: 421ms | Tot: 2s290ms | Loss: 0.949 | Acc: 78.255% (1202/1536)              
 [=========>.......................................................] 7/40   Step: 529ms | Tot: 2s820ms | Loss: 0.945 | Acc: 78.013% (1398/1792)              
 [===========>.....................................................] 8/40   Step: 422ms | Tot: 3s242ms | Loss: 0.948 | Acc: 77.734% (1592/2048)              
 [=============>...................................................] 9/40   Step: 421ms | Tot: 3s663ms | Loss: 0.926 | Acc: 77.778% (1792/2304)              
 [==============>..................................................] 10/40   Step: 421ms | Tot: 4s84ms | Loss: 0.918 | Acc: 78.086% (1999/2560)              
 [================>................................................] 11/40   Step: 421ms | Tot: 4s506ms | Loss: 0.941 | Acc: 77.592% (2185/2816)              
 [=================>...............................................] 12/40   Step: 420ms | Tot: 4s927ms | Loss: 0.946 | Acc: 77.507% (2381/3072)              
 [===================>.............................................] 13/40   Step: 527ms | Tot: 5s454ms | Loss: 0.948 | Acc: 77.314% (2573/3328)              
 [=====================>...........................................] 14/40   Step: 421ms | Tot: 5s875ms | Loss: 0.947 | Acc: 77.344% (2772/3584)              
 [======================>..........................................] 15/40   Step: 421ms | Tot: 6s297ms | Loss: 0.958 | Acc: 77.109% (2961/3840)              
 [========================>........................................] 16/40   Step: 420ms | Tot: 6s717ms | Loss: 0.964 | Acc: 76.807% (3146/4096)              
 [==========================>......................................] 17/40   Step: 421ms | Tot: 7s139ms | Loss: 0.969 | Acc: 76.677% (3337/4352)              
 [===========================>.....................................] 18/40   Step: 424ms | Tot: 7s563ms | Loss: 0.979 | Acc: 76.367% (3519/4608)              
 [=============================>...................................] 19/40   Step: 529ms | Tot: 8s93ms | Loss: 0.984 | Acc: 76.480% (3720/4864)              
 [==============================>..................................] 20/40   Step: 420ms | Tot: 8s514ms | Loss: 0.988 | Acc: 76.465% (3915/5120)              
 [================================>................................] 21/40   Step: 421ms | Tot: 8s935ms | Loss: 0.994 | Acc: 76.302% (4102/5376)              
 [==================================>..............................] 22/40   Step: 421ms | Tot: 9s357ms | Loss: 1.001 | Acc: 76.136% (4288/5632)              
 [===================================>.............................] 23/40   Step: 421ms | Tot: 9s778ms | Loss: 1.004 | Acc: 76.206% (4487/5888)              
 [=====================================>...........................] 24/40   Step: 420ms | Tot: 10s198ms | Loss: 1.009 | Acc: 76.188% (4681/6144)              
 [=======================================>.........................] 25/40   Step: 543ms | Tot: 10s741ms | Loss: 1.012 | Acc: 76.141% (4873/6400)              
 [========================================>........................] 26/40   Step: 420ms | Tot: 11s162ms | Loss: 1.025 | Acc: 75.992% (5058/6656)              
 [==========================================>......................] 27/40   Step: 420ms | Tot: 11s582ms | Loss: 1.024 | Acc: 76.085% (5259/6912)              
 [===========================================>.....................] 28/40   Step: 420ms | Tot: 12s2ms | Loss: 1.028 | Acc: 76.032% (5450/7168)              
