There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
load parameters
Now try to run the WCL algorithm
Selected 3069 boundary instances.
Select 10.00 percent samples, 113 overlapping with the pre-selected boundary samples
The unique selected subset size is: 6956
Use multiple GPU to train the network.

Epoch: 0
 [>................................................................] 1/28   Step: 41s662ms | Tot: 0ms | Loss: 0.348 | Acc: 86.328% (221/256)              
 [==>..............................................................] 2/28   Step: 1s968ms | Tot: 1s968ms | Loss: 0.339 | Acc: 88.867% (455/512)              
 [====>............................................................] 3/28   Step: 980ms | Tot: 2s949ms | Loss: 0.310 | Acc: 89.844% (690/768)              
 [======>..........................................................] 4/28   Step: 1s142ms | Tot: 4s91ms | Loss: 0.304 | Acc: 89.941% (921/1024)              
 [=========>.......................................................] 5/28   Step: 968ms | Tot: 5s60ms | Loss: 0.295 | Acc: 90.625% (1160/1280)              
 [===========>.....................................................] 6/28   Step: 969ms | Tot: 6s29ms | Loss: 0.307 | Acc: 90.234% (1386/1536)              
 [=============>...................................................] 7/28   Step: 971ms | Tot: 7s | Loss: 0.311 | Acc: 90.346% (1619/1792)              
 [================>................................................] 8/28   Step: 970ms | Tot: 7s971ms | Loss: 0.310 | Acc: 90.430% (1852/2048)              
 [==================>..............................................] 9/28   Step: 1s87ms | Tot: 9s58ms | Loss: 0.306 | Acc: 90.408% (2083/2304)              
 [====================>............................................] 10/28   Step: 974ms | Tot: 10s32ms | Loss: 0.318 | Acc: 90.312% (2312/2560)              
 [=======================>.........................................] 11/28   Step: 968ms | Tot: 11s | Loss: 0.323 | Acc: 90.128% (2538/2816)              
 [=========================>.......................................] 12/28   Step: 964ms | Tot: 11s965ms | Loss: 0.319 | Acc: 90.365% (2776/3072)              
 [===========================>.....................................] 13/28   Step: 1s78ms | Tot: 13s43ms | Loss: 0.315 | Acc: 90.475% (3011/3328)              
 [==============================>..................................] 14/28   Step: 962ms | Tot: 14s6ms | Loss: 0.315 | Acc: 90.430% (3241/3584)              
 [================================>................................] 15/28   Step: 969ms | Tot: 14s975ms | Loss: 0.314 | Acc: 90.547% (3477/3840)              
 [==================================>..............................] 16/28   Step: 971ms | Tot: 15s946ms | Loss: 0.317 | Acc: 90.405% (3703/4096)              
 [=====================================>...........................] 17/28   Step: 968ms | Tot: 16s914ms | Loss: 0.320 | Acc: 90.372% (3933/4352)              
 [=======================================>.........................] 18/28   Step: 1s73ms | Tot: 17s988ms | Loss: 0.321 | Acc: 90.278% (4160/4608)              
 [=========================================>.......................] 19/28   Step: 982ms | Tot: 18s971ms | Loss: 0.324 | Acc: 90.193% (4387/4864)              
 [============================================>....................] 20/28   Step: 964ms | Tot: 19s935ms | Loss: 0.329 | Acc: 90.000% (4608/5120)              
 [==============================================>..................] 21/28   Step: 964ms | Tot: 20s900ms | Loss: 0.325 | Acc: 89.993% (4838/5376)              
 [================================================>................] 22/28   Step: 1s70ms | Tot: 21s971ms | Loss: 0.329 | Acc: 89.844% (5060/5632)              
 [===================================================>.............] 23/28   Step: 968ms | Tot: 22s939ms | Loss: 0.327 | Acc: 89.980% (5298/5888)              
 [=====================================================>...........] 24/28   Step: 875ms | Tot: 23s815ms | Loss: 0.328 | Acc: 89.925% (5525/6144)              
 [=======================================================>.........] 25/28   Step: 852ms | Tot: 24s668ms | Loss: 0.329 | Acc: 89.906% (5754/6400)              
