cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the whole dataset.
load parameters
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/157   Step: 1m3s | Tot: 0ms | Loss: 0.013 | Acc: 99.609% (255/256)              
 [>................................................................] 2/157   Step: 1s987ms | Tot: 1s987ms | Loss: 0.016 | Acc: 99.414% (509/512)              
 [>................................................................] 3/157   Step: 982ms | Tot: 2s969ms | Loss: 0.018 | Acc: 99.089% (761/768)              
 [=>...............................................................] 4/157   Step: 1s122ms | Tot: 4s92ms | Loss: 0.017 | Acc: 99.219% (1016/1024)              
 [=>...............................................................] 5/157   Step: 952ms | Tot: 5s44ms | Loss: 0.018 | Acc: 99.219% (1270/1280)              
 [==>..............................................................] 6/157   Step: 954ms | Tot: 5s999ms | Loss: 0.017 | Acc: 99.284% (1525/1536)              
 [==>..............................................................] 7/157   Step: 949ms | Tot: 6s948ms | Loss: 0.021 | Acc: 99.275% (1779/1792)              
 [==>..............................................................] 8/157   Step: 953ms | Tot: 7s902ms | Loss: 0.022 | Acc: 99.268% (2033/2048)              
 [===>.............................................................] 9/157   Step: 1s52ms | Tot: 8s954ms | Loss: 0.023 | Acc: 99.219% (2286/2304)              
 [===>.............................................................] 10/157   Step: 952ms | Tot: 9s907ms | Loss: 0.022 | Acc: 99.297% (2542/2560)              
 [====>............................................................] 11/157   Step: 951ms | Tot: 10s858ms | Loss: 0.021 | Acc: 99.325% (2797/2816)              
 [====>............................................................] 12/157   Step: 953ms | Tot: 11s812ms | Loss: 0.020 | Acc: 99.382% (3053/3072)              
 [====>............................................................] 13/157   Step: 1s76ms | Tot: 12s888ms | Loss: 0.019 | Acc: 99.399% (3308/3328)              
 [=====>...........................................................] 14/157   Step: 955ms | Tot: 13s843ms | Loss: 0.019 | Acc: 99.442% (3564/3584)              
 [=====>...........................................................] 15/157   Step: 954ms | Tot: 14s798ms | Loss: 0.019 | Acc: 99.453% (3819/3840)              
 [======>..........................................................] 16/157   Step: 966ms | Tot: 15s765ms | Loss: 0.019 | Acc: 99.487% (4075/4096)              
 [======>..........................................................] 17/157   Step: 952ms | Tot: 16s718ms | Loss: 0.019 | Acc: 99.472% (4329/4352)              
 [=======>.........................................................] 18/157   Step: 1s71ms | Tot: 17s789ms | Loss: 0.018 | Acc: 99.479% (4584/4608)              
 [=======>.........................................................] 19/157   Step: 961ms | Tot: 18s750ms | Loss: 0.019 | Acc: 99.445% (4837/4864)              
 [=======>.........................................................] 20/157   Step: 963ms | Tot: 19s714ms | Loss: 0.018 | Acc: 99.473% (5093/5120)              
 [========>........................................................] 21/157   Step: 954ms | Tot: 20s669ms | Loss: 0.018 | Acc: 99.498% (5349/5376)              
 [========>........................................................] 22/157   Step: 1s92ms | Tot: 21s761ms | Loss: 0.017 | Acc: 99.521% (5605/5632)              
 [=========>.......................................................] 23/157   Step: 975ms | Tot: 22s737ms | Loss: 0.017 | Acc: 99.524% (5860/5888)              
 [=========>.......................................................] 24/157   Step: 954ms | Tot: 23s691ms | Loss: 0.017 | Acc: 99.544% (6116/6144)              
 [=========>.......................................................] 25/157   Step: 951ms | Tot: 24s643ms | Loss: 0.017 | Acc: 99.531% (6370/6400)              
 [==========>......................................................] 26/157   Step: 955ms | Tot: 25s598ms | Loss: 0.017 | Acc: 99.534% (6625/6656)              
 [==========>......................................................] 27/157   Step: 1s52ms | Tot: 26s651ms | Loss: 0.016 | Acc: 99.552% (6881/6912)              
 [===========>.....................................................] 28/157   Step: 952ms | Tot: 27s603ms | Loss: 0.016 | Acc: 99.554% (7136/7168)              
 [===========>.....................................................] 29/157   Step: 953ms | Tot: 28s557ms | Loss: 0.016 | Acc: 99.542% (7390/7424)              
 [============>....................................................] 30/157   Step: 953ms | Tot: 29s510ms | Loss: 0.016 | Acc: 99.557% (7646/7680)              
 [============>....................................................] 31/157   Step: 956ms | Tot: 30s467ms | Loss: 0.016 | Acc: 99.572% (7902/7936)              
 [============>....................................................] 32/157   Step: 1s60ms | Tot: 31s528ms | Loss: 0.016 | Acc: 99.573% (8157/8192)              
 [=============>...................................................] 33/157   Step: 971ms | Tot: 32s499ms | Loss: 0.016 | Acc: 99.586% (8413/8448)              
 [=============>...................................................] 34/157   Step: 954ms | Tot: 33s453ms | Loss: 0.015 | Acc: 99.586% (8668/8704)              
 [==============>..................................................] 35/157   Step: 953ms | Tot: 34s407ms | Loss: 0.015 | Acc: 99.598% (8924/8960)              
 [==============>..................................................] 36/157   Step: 968ms | Tot: 35s376ms | Loss: 0.015 | Acc: 99.609% (9180/9216)              
 [==============>..................................................] 37/157   Step: 1s51ms | Tot: 36s427ms | Loss: 0.015 | Acc: 99.599% (9434/9472)              
 [===============>.................................................] 38/157   Step: 949ms | Tot: 37s377ms | Loss: 0.015 | Acc: 99.589% (9688/9728)              
 [===============>.................................................] 39/157   Step: 949ms | Tot: 38s326ms | Loss: 0.015 | Acc: 99.599% (9944/9984)              
 [================>................................................] 40/157   Step: 959ms | Tot: 39s286ms | Loss: 0.015 | Acc: 99.600% (10199/10240)              
 [================>................................................] 41/157   Step: 1s62ms | Tot: 40s348ms | Loss: 0.015 | Acc: 99.600% (10454/10496)              
 [================>................................................] 42/157   Step: 959ms | Tot: 41s308ms | Loss: 0.015 | Acc: 99.600% (10709/10752)              
 [=================>...............................................] 43/157   Step: 958ms | Tot: 42s266ms | Loss: 0.015 | Acc: 99.600% (10964/11008)              
 [=================>...............................................] 44/157   Step: 965ms | Tot: 43s231ms | Loss: 0.015 | Acc: 99.592% (11218/11264)              
 [==================>..............................................] 45/157   Step: 946ms | Tot: 44s177ms | Loss: 0.015 | Acc: 99.592% (11473/11520)              
 [==================>..............................................] 46/157   Step: 1s96ms | Tot: 45s274ms | Loss: 0.015 | Acc: 99.592% (11728/11776)              
 [===================>.............................................] 47/157   Step: 963ms | Tot: 46s237ms | Loss: 0.014 | Acc: 99.601% (11984/12032)              
 [===================>.............................................] 48/157   Step: 957ms | Tot: 47s194ms | Loss: 0.014 | Acc: 99.601% (12239/12288)              
 [===================>.............................................] 49/157   Step: 951ms | Tot: 48s146ms | Loss: 0.014 | Acc: 99.601% (12494/12544)              
 [====================>............................................] 50/157   Step: 1s49ms | Tot: 49s195ms | Loss: 0.014 | Acc: 99.609% (12750/12800)              
 [====================>............................................] 51/157   Step: 949ms | Tot: 50s145ms | Loss: 0.014 | Acc: 99.602% (13004/13056)              
 [=====================>...........................................] 52/157   Step: 947ms | Tot: 51s93ms | Loss: 0.014 | Acc: 99.609% (13260/13312)              
 [=====================>...........................................] 53/157   Step: 948ms | Tot: 52s41ms | Loss: 0.014 | Acc: 99.609% (13515/13568)              
