There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Start to select 6506 samples for a fair comparison.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/26   Step: 42s528ms | Tot: 0ms | Loss: 0.362 | Acc: 90.625% (232/256)              
 [==>..............................................................] 2/26   Step: 1s961ms | Tot: 1s961ms | Loss: 0.377 | Acc: 90.625% (464/512)              
 [=====>...........................................................] 3/26   Step: 968ms | Tot: 2s929ms | Loss: 0.342 | Acc: 91.797% (705/768)              
 [=======>.........................................................] 4/26   Step: 1s148ms | Tot: 4s78ms | Loss: 0.331 | Acc: 92.188% (944/1024)              
 [==========>......................................................] 5/26   Step: 957ms | Tot: 5s35ms | Loss: 0.332 | Acc: 92.109% (1179/1280)              
 [============>....................................................] 6/26   Step: 957ms | Tot: 5s992ms | Loss: 0.358 | Acc: 91.406% (1404/1536)              
 [===============>.................................................] 7/26   Step: 966ms | Tot: 6s959ms | Loss: 0.372 | Acc: 91.127% (1633/1792)              
 [=================>...............................................] 8/26   Step: 952ms | Tot: 7s911ms | Loss: 0.370 | Acc: 91.064% (1865/2048)              
 [====================>............................................] 9/26   Step: 1s61ms | Tot: 8s973ms | Loss: 0.369 | Acc: 90.972% (2096/2304)              
 [======================>..........................................] 10/26   Step: 953ms | Tot: 9s926ms | Loss: 0.360 | Acc: 91.055% (2331/2560)              
 [=========================>.......................................] 11/26   Step: 950ms | Tot: 10s876ms | Loss: 0.353 | Acc: 91.229% (2569/2816)              
 [===========================>.....................................] 12/26   Step: 951ms | Tot: 11s828ms | Loss: 0.354 | Acc: 91.178% (2801/3072)              
 [==============================>..................................] 13/26   Step: 959ms | Tot: 12s788ms | Loss: 0.359 | Acc: 91.076% (3031/3328)              
 [================================>................................] 14/26   Step: 1s61ms | Tot: 13s850ms | Loss: 0.364 | Acc: 90.988% (3261/3584)              
 [===================================>.............................] 15/26   Step: 959ms | Tot: 14s809ms | Loss: 0.358 | Acc: 91.120% (3499/3840)              
 [=====================================>...........................] 16/26   Step: 955ms | Tot: 15s765ms | Loss: 0.353 | Acc: 91.113% (3732/4096)              
 [========================================>........................] 17/26   Step: 984ms | Tot: 16s750ms | Loss: 0.350 | Acc: 91.108% (3965/4352)              
 [==========================================>......................] 18/26   Step: 1s65ms | Tot: 17s815ms | Loss: 0.346 | Acc: 91.254% (4205/4608)              
 [=============================================>...................] 19/26   Step: 951ms | Tot: 18s767ms | Loss: 0.338 | Acc: 91.468% (4449/4864)              
 [===============================================>.................] 20/26   Step: 963ms | Tot: 19s731ms | Loss: 0.338 | Acc: 91.484% (4684/5120)              
 [==================================================>..............] 21/26   Step: 962ms | Tot: 20s693ms | Loss: 0.341 | Acc: 91.443% (4916/5376)              
 [====================================================>............] 22/26   Step: 884ms | Tot: 21s578ms | Loss: 0.338 | Acc: 91.513% (5154/5632)              
 [=======================================================>.........] 23/26   Step: 989ms | Tot: 22s567ms | Loss: 0.333 | Acc: 91.610% (5394/5888)              
 [=========================================================>.......] 24/26   Step: 838ms | Tot: 23s406ms | Loss: 0.331 | Acc: 91.699% (5634/6144)              
 [============================================================>....] 25/26   Step: 842ms | Tot: 24s248ms | Loss: 0.329 | Acc: 91.766% (5873/6400)              
 [==============================================================>..] 26/26   Step: 8s720ms | Tot: 32s968ms | Loss: 0.331 | Acc: 91.761% (5970/6506)
 [>................................................................] 1/40   Step: 1s143ms | Tot: 0ms | Loss: 0.414 | Acc: 90.625% (232/256)              
 [=>...............................................................] 2/40   Step: 635ms | Tot: 635ms | Loss: 0.591 | Acc: 86.719% (444/512)              
 [===>.............................................................] 3/40   Step: 421ms | Tot: 1s56ms | Loss: 0.627 | Acc: 86.979% (668/768)              
 [====>............................................................] 4/40   Step: 415ms | Tot: 1s472ms | Loss: 0.593 | Acc: 87.500% (896/1024)              
 [======>..........................................................] 5/40   Step: 420ms | Tot: 1s892ms | Loss: 0.563 | Acc: 88.047% (1127/1280)              
 [========>........................................................] 6/40   Step: 420ms | Tot: 2s312ms | Loss: 0.559 | Acc: 87.695% (1347/1536)              
 [=========>.......................................................] 7/40   Step: 533ms | Tot: 2s845ms | Loss: 0.557 | Acc: 88.002% (1577/1792)              
 [===========>.....................................................] 8/40   Step: 422ms | Tot: 3s268ms | Loss: 0.539 | Acc: 88.330% (1809/2048)              
 [=============>...................................................] 9/40   Step: 421ms | Tot: 3s689ms | Loss: 0.538 | Acc: 88.194% (2032/2304)              
 [==============>..................................................] 10/40   Step: 423ms | Tot: 4s113ms | Loss: 0.529 | Acc: 88.203% (2258/2560)              
 [================>................................................] 11/40   Step: 419ms | Tot: 4s533ms | Loss: 0.529 | Acc: 88.139% (2482/2816)              
 [=================>...............................................] 12/40   Step: 416ms | Tot: 4s949ms | Loss: 0.539 | Acc: 87.891% (2700/3072)              
 [===================>.............................................] 13/40   Step: 520ms | Tot: 5s470ms | Loss: 0.558 | Acc: 87.650% (2917/3328)              
