There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
load parameters
------------------ Start to select subsets ------------------
Selected 30 percent training data.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/47   Step: 41s594ms | Tot: 0ms | Loss: 0.113 | Acc: 97.656% (250/256)              
 [=>...............................................................] 2/47   Step: 1s983ms | Tot: 1s983ms | Loss: 0.169 | Acc: 96.484% (494/512)              
 [==>..............................................................] 3/47   Step: 976ms | Tot: 2s960ms | Loss: 0.142 | Acc: 97.005% (745/768)              
 [====>............................................................] 4/47   Step: 1s157ms | Tot: 4s117ms | Loss: 0.147 | Acc: 96.777% (991/1024)              
 [=====>...........................................................] 5/47   Step: 965ms | Tot: 5s83ms | Loss: 0.183 | Acc: 96.172% (1231/1280)              
 [======>..........................................................] 6/47   Step: 982ms | Tot: 6s65ms | Loss: 0.179 | Acc: 96.094% (1476/1536)              
 [========>........................................................] 7/47   Step: 962ms | Tot: 7s27ms | Loss: 0.179 | Acc: 96.094% (1722/1792)              
 [=========>.......................................................] 8/47   Step: 967ms | Tot: 7s995ms | Loss: 0.176 | Acc: 96.045% (1967/2048)              
 [===========>.....................................................] 9/47   Step: 1s69ms | Tot: 9s64ms | Loss: 0.176 | Acc: 96.094% (2214/2304)              
 [============>....................................................] 10/47   Step: 960ms | Tot: 10s25ms | Loss: 0.184 | Acc: 95.938% (2456/2560)              
 [=============>...................................................] 11/47   Step: 965ms | Tot: 10s990ms | Loss: 0.191 | Acc: 95.774% (2697/2816)              
 [===============>.................................................] 12/47   Step: 962ms | Tot: 11s953ms | Loss: 0.194 | Acc: 95.736% (2941/3072)              
 [================>................................................] 13/47   Step: 1s72ms | Tot: 13s25ms | Loss: 0.191 | Acc: 95.733% (3186/3328)              
 [=================>...............................................] 14/47   Step: 963ms | Tot: 13s989ms | Loss: 0.186 | Acc: 95.898% (3437/3584)              
 [===================>.............................................] 15/47   Step: 971ms | Tot: 14s960ms | Loss: 0.183 | Acc: 95.938% (3684/3840)              
 [====================>............................................] 16/47   Step: 985ms | Tot: 15s945ms | Loss: 0.178 | Acc: 95.972% (3931/4096)              
 [======================>..........................................] 17/47   Step: 984ms | Tot: 16s929ms | Loss: 0.175 | Acc: 96.025% (4179/4352)              
 [=======================>.........................................] 18/47   Step: 1s74ms | Tot: 18s3ms | Loss: 0.180 | Acc: 95.964% (4422/4608)              
 [========================>........................................] 19/47   Step: 970ms | Tot: 18s974ms | Loss: 0.184 | Acc: 95.847% (4662/4864)              
 [==========================>......................................] 20/47   Step: 965ms | Tot: 19s939ms | Loss: 0.182 | Acc: 95.840% (4907/5120)              
 [===========================>.....................................] 21/47   Step: 964ms | Tot: 20s904ms | Loss: 0.178 | Acc: 95.908% (5156/5376)              
 [=============================>...................................] 22/47   Step: 969ms | Tot: 21s874ms | Loss: 0.180 | Acc: 95.898% (5401/5632)              
 [==============================>..................................] 23/47   Step: 1s112ms | Tot: 22s986ms | Loss: 0.180 | Acc: 95.907% (5647/5888)              
 [===============================>.................................] 24/47   Step: 965ms | Tot: 23s952ms | Loss: 0.181 | Acc: 95.850% (5889/6144)              
 [=================================>...............................] 25/47   Step: 968ms | Tot: 24s920ms | Loss: 0.179 | Acc: 95.859% (6135/6400)              
 [==================================>..............................] 26/47   Step: 985ms | Tot: 25s906ms | Loss: 0.176 | Acc: 95.913% (6384/6656)              
 [===================================>.............................] 27/47   Step: 1s68ms | Tot: 26s974ms | Loss: 0.175 | Acc: 95.906% (6629/6912)              
 [=====================================>...........................] 28/47   Step: 964ms | Tot: 27s939ms | Loss: 0.171 | Acc: 95.968% (6879/7168)              
 [======================================>..........................] 29/47   Step: 967ms | Tot: 28s906ms | Loss: 0.171 | Acc: 95.973% (7125/7424)              
 [========================================>........................] 30/47   Step: 964ms | Tot: 29s871ms | Loss: 0.174 | Acc: 95.951% (7369/7680)              
 [=========================================>.......................] 31/47   Step: 961ms | Tot: 30s832ms | Loss: 0.174 | Acc: 95.930% (7613/7936)              
 [==========================================>......................] 32/47   Step: 1s68ms | Tot: 31s901ms | Loss: 0.173 | Acc: 95.911% (7857/8192)              
 [============================================>....................] 33/47   Step: 962ms | Tot: 32s863ms | Loss: 0.172 | Acc: 95.916% (8103/8448)              
 [=============================================>...................] 34/47   Step: 959ms | Tot: 33s823ms | Loss: 0.172 | Acc: 95.944% (8351/8704)              
 [===============================================>.................] 35/47   Step: 967ms | Tot: 34s790ms | Loss: 0.170 | Acc: 95.982% (8600/8960)              
