There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
load parameters
Now try to run the algorithm EGDIS with the generated sample dataset.
Selected 6506 samples
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/26   Step: 1m4s | Tot: 0ms | Loss: 0.110 | Acc: 96.875% (248/256)              
 [==>..............................................................] 2/26   Step: 1s997ms | Tot: 1s997ms | Loss: 0.092 | Acc: 97.070% (497/512)              
 [=====>...........................................................] 3/26   Step: 984ms | Tot: 2s981ms | Loss: 0.113 | Acc: 96.875% (744/768)              
 [=======>.........................................................] 4/26   Step: 1s146ms | Tot: 4s128ms | Loss: 0.103 | Acc: 97.168% (995/1024)              
 [==========>......................................................] 5/26   Step: 974ms | Tot: 5s102ms | Loss: 0.107 | Acc: 96.875% (1240/1280)              
 [============>....................................................] 6/26   Step: 977ms | Tot: 6s80ms | Loss: 0.103 | Acc: 96.940% (1489/1536)              
 [===============>.................................................] 7/26   Step: 984ms | Tot: 7s65ms | Loss: 0.102 | Acc: 97.042% (1739/1792)              
 [=================>...............................................] 8/26   Step: 973ms | Tot: 8s38ms | Loss: 0.096 | Acc: 97.070% (1988/2048)              
 [====================>............................................] 9/26   Step: 1s74ms | Tot: 9s113ms | Loss: 0.090 | Acc: 97.266% (2241/2304)              
 [======================>..........................................] 10/26   Step: 967ms | Tot: 10s80ms | Loss: 0.088 | Acc: 97.305% (2491/2560)              
 [=========================>.......................................] 11/26   Step: 971ms | Tot: 11s52ms | Loss: 0.083 | Acc: 97.479% (2745/2816)              
 [===========================>.....................................] 12/26   Step: 970ms | Tot: 12s23ms | Loss: 0.081 | Acc: 97.559% (2997/3072)              
 [==============================>..................................] 13/26   Step: 986ms | Tot: 13s9ms | Loss: 0.078 | Acc: 97.686% (3251/3328)              
 [================================>................................] 14/26   Step: 1s75ms | Tot: 14s85ms | Loss: 0.075 | Acc: 97.824% (3506/3584)              
 [===================================>.............................] 15/26   Step: 976ms | Tot: 15s62ms | Loss: 0.072 | Acc: 97.891% (3759/3840)              
 [=====================================>...........................] 16/26   Step: 998ms | Tot: 16s60ms | Loss: 0.071 | Acc: 97.925% (4011/4096)              
 [========================================>........................] 17/26   Step: 995ms | Tot: 17s56ms | Loss: 0.069 | Acc: 97.978% (4264/4352)              
 [==========================================>......................] 18/26   Step: 1s86ms | Tot: 18s142ms | Loss: 0.068 | Acc: 98.025% (4517/4608)              
 [=============================================>...................] 19/26   Step: 980ms | Tot: 19s123ms | Loss: 0.067 | Acc: 98.088% (4771/4864)              
 [===============================================>.................] 20/26   Step: 973ms | Tot: 20s96ms | Loss: 0.065 | Acc: 98.164% (5026/5120)              
 [==================================================>..............] 21/26   Step: 970ms | Tot: 21s67ms | Loss: 0.065 | Acc: 98.140% (5276/5376)              
 [====================================================>............] 22/26   Step: 903ms | Tot: 21s971ms | Loss: 0.063 | Acc: 98.189% (5530/5632)              
 [=======================================================>.........] 23/26   Step: 1s12ms | Tot: 22s983ms | Loss: 0.062 | Acc: 98.251% (5785/5888)              
 [=========================================================>.......] 24/26   Step: 861ms | Tot: 23s844ms | Loss: 0.061 | Acc: 98.242% (6036/6144)              
 [============================================================>....] 25/26   Step: 859ms | Tot: 24s704ms | Loss: 0.060 | Acc: 98.297% (6291/6400)              
 [==============================================================>..] 26/26   Step: 8s832ms | Tot: 33s536ms | Loss: 0.060 | Acc: 98.309% (6396/6506)
 [>................................................................] 1/40   Step: 1s115ms | Tot: 0ms | Loss: 0.816 | Acc: 78.906% (202/256)              
 [=>...............................................................] 2/40   Step: 613ms | Tot: 613ms | Loss: 0.861 | Acc: 78.516% (402/512)              
 [===>.............................................................] 3/40   Step: 418ms | Tot: 1s31ms | Loss: 0.871 | Acc: 78.646% (604/768)              
 [====>............................................................] 4/40   Step: 417ms | Tot: 1s449ms | Loss: 0.865 | Acc: 79.004% (809/1024)              
 [======>..........................................................] 5/40   Step: 417ms | Tot: 1s867ms | Loss: 0.820 | Acc: 79.766% (1021/1280)              
 [========>........................................................] 6/40   Step: 433ms | Tot: 2s300ms | Loss: 0.852 | Acc: 79.232% (1217/1536)              
 [=========>.......................................................] 7/40   Step: 523ms | Tot: 2s824ms | Loss: 0.838 | Acc: 79.353% (1422/1792)              
 [===========>.....................................................] 8/40   Step: 417ms | Tot: 3s241ms | Loss: 0.847 | Acc: 78.760% (1613/2048)              
 [=============>...................................................] 9/40   Step: 417ms | Tot: 3s658ms | Loss: 0.844 | Acc: 79.036% (1821/2304)              
 [==============>..................................................] 10/40   Step: 417ms | Tot: 4s76ms | Loss: 0.833 | Acc: 79.023% (2023/2560)              
 [================>................................................] 11/40   Step: 417ms | Tot: 4s493ms | Loss: 0.818 | Acc: 79.368% (2235/2816)              
 [=================>...............................................] 12/40   Step: 417ms | Tot: 4s911ms | Loss: 0.829 | Acc: 79.036% (2428/3072)              
 [===================>.............................................] 13/40   Step: 518ms | Tot: 5s429ms | Loss: 0.831 | Acc: 78.846% (2624/3328)              
 [=====================>...........................................] 14/40   Step: 416ms | Tot: 5s845ms | Loss: 0.828 | Acc: 78.878% (2827/3584)              
 [======================>..........................................] 15/40   Step: 417ms | Tot: 6s263ms | Loss: 0.827 | Acc: 78.750% (3024/3840)              
 [========================>........................................] 16/40   Step: 417ms | Tot: 6s680ms | Loss: 0.830 | Acc: 78.735% (3225/4096)              
 [==========================>......................................] 17/40   Step: 417ms | Tot: 7s98ms | Loss: 0.832 | Acc: 78.653% (3423/4352)              
 [===========================>.....................................] 18/40   Step: 541ms | Tot: 7s640ms | Loss: 0.835 | Acc: 78.624% (3623/4608)              
 [=============================>...................................] 19/40   Step: 416ms | Tot: 8s57ms | Loss: 0.830 | Acc: 78.824% (3834/4864)              
 [==============================>..................................] 20/40   Step: 417ms | Tot: 8s474ms | Loss: 0.830 | Acc: 78.789% (4034/5120)              
 [================================>................................] 21/40   Step: 416ms | Tot: 8s891ms | Loss: 0.835 | Acc: 78.888% (4241/5376)              
 [==================================>..............................] 22/40   Step: 417ms | Tot: 9s309ms | Loss: 0.832 | Acc: 78.853% (4441/5632)              
 [===================================>.............................] 23/40   Step: 525ms | Tot: 9s834ms | Loss: 0.833 | Acc: 78.872% (4644/5888)              
 [=====================================>...........................] 24/40   Step: 417ms | Tot: 10s252ms | Loss: 0.836 | Acc: 78.906% (4848/6144)              
 [=======================================>.........................] 25/40   Step: 417ms | Tot: 10s669ms | Loss: 0.838 | Acc: 78.922% (5051/6400)              
 [========================================>........................] 26/40   Step: 418ms | Tot: 11s88ms | Loss: 0.849 | Acc: 78.816% (5246/6656)              
 [==========================================>......................] 27/40   Step: 416ms | Tot: 11s505ms | Loss: 0.841 | Acc: 78.979% (5459/6912)              
 [===========================================>.....................] 28/40   Step: 419ms | Tot: 11s925ms | Loss: 0.843 | Acc: 78.892% (5655/7168)              
 [=============================================>...................] 29/40   Step: 533ms | Tot: 12s458ms | Loss: 0.846 | Acc: 78.772% (5848/7424)              
 [===============================================>.................] 30/40   Step: 417ms | Tot: 12s875ms | Loss: 0.844 | Acc: 78.867% (6057/7680)              
 [================================================>................] 31/40   Step: 415ms | Tot: 13s290ms | Loss: 0.844 | Acc: 78.856% (6258/7936)              
 [==================================================>..............] 32/40   Step: 415ms | Tot: 13s706ms | Loss: 0.844 | Acc: 78.845% (6459/8192)              
 [====================================================>............] 33/40   Step: 415ms | Tot: 14s122ms | Loss: 0.842 | Acc: 78.894% (6665/8448)              
 [=====================================================>...........] 34/40   Step: 523ms | Tot: 14s646ms | Loss: 0.842 | Acc: 78.883% (6866/8704)              
 [=======================================================>.........] 35/40   Step: 418ms | Tot: 15s65ms | Loss: 0.844 | Acc: 78.839% (7064/8960)              
 [========================================================>........] 36/40   Step: 375ms | Tot: 15s441ms | Loss: 0.847 | Acc: 78.765% (7259/9216)              
 [==========================================================>......] 37/40   Step: 371ms | Tot: 15s813ms | Loss: 0.845 | Acc: 78.790% (7463/9472)              
 [============================================================>....] 38/40   Step: 371ms | Tot: 16s184ms | Loss: 0.841 | Acc: 78.855% (7671/9728)              
 [=============================================================>...] 39/40   Step: 372ms | Tot: 16s557ms | Loss: 0.843 | Acc: 78.886% (7876/9984)              
 [===============================================================>.] 40/40   Step: 2s361ms | Tot: 18s919ms | Loss: 0.842 | Acc: 78.900% (7890/10000)
Saving with better validation accuracy model: 78.900..

Epoch: 1
 [>................................................................] 1/26   Step: 3s5ms | Tot: 0ms | Loss: 0.029 | Acc: 99.219% (254/256)              
 [==>..............................................................] 2/26   Step: 992ms | Tot: 992ms | Loss: 0.033 | Acc: 98.828% (506/512)              
 [=====>...........................................................] 3/26   Step: 975ms | Tot: 1s968ms | Loss: 0.030 | Acc: 98.958% (760/768)              
 [=======>.........................................................] 4/26   Step: 979ms | Tot: 2s948ms | Loss: 0.027 | Acc: 99.121% (1015/1024)              
 [==========>......................................................] 5/26   Step: 1s139ms | Tot: 4s87ms | Loss: 0.025 | Acc: 99.219% (1270/1280)              
 [============>....................................................] 6/26   Step: 977ms | Tot: 5s64ms | Loss: 0.026 | Acc: 99.219% (1524/1536)              
 [===============>.................................................] 7/26   Step: 972ms | Tot: 6s37ms | Loss: 0.027 | Acc: 99.219% (1778/1792)              
 [=================>...............................................] 8/26   Step: 974ms | Tot: 7s11ms | Loss: 0.026 | Acc: 99.316% (2034/2048)              
 [====================>............................................] 9/26   Step: 1s81ms | Tot: 8s93ms | Loss: 0.026 | Acc: 99.349% (2289/2304)              
 [======================>..........................................] 10/26   Step: 971ms | Tot: 9s64ms | Loss: 0.026 | Acc: 99.297% (2542/2560)              
 [=========================>.......................................] 11/26   Step: 973ms | Tot: 10s37ms | Loss: 0.027 | Acc: 99.290% (2796/2816)              
 [===========================>.....................................] 12/26   Step: 981ms | Tot: 11s19ms | Loss: 0.026 | Acc: 99.316% (3051/3072)              
 [==============================>..................................] 13/26   Step: 974ms | Tot: 11s994ms | Loss: 0.025 | Acc: 99.369% (3307/3328)              
 [================================>................................] 14/26   Step: 1s73ms | Tot: 13s67ms | Loss: 0.024 | Acc: 99.414% (3563/3584)              
 [===================================>.............................] 15/26   Step: 975ms | Tot: 14s42ms | Loss: 0.024 | Acc: 99.401% (3817/3840)              
 [=====================================>...........................] 16/26   Step: 967ms | Tot: 15s10ms | Loss: 0.024 | Acc: 99.390% (4071/4096)              
 [========================================>........................] 17/26   Step: 971ms | Tot: 15s981ms | Loss: 0.024 | Acc: 99.403% (4326/4352)              
 [==========================================>......................] 18/26   Step: 1s79ms | Tot: 17s60ms | Loss: 0.024 | Acc: 99.414% (4581/4608)              
 [=============================================>...................] 19/26   Step: 970ms | Tot: 18s31ms | Loss: 0.024 | Acc: 99.404% (4835/4864)              
 [===============================================>.................] 20/26   Step: 968ms | Tot: 19s | Loss: 0.024 | Acc: 99.375% (5088/5120)              
 [==================================================>..............] 21/26   Step: 969ms | Tot: 19s969ms | Loss: 0.024 | Acc: 99.405% (5344/5376)              
 [====================================================>............] 22/26   Step: 921ms | Tot: 20s890ms | Loss: 0.024 | Acc: 99.414% (5599/5632)              
 [=======================================================>.........] 23/26   Step: 964ms | Tot: 21s854ms | Loss: 0.024 | Acc: 99.406% (5853/5888)              
 [=========================================================>.......] 24/26   Step: 860ms | Tot: 22s715ms | Loss: 0.024 | Acc: 99.414% (6108/6144)              
 [============================================================>....] 25/26   Step: 858ms | Tot: 23s573ms | Loss: 0.024 | Acc: 99.406% (6362/6400)              
 [==============================================================>..] 26/26   Step: 879ms | Tot: 24s453ms | Loss: 0.024 | Acc: 99.416% (6468/6506)
 [>................................................................] 1/40   Step: 1s146ms | Tot: 0ms | Loss: 0.723 | Acc: 79.297% (203/256)              
