There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the egdis selected dataset.
load parameters
Now try to run the algorithm EGDIS with the generated sample dataset.
Selected 6506 samples
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/26   Step: 42s455ms | Tot: 0ms | Loss: 0.002 | Acc: 100.000% (256/256)              
 [==>..............................................................] 2/26   Step: 1s961ms | Tot: 1s961ms | Loss: 0.002 | Acc: 100.000% (512/512)              
 [=====>...........................................................] 3/26   Step: 993ms | Tot: 2s955ms | Loss: 0.002 | Acc: 100.000% (768/768)              
 [=======>.........................................................] 4/26   Step: 1s137ms | Tot: 4s92ms | Loss: 0.003 | Acc: 100.000% (1024/1024)              
 [==========>......................................................] 5/26   Step: 967ms | Tot: 5s60ms | Loss: 0.003 | Acc: 100.000% (1280/1280)              
 [============>....................................................] 6/26   Step: 966ms | Tot: 6s26ms | Loss: 0.003 | Acc: 100.000% (1536/1536)              
 [===============>.................................................] 7/26   Step: 966ms | Tot: 6s993ms | Loss: 0.003 | Acc: 100.000% (1792/1792)              
 [=================>...............................................] 8/26   Step: 964ms | Tot: 7s957ms | Loss: 0.003 | Acc: 100.000% (2048/2048)              
 [====================>............................................] 9/26   Step: 1s77ms | Tot: 9s35ms | Loss: 0.003 | Acc: 99.957% (2303/2304)              
 [======================>..........................................] 10/26   Step: 967ms | Tot: 10s2ms | Loss: 0.003 | Acc: 99.961% (2559/2560)              
 [=========================>.......................................] 11/26   Step: 967ms | Tot: 10s970ms | Loss: 0.003 | Acc: 99.964% (2815/2816)              
 [===========================>.....................................] 12/26   Step: 962ms | Tot: 11s932ms | Loss: 0.003 | Acc: 99.967% (3071/3072)              
 [==============================>..................................] 13/26   Step: 986ms | Tot: 12s919ms | Loss: 0.003 | Acc: 99.970% (3327/3328)              
 [================================>................................] 14/26   Step: 1s74ms | Tot: 13s993ms | Loss: 0.003 | Acc: 99.972% (3583/3584)              
 [===================================>.............................] 15/26   Step: 964ms | Tot: 14s958ms | Loss: 0.003 | Acc: 99.974% (3839/3840)              
 [=====================================>...........................] 16/26   Step: 964ms | Tot: 15s923ms | Loss: 0.003 | Acc: 99.976% (4095/4096)              
 [========================================>........................] 17/26   Step: 965ms | Tot: 16s888ms | Loss: 0.003 | Acc: 99.977% (4351/4352)              
 [==========================================>......................] 18/26   Step: 965ms | Tot: 17s854ms | Loss: 0.003 | Acc: 99.978% (4607/4608)              
 [=============================================>...................] 19/26   Step: 1s68ms | Tot: 18s922ms | Loss: 0.003 | Acc: 99.979% (4863/4864)              
 [===============================================>.................] 20/26   Step: 968ms | Tot: 19s891ms | Loss: 0.002 | Acc: 99.980% (5119/5120)              
 [==================================================>..............] 21/26   Step: 969ms | Tot: 20s860ms | Loss: 0.003 | Acc: 99.981% (5375/5376)              
 [====================================================>............] 22/26   Step: 904ms | Tot: 21s764ms | Loss: 0.003 | Acc: 99.982% (5631/5632)              
 [=======================================================>.........] 23/26   Step: 875ms | Tot: 22s639ms | Loss: 0.003 | Acc: 99.983% (5887/5888)              
 [=========================================================>.......] 24/26   Step: 959ms | Tot: 23s598ms | Loss: 0.003 | Acc: 99.984% (6143/6144)              
 [============================================================>....] 25/26   Step: 850ms | Tot: 24s449ms | Loss: 0.003 | Acc: 99.984% (6399/6400)              
 [==============================================================>..] 26/26   Step: 8s426ms | Tot: 32s876ms | Loss: 0.003 | Acc: 99.969% (6504/6506)
 [>................................................................] 1/40   Step: 1s121ms | Tot: 0ms | Loss: 0.643 | Acc: 82.812% (212/256)              
 [=>...............................................................] 2/40   Step: 429ms | Tot: 429ms | Loss: 0.693 | Acc: 82.812% (424/512)              
 [===>.............................................................] 3/40   Step: 620ms | Tot: 1s49ms | Loss: 0.689 | Acc: 83.203% (639/768)              
 [====>............................................................] 4/40   Step: 414ms | Tot: 1s463ms | Loss: 0.703 | Acc: 83.008% (850/1024)              
 [======>..........................................................] 5/40   Step: 417ms | Tot: 1s881ms | Loss: 0.678 | Acc: 83.594% (1070/1280)              
 [========>........................................................] 6/40   Step: 416ms | Tot: 2s297ms | Loss: 0.694 | Acc: 82.812% (1272/1536)              
 [=========>.......................................................] 7/40   Step: 418ms | Tot: 2s715ms | Loss: 0.691 | Acc: 82.868% (1485/1792)              
 [===========>.....................................................] 8/40   Step: 418ms | Tot: 3s134ms | Loss: 0.704 | Acc: 82.764% (1695/2048)              
 [=============>...................................................] 9/40   Step: 520ms | Tot: 3s654ms | Loss: 0.713 | Acc: 82.769% (1907/2304)              
 [==============>..................................................] 10/40   Step: 419ms | Tot: 4s74ms | Loss: 0.695 | Acc: 83.008% (2125/2560)              
 [================>................................................] 11/40   Step: 418ms | Tot: 4s492ms | Loss: 0.683 | Acc: 83.132% (2341/2816)              
