There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
load parameters
Now try to run the algorithm EGDIS with the generated sample dataset.
Selected 6506 samples
Use multiple GPU to train the network.

Epoch: 0
 [>................................................................] 1/26   Step: 49s145ms | Tot: 0ms | Loss: 0.090 | Acc: 97.266% (249/256)              
 [==>..............................................................] 2/26   Step: 1s988ms | Tot: 1s988ms | Loss: 0.081 | Acc: 97.852% (501/512)              
 [=====>...........................................................] 3/26   Step: 975ms | Tot: 2s964ms | Loss: 0.081 | Acc: 97.656% (750/768)              
 [=======>.........................................................] 4/26   Step: 1s135ms | Tot: 4s100ms | Loss: 0.080 | Acc: 97.754% (1001/1024)              
 [==========>......................................................] 5/26   Step: 962ms | Tot: 5s63ms | Loss: 0.077 | Acc: 97.812% (1252/1280)              
 [============>....................................................] 6/26   Step: 975ms | Tot: 6s38ms | Loss: 0.077 | Acc: 97.721% (1501/1536)              
 [===============>.................................................] 7/26   Step: 963ms | Tot: 7s1ms | Loss: 0.073 | Acc: 97.879% (1754/1792)              
 [=================>...............................................] 8/26   Step: 961ms | Tot: 7s963ms | Loss: 0.069 | Acc: 97.949% (2006/2048)              
 [====================>............................................] 9/26   Step: 1s62ms | Tot: 9s26ms | Loss: 0.069 | Acc: 97.960% (2257/2304)              
 [======================>..........................................] 10/26   Step: 958ms | Tot: 9s984ms | Loss: 0.070 | Acc: 97.891% (2506/2560)              
 [=========================>.......................................] 11/26   Step: 968ms | Tot: 10s952ms | Loss: 0.069 | Acc: 97.905% (2757/2816)              
 [===========================>.....................................] 12/26   Step: 964ms | Tot: 11s917ms | Loss: 0.066 | Acc: 98.014% (3011/3072)              
 [==============================>..................................] 13/26   Step: 963ms | Tot: 12s880ms | Loss: 0.067 | Acc: 98.017% (3262/3328)              
 [================================>................................] 14/26   Step: 1s59ms | Tot: 13s939ms | Loss: 0.067 | Acc: 98.047% (3514/3584)              
 [===================================>.............................] 15/26   Step: 956ms | Tot: 14s896ms | Loss: 0.066 | Acc: 98.073% (3766/3840)              
 [=====================================>...........................] 16/26   Step: 978ms | Tot: 15s875ms | Loss: 0.065 | Acc: 98.096% (4018/4096)              
 [========================================>........................] 17/26   Step: 954ms | Tot: 16s829ms | Loss: 0.066 | Acc: 98.116% (4270/4352)              
 [==========================================>......................] 18/26   Step: 1s68ms | Tot: 17s898ms | Loss: 0.066 | Acc: 98.134% (4522/4608)              
 [=============================================>...................] 19/26   Step: 953ms | Tot: 18s851ms | Loss: 0.065 | Acc: 98.109% (4772/4864)              
 [===============================================>.................] 20/26   Step: 960ms | Tot: 19s812ms | Loss: 0.065 | Acc: 98.105% (5023/5120)              
 [==================================================>..............] 21/26   Step: 965ms | Tot: 20s777ms | Loss: 0.063 | Acc: 98.158% (5277/5376)              
 [====================================================>............] 22/26   Step: 902ms | Tot: 21s680ms | Loss: 0.062 | Acc: 98.171% (5529/5632)              
 [=======================================================>.........] 23/26   Step: 967ms | Tot: 22s648ms | Loss: 0.061 | Acc: 98.200% (5782/5888)              
 [=========================================================>.......] 24/26   Step: 851ms | Tot: 23s499ms | Loss: 0.061 | Acc: 98.210% (6034/6144)              
 [============================================================>....] 25/26   Step: 853ms | Tot: 24s353ms | Loss: 0.061 | Acc: 98.203% (6285/6400)              
 [==============================================================>..] 26/26   Step: 8s624ms | Tot: 32s977ms | Loss: 0.062 | Acc: 98.202% (6389/6506)
 [>................................................................] 1/40   Step: 1s352ms | Tot: 0ms | Loss: 0.975 | Acc: 73.828% (189/256)              
 [=>...............................................................] 2/40   Step: 438ms | Tot: 438ms | Loss: 1.042 | Acc: 73.438% (376/512)              
 [===>.............................................................] 3/40   Step: 424ms | Tot: 863ms | Loss: 1.014 | Acc: 75.130% (577/768)              
 [====>............................................................] 4/40   Step: 435ms | Tot: 1s298ms | Loss: 1.016 | Acc: 75.684% (775/1024)              
 [======>..........................................................] 5/40   Step: 425ms | Tot: 1s723ms | Loss: 0.992 | Acc: 76.562% (980/1280)              
 [========>........................................................] 6/40   Step: 421ms | Tot: 2s145ms | Loss: 1.036 | Acc: 75.911% (1166/1536)              
 [=========>.......................................................] 7/40   Step: 527ms | Tot: 2s672ms | Loss: 1.002 | Acc: 76.507% (1371/1792)              
 [===========>.....................................................] 8/40   Step: 426ms | Tot: 3s99ms | Loss: 1.013 | Acc: 76.758% (1572/2048)              
 [=============>...................................................] 9/40   Step: 419ms | Tot: 3s519ms | Loss: 0.994 | Acc: 76.823% (1770/2304)              
 [==============>..................................................] 10/40   Step: 423ms | Tot: 3s942ms | Loss: 0.972 | Acc: 77.031% (1972/2560)              
 [================>................................................] 11/40   Step: 424ms | Tot: 4s367ms | Loss: 0.968 | Acc: 76.918% (2166/2816)              
 [=================>...............................................] 12/40   Step: 425ms | Tot: 4s792ms | Loss: 0.973 | Acc: 76.628% (2354/3072)              
 [===================>.............................................] 13/40   Step: 519ms | Tot: 5s312ms | Loss: 0.974 | Acc: 76.593% (2549/3328)              
 [=====================>...........................................] 14/40   Step: 420ms | Tot: 5s732ms | Loss: 0.949 | Acc: 77.009% (2760/3584)              
 [======================>..........................................] 15/40   Step: 424ms | Tot: 6s157ms | Loss: 0.947 | Acc: 77.161% (2963/3840)              
 [========================>........................................] 16/40   Step: 424ms | Tot: 6s581ms | Loss: 0.951 | Acc: 77.100% (3158/4096)              
 [==========================>......................................] 17/40   Step: 422ms | Tot: 7s4ms | Loss: 0.942 | Acc: 77.137% (3357/4352)              
 [===========================>.....................................] 18/40   Step: 534ms | Tot: 7s539ms | Loss: 0.957 | Acc: 76.910% (3544/4608)              
 [=============================>...................................] 19/40   Step: 422ms | Tot: 7s961ms | Loss: 0.958 | Acc: 76.994% (3745/4864)              
 [==============================>..................................] 20/40   Step: 424ms | Tot: 8s386ms | Loss: 0.960 | Acc: 76.914% (3938/5120)              
 [================================>................................] 21/40   Step: 425ms | Tot: 8s811ms | Loss: 0.967 | Acc: 76.916% (4135/5376)              
 [==================================>..............................] 22/40   Step: 425ms | Tot: 9s237ms | Loss: 0.970 | Acc: 76.829% (4327/5632)              
 [===================================>.............................] 23/40   Step: 424ms | Tot: 9s661ms | Loss: 0.972 | Acc: 76.698% (4516/5888)              
 [=====================================>...........................] 24/40   Step: 524ms | Tot: 10s186ms | Loss: 0.972 | Acc: 76.676% (4711/6144)              
 [=======================================>.........................] 25/40   Step: 428ms | Tot: 10s614ms | Loss: 0.968 | Acc: 76.781% (4914/6400)              
 [========================================>........................] 26/40   Step: 426ms | Tot: 11s41ms | Loss: 0.981 | Acc: 76.638% (5101/6656)              
 [==========================================>......................] 27/40   Step: 433ms | Tot: 11s474ms | Loss: 0.977 | Acc: 76.678% (5300/6912)              
 [===========================================>.....................] 28/40   Step: 421ms | Tot: 11s896ms | Loss: 0.986 | Acc: 76.479% (5482/7168)              
 [=============================================>...................] 29/40   Step: 527ms | Tot: 12s423ms | Loss: 0.990 | Acc: 76.428% (5674/7424)              
 [===============================================>.................] 30/40   Step: 426ms | Tot: 12s850ms | Loss: 0.988 | Acc: 76.471% (5873/7680)              
 [================================================>................] 31/40   Step: 421ms | Tot: 13s271ms | Loss: 0.984 | Acc: 76.462% (6068/7936)              
 [==================================================>..............] 32/40   Step: 417ms | Tot: 13s688ms | Loss: 0.981 | Acc: 76.477% (6265/8192)              
 [====================================================>............] 33/40   Step: 415ms | Tot: 14s103ms | Loss: 0.983 | Acc: 76.409% (6455/8448)              
 [=====================================================>...........] 34/40   Step: 415ms | Tot: 14s518ms | Loss: 0.986 | Acc: 76.379% (6648/8704)              
 [=======================================================>.........] 35/40   Step: 518ms | Tot: 15s37ms | Loss: 0.983 | Acc: 76.306% (6837/8960)              
 [========================================================>........] 36/40   Step: 377ms | Tot: 15s414ms | Loss: 0.987 | Acc: 76.226% (7025/9216)              
 [==========================================================>......] 37/40   Step: 376ms | Tot: 15s790ms | Loss: 0.988 | Acc: 76.256% (7223/9472)              
 [============================================================>....] 38/40   Step: 373ms | Tot: 16s164ms | Loss: 0.988 | Acc: 76.316% (7424/9728)              
 [=============================================================>...] 39/40   Step: 373ms | Tot: 16s538ms | Loss: 0.988 | Acc: 76.392% (7627/9984)              
 [===============================================================>.] 40/40   Step: 2s516ms | Tot: 19s54ms | Loss: 0.988 | Acc: 76.390% (7639/10000)
Saving with better validation accuracy model: 76.390..

Epoch: 1
 [>................................................................] 1/26   Step: 3s108ms | Tot: 0ms | Loss: 0.047 | Acc: 98.438% (252/256)              
 [==>..............................................................] 2/26   Step: 986ms | Tot: 986ms | Loss: 0.050 | Acc: 98.633% (505/512)              
 [=====>...........................................................] 3/26   Step: 967ms | Tot: 1s953ms | Loss: 0.060 | Acc: 98.307% (755/768)              
 [=======>.........................................................] 4/26   Step: 963ms | Tot: 2s917ms | Loss: 0.055 | Acc: 98.438% (1008/1024)              
 [==========>......................................................] 5/26   Step: 1s165ms | Tot: 4s83ms | Loss: 0.064 | Acc: 97.891% (1253/1280)              
 [============>....................................................] 6/26   Step: 968ms | Tot: 5s51ms | Loss: 0.071 | Acc: 97.721% (1501/1536)              
 [===============>.................................................] 7/26   Step: 966ms | Tot: 6s17ms | Loss: 0.073 | Acc: 97.712% (1751/1792)              
 [=================>...............................................] 8/26   Step: 976ms | Tot: 6s994ms | Loss: 0.068 | Acc: 97.949% (2006/2048)              
 [====================>............................................] 9/26   Step: 1s82ms | Tot: 8s76ms | Loss: 0.069 | Acc: 97.960% (2257/2304)              
