There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
load parameters
------------------ Start to select subsets ------------------
Selected 30 percent training data.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/47   Step: 1m3s | Tot: 0ms | Loss: 0.320 | Acc: 90.234% (231/256)              
 [=>...............................................................] 2/47   Step: 1s984ms | Tot: 1s984ms | Loss: 0.388 | Acc: 89.648% (459/512)              
 [==>..............................................................] 3/47   Step: 988ms | Tot: 2s972ms | Loss: 0.362 | Acc: 90.104% (692/768)              
 [====>............................................................] 4/47   Step: 1s149ms | Tot: 4s122ms | Loss: 0.328 | Acc: 90.332% (925/1024)              
 [=====>...........................................................] 5/47   Step: 975ms | Tot: 5s97ms | Loss: 0.343 | Acc: 90.156% (1154/1280)              
 [======>..........................................................] 6/47   Step: 978ms | Tot: 6s75ms | Loss: 0.330 | Acc: 90.690% (1393/1536)              
 [========>........................................................] 7/47   Step: 972ms | Tot: 7s48ms | Loss: 0.332 | Acc: 90.792% (1627/1792)              
 [=========>.......................................................] 8/47   Step: 975ms | Tot: 8s24ms | Loss: 0.343 | Acc: 90.576% (1855/2048)              
 [===========>.....................................................] 9/47   Step: 1s85ms | Tot: 9s109ms | Loss: 0.327 | Acc: 90.885% (2094/2304)              
 [============>....................................................] 10/47   Step: 971ms | Tot: 10s81ms | Loss: 0.331 | Acc: 90.781% (2324/2560)              
 [=============>...................................................] 11/47   Step: 971ms | Tot: 11s53ms | Loss: 0.335 | Acc: 90.732% (2555/2816)              
 [===============>.................................................] 12/47   Step: 978ms | Tot: 12s31ms | Loss: 0.330 | Acc: 90.918% (2793/3072)              
 [================>................................................] 13/47   Step: 979ms | Tot: 13s11ms | Loss: 0.332 | Acc: 90.835% (3023/3328)              
 [=================>...............................................] 14/47   Step: 1s85ms | Tot: 14s96ms | Loss: 0.323 | Acc: 90.932% (3259/3584)              
 [===================>.............................................] 15/47   Step: 972ms | Tot: 15s68ms | Loss: 0.319 | Acc: 91.042% (3496/3840)              
 [====================>............................................] 16/47   Step: 984ms | Tot: 16s53ms | Loss: 0.313 | Acc: 91.016% (3728/4096)              
 [======================>..........................................] 17/47   Step: 979ms | Tot: 17s33ms | Loss: 0.317 | Acc: 90.832% (3953/4352)              
 [=======================>.........................................] 18/47   Step: 1s87ms | Tot: 18s121ms | Loss: 0.316 | Acc: 90.907% (4189/4608)              
 [========================>........................................] 19/47   Step: 983ms | Tot: 19s105ms | Loss: 0.315 | Acc: 90.892% (4421/4864)              
 [==========================>......................................] 20/47   Step: 989ms | Tot: 20s94ms | Loss: 0.310 | Acc: 90.996% (4659/5120)              
 [===========================>.....................................] 21/47   Step: 982ms | Tot: 21s76ms | Loss: 0.311 | Acc: 91.053% (4895/5376)              
 [=============================>...................................] 22/47   Step: 981ms | Tot: 22s58ms | Loss: 0.307 | Acc: 91.193% (5136/5632)              
 [==============================>..................................] 23/47   Step: 1s84ms | Tot: 23s142ms | Loss: 0.302 | Acc: 91.287% (5375/5888)              
 [===============================>.................................] 24/47   Step: 981ms | Tot: 24s124ms | Loss: 0.299 | Acc: 91.325% (5611/6144)              
 [=================================>...............................] 25/47   Step: 976ms | Tot: 25s100ms | Loss: 0.298 | Acc: 91.375% (5848/6400)              
 [==================================>..............................] 26/47   Step: 980ms | Tot: 26s81ms | Loss: 0.297 | Acc: 91.331% (6079/6656)              
 [===================================>.............................] 27/47   Step: 1s123ms | Tot: 27s205ms | Loss: 0.297 | Acc: 91.319% (6312/6912)              
 [=====================================>...........................] 28/47   Step: 984ms | Tot: 28s189ms | Loss: 0.295 | Acc: 91.350% (6548/7168)              
 [======================================>..........................] 29/47   Step: 984ms | Tot: 29s174ms | Loss: 0.293 | Acc: 91.379% (6784/7424)              
 [========================================>........................] 30/47   Step: 975ms | Tot: 30s150ms | Loss: 0.293 | Acc: 91.419% (7021/7680)              
 [=========================================>.......................] 31/47   Step: 974ms | Tot: 31s125ms | Loss: 0.289 | Acc: 91.494% (7261/7936)              
 [==========================================>......................] 32/47   Step: 1s79ms | Tot: 32s204ms | Loss: 0.287 | Acc: 91.577% (7502/8192)              
 [============================================>....................] 33/47   Step: 971ms | Tot: 33s176ms | Loss: 0.288 | Acc: 91.596% (7738/8448)              
 [=============================================>...................] 34/47   Step: 977ms | Tot: 34s154ms | Loss: 0.288 | Acc: 91.625% (7975/8704)              
 [===============================================>.................] 35/47   Step: 975ms | Tot: 35s130ms | Loss: 0.288 | Acc: 91.674% (8214/8960)              
 [================================================>................] 36/47   Step: 972ms | Tot: 36s102ms | Loss: 0.288 | Acc: 91.656% (8447/9216)              
 [=================================================>...............] 37/47   Step: 1s82ms | Tot: 37s185ms | Loss: 0.287 | Acc: 91.660% (8682/9472)              
 [===================================================>.............] 38/47   Step: 1s1ms | Tot: 38s186ms | Loss: 0.285 | Acc: 91.745% (8925/9728)              
 [====================================================>............] 39/47   Step: 982ms | Tot: 39s169ms | Loss: 0.284 | Acc: 91.677% (9153/9984)              
 [=====================================================>...........] 40/47   Step: 976ms | Tot: 40s145ms | Loss: 0.284 | Acc: 91.670% (9387/10240)              
 [=======================================================>.........] 41/47   Step: 984ms | Tot: 41s129ms | Loss: 0.282 | Acc: 91.730% (9628/10496)              
 [========================================================>........] 42/47   Step: 1s102ms | Tot: 42s232ms | Loss: 0.282 | Acc: 91.676% (9857/10752)              
 [==========================================================>......] 43/47   Step: 959ms | Tot: 43s192ms | Loss: 0.279 | Acc: 91.761% (10101/11008)              
 [===========================================================>.....] 44/47   Step: 862ms | Tot: 44s55ms | Loss: 0.278 | Acc: 91.815% (10342/11264)              
 [============================================================>....] 45/47   Step: 859ms | Tot: 44s914ms | Loss: 0.278 | Acc: 91.814% (10577/11520)              
 [==============================================================>..] 46/47   Step: 864ms | Tot: 45s778ms | Loss: 0.279 | Acc: 91.780% (10808/11776)              
 [===============================================================>.] 47/47   Step: 9s27ms | Tot: 54s806ms | Loss: 0.279 | Acc: 91.742% (11009/12000)
 [>................................................................] 1/40   Step: 1s142ms | Tot: 0ms | Loss: 0.362 | Acc: 89.453% (229/256)              
 [=>...............................................................] 2/40   Step: 442ms | Tot: 442ms | Loss: 0.400 | Acc: 89.648% (459/512)              
 [===>.............................................................] 3/40   Step: 429ms | Tot: 871ms | Loss: 0.392 | Acc: 89.844% (690/768)              
 [====>............................................................] 4/40   Step: 426ms | Tot: 1s298ms | Loss: 0.383 | Acc: 89.941% (921/1024)              
 [======>..........................................................] 5/40   Step: 582ms | Tot: 1s881ms | Loss: 0.349 | Acc: 90.781% (1162/1280)              
 [========>........................................................] 6/40   Step: 436ms | Tot: 2s317ms | Loss: 0.360 | Acc: 89.779% (1379/1536)              
 [=========>.......................................................] 7/40   Step: 425ms | Tot: 2s742ms | Loss: 0.363 | Acc: 89.844% (1610/1792)              
 [===========>.....................................................] 8/40   Step: 420ms | Tot: 3s163ms | Loss: 0.361 | Acc: 89.795% (1839/2048)              
 [=============>...................................................] 9/40   Step: 420ms | Tot: 3s583ms | Loss: 0.372 | Acc: 89.540% (2063/2304)              
 [==============>..................................................] 10/40   Step: 528ms | Tot: 4s111ms | Loss: 0.365 | Acc: 89.570% (2293/2560)              
 [================>................................................] 11/40   Step: 425ms | Tot: 4s537ms | Loss: 0.364 | Acc: 89.595% (2523/2816)              
 [=================>...............................................] 12/40   Step: 419ms | Tot: 4s957ms | Loss: 0.374 | Acc: 89.355% (2745/3072)              
 [===================>.............................................] 13/40   Step: 423ms | Tot: 5s380ms | Loss: 0.380 | Acc: 89.213% (2969/3328)              
 [=====================>...........................................] 14/40   Step: 425ms | Tot: 5s806ms | Loss: 0.368 | Acc: 89.425% (3205/3584)              
 [======================>..........................................] 15/40   Step: 423ms | Tot: 6s229ms | Loss: 0.366 | Acc: 89.427% (3434/3840)              
 [========================>........................................] 16/40   Step: 528ms | Tot: 6s757ms | Loss: 0.371 | Acc: 89.331% (3659/4096)              
 [==========================>......................................] 17/40   Step: 427ms | Tot: 7s185ms | Loss: 0.375 | Acc: 89.154% (3880/4352)              
 [===========================>.....................................] 18/40   Step: 425ms | Tot: 7s610ms | Loss: 0.381 | Acc: 89.019% (4102/4608)              
 [=============================>...................................] 19/40   Step: 427ms | Tot: 8s38ms | Loss: 0.380 | Acc: 89.062% (4332/4864)              
 [==============================>..................................] 20/40   Step: 427ms | Tot: 8s465ms | Loss: 0.379 | Acc: 89.082% (4561/5120)              
 [================================>................................] 21/40   Step: 532ms | Tot: 8s997ms | Loss: 0.378 | Acc: 89.137% (4792/5376)              
 [==================================>..............................] 22/40   Step: 429ms | Tot: 9s427ms | Loss: 0.379 | Acc: 89.062% (5016/5632)              
 [===================================>.............................] 23/40   Step: 427ms | Tot: 9s854ms | Loss: 0.384 | Acc: 88.893% (5234/5888)              
 [=====================================>...........................] 24/40   Step: 426ms | Tot: 10s280ms | Loss: 0.382 | Acc: 88.949% (5465/6144)              
 [=======================================>.........................] 25/40   Step: 430ms | Tot: 10s710ms | Loss: 0.382 | Acc: 89.047% (5699/6400)              
 [========================================>........................] 26/40   Step: 425ms | Tot: 11s136ms | Loss: 0.388 | Acc: 88.972% (5922/6656)              
 [==========================================>......................] 27/40   Step: 519ms | Tot: 11s655ms | Loss: 0.387 | Acc: 88.976% (6150/6912)              
 [===========================================>.....................] 28/40   Step: 421ms | Tot: 12s77ms | Loss: 0.389 | Acc: 88.951% (6376/7168)              
 [=============================================>...................] 29/40   Step: 429ms | Tot: 12s506ms | Loss: 0.394 | Acc: 88.847% (6596/7424)              
 [===============================================>.................] 30/40   Step: 419ms | Tot: 12s925ms | Loss: 0.393 | Acc: 88.815% (6821/7680)              
 [================================================>................] 31/40   Step: 417ms | Tot: 13s343ms | Loss: 0.393 | Acc: 88.836% (7050/7936)              
