There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
load parameters
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/157   Step: 40s339ms | Tot: 0ms | Loss: 0.016 | Acc: 99.609% (255/256)              
 [>................................................................] 2/157   Step: 1s959ms | Tot: 1s959ms | Loss: 0.021 | Acc: 99.219% (508/512)              
 [>................................................................] 3/157   Step: 969ms | Tot: 2s928ms | Loss: 0.020 | Acc: 99.349% (763/768)              
 [=>...............................................................] 4/157   Step: 1s132ms | Tot: 4s60ms | Loss: 0.019 | Acc: 99.414% (1018/1024)              
 [=>...............................................................] 5/157   Step: 955ms | Tot: 5s16ms | Loss: 0.017 | Acc: 99.453% (1273/1280)              
 [==>..............................................................] 6/157   Step: 959ms | Tot: 5s975ms | Loss: 0.017 | Acc: 99.479% (1528/1536)              
 [==>..............................................................] 7/157   Step: 953ms | Tot: 6s928ms | Loss: 0.015 | Acc: 99.554% (1784/1792)              
 [==>..............................................................] 8/157   Step: 961ms | Tot: 7s890ms | Loss: 0.015 | Acc: 99.561% (2039/2048)              
 [===>.............................................................] 9/157   Step: 1s69ms | Tot: 8s960ms | Loss: 0.014 | Acc: 99.609% (2295/2304)              
 [===>.............................................................] 10/157   Step: 957ms | Tot: 9s917ms | Loss: 0.013 | Acc: 99.648% (2551/2560)              
 [====>............................................................] 11/157   Step: 957ms | Tot: 10s875ms | Loss: 0.013 | Acc: 99.645% (2806/2816)              
 [====>............................................................] 12/157   Step: 954ms | Tot: 11s829ms | Loss: 0.012 | Acc: 99.674% (3062/3072)              
 [====>............................................................] 13/157   Step: 1s65ms | Tot: 12s895ms | Loss: 0.012 | Acc: 99.669% (3317/3328)              
 [=====>...........................................................] 14/157   Step: 961ms | Tot: 13s857ms | Loss: 0.012 | Acc: 99.665% (3572/3584)              
 [=====>...........................................................] 15/157   Step: 968ms | Tot: 14s825ms | Loss: 0.012 | Acc: 99.688% (3828/3840)              
 [======>..........................................................] 16/157   Step: 964ms | Tot: 15s789ms | Loss: 0.012 | Acc: 99.658% (4082/4096)              
 [======>..........................................................] 17/157   Step: 971ms | Tot: 16s761ms | Loss: 0.012 | Acc: 99.678% (4338/4352)              
 [=======>.........................................................] 18/157   Step: 1s72ms | Tot: 17s833ms | Loss: 0.012 | Acc: 99.653% (4592/4608)              
 [=======>.........................................................] 19/157   Step: 967ms | Tot: 18s801ms | Loss: 0.012 | Acc: 99.671% (4848/4864)              
 [=======>.........................................................] 20/157   Step: 967ms | Tot: 19s768ms | Loss: 0.011 | Acc: 99.688% (5104/5120)              
 [========>........................................................] 21/157   Step: 957ms | Tot: 20s725ms | Loss: 0.011 | Acc: 99.702% (5360/5376)              
 [========>........................................................] 22/157   Step: 954ms | Tot: 21s680ms | Loss: 0.011 | Acc: 99.716% (5616/5632)              
 [=========>.......................................................] 23/157   Step: 1s89ms | Tot: 22s770ms | Loss: 0.011 | Acc: 99.694% (5870/5888)              
 [=========>.......................................................] 24/157   Step: 957ms | Tot: 23s727ms | Loss: 0.012 | Acc: 99.658% (6123/6144)              
 [=========>.......................................................] 25/157   Step: 955ms | Tot: 24s682ms | Loss: 0.011 | Acc: 99.672% (6379/6400)              
 [==========>......................................................] 26/157   Step: 955ms | Tot: 25s638ms | Loss: 0.011 | Acc: 99.684% (6635/6656)              
 [==========>......................................................] 27/157   Step: 1s60ms | Tot: 26s698ms | Loss: 0.011 | Acc: 99.682% (6890/6912)              
 [===========>.....................................................] 28/157   Step: 963ms | Tot: 27s661ms | Loss: 0.011 | Acc: 99.693% (7146/7168)              
 [===========>.....................................................] 29/157   Step: 977ms | Tot: 28s639ms | Loss: 0.011 | Acc: 99.690% (7401/7424)              
 [============>....................................................] 30/157   Step: 961ms | Tot: 29s601ms | Loss: 0.011 | Acc: 99.688% (7656/7680)              
 [============>....................................................] 31/157   Step: 960ms | Tot: 30s561ms | Loss: 0.011 | Acc: 99.685% (7911/7936)              
 [============>....................................................] 32/157   Step: 1s77ms | Tot: 31s638ms | Loss: 0.011 | Acc: 99.695% (8167/8192)              
 [=============>...................................................] 33/157   Step: 961ms | Tot: 32s600ms | Loss: 0.011 | Acc: 99.704% (8423/8448)              
 [=============>...................................................] 34/157   Step: 956ms | Tot: 33s557ms | Loss: 0.011 | Acc: 99.701% (8678/8704)              
 [==============>..................................................] 35/157   Step: 957ms | Tot: 34s515ms | Loss: 0.011 | Acc: 99.699% (8933/8960)              
 [==============>..................................................] 36/157   Step: 955ms | Tot: 35s471ms | Loss: 0.011 | Acc: 99.696% (9188/9216)              
 [==============>..................................................] 37/157   Step: 1s61ms | Tot: 36s532ms | Loss: 0.011 | Acc: 99.694% (9443/9472)              
 [===============>.................................................] 38/157   Step: 954ms | Tot: 37s487ms | Loss: 0.011 | Acc: 99.692% (9698/9728)              
 [===============>.................................................] 39/157   Step: 981ms | Tot: 38s468ms | Loss: 0.011 | Acc: 99.690% (9953/9984)              
 [================>................................................] 40/157   Step: 956ms | Tot: 39s425ms | Loss: 0.011 | Acc: 99.668% (10206/10240)              
 [================>................................................] 41/157   Step: 1s64ms | Tot: 40s489ms | Loss: 0.011 | Acc: 99.676% (10462/10496)              
 [================>................................................] 42/157   Step: 962ms | Tot: 41s452ms | Loss: 0.011 | Acc: 99.647% (10714/10752)              
 [=================>...............................................] 43/157   Step: 957ms | Tot: 42s409ms | Loss: 0.011 | Acc: 99.655% (10970/11008)              
 [=================>...............................................] 44/157   Step: 959ms | Tot: 43s369ms | Loss: 0.011 | Acc: 99.654% (11225/11264)              
 [==================>..............................................] 45/157   Step: 974ms | Tot: 44s343ms | Loss: 0.011 | Acc: 99.644% (11479/11520)              
 [==================>..............................................] 46/157   Step: 1s64ms | Tot: 45s408ms | Loss: 0.011 | Acc: 99.652% (11735/11776)              
 [===================>.............................................] 47/157   Step: 961ms | Tot: 46s369ms | Loss: 0.011 | Acc: 99.659% (11991/12032)              
 [===================>.............................................] 48/157   Step: 960ms | Tot: 47s330ms | Loss: 0.011 | Acc: 99.666% (12247/12288)              
 [===================>.............................................] 49/157   Step: 971ms | Tot: 48s301ms | Loss: 0.011 | Acc: 99.673% (12503/12544)              
 [====================>............................................] 50/157   Step: 1s65ms | Tot: 49s366ms | Loss: 0.011 | Acc: 99.680% (12759/12800)              
 [====================>............................................] 51/157   Step: 959ms | Tot: 50s326ms | Loss: 0.011 | Acc: 99.686% (13015/13056)              
 [=====================>...........................................] 52/157   Step: 958ms | Tot: 51s285ms | Loss: 0.010 | Acc: 99.692% (13271/13312)              
 [=====================>...........................................] 53/157   Step: 957ms | Tot: 52s242ms | Loss: 0.011 | Acc: 99.690% (13526/13568)              
 [=====================>...........................................] 54/157   Step: 956ms | Tot: 53s199ms | Loss: 0.011 | Acc: 99.682% (13780/13824)              
 [======================>..........................................] 55/157   Step: 1s106ms | Tot: 54s306ms | Loss: 0.011 | Acc: 99.680% (14035/14080)              
 [======================>..........................................] 56/157   Step: 958ms | Tot: 55s265ms | Loss: 0.011 | Acc: 99.658% (14287/14336)              
 [=======================>.........................................] 57/157   Step: 957ms | Tot: 56s222ms | Loss: 0.011 | Acc: 99.664% (14543/14592)              
 [=======================>.........................................] 58/157   Step: 953ms | Tot: 57s176ms | Loss: 0.011 | Acc: 99.670% (14799/14848)              
 [========================>........................................] 59/157   Step: 1s82ms | Tot: 58s258ms | Loss: 0.011 | Acc: 99.669% (15054/15104)              
 [========================>........................................] 60/157   Step: 954ms | Tot: 59s212ms | Loss: 0.011 | Acc: 99.668% (15309/15360)              
 [========================>........................................] 61/157   Step: 960ms | Tot: 1m173ms | Loss: 0.011 | Acc: 99.661% (15563/15616)              
 [=========================>.......................................] 62/157   Step: 955ms | Tot: 1m1s | Loss: 0.011 | Acc: 99.666% (15819/15872)              
 [=========================>.......................................] 63/157   Step: 958ms | Tot: 1m2s | Loss: 0.011 | Acc: 99.659% (16073/16128)              
 [==========================>......................................] 64/157   Step: 1s66ms | Tot: 1m3s | Loss: 0.011 | Acc: 99.664% (16329/16384)              
 [==========================>......................................] 65/157   Step: 957ms | Tot: 1m4s | Loss: 0.011 | Acc: 99.669% (16585/16640)              
 [==========================>......................................] 66/157   Step: 955ms | Tot: 1m5s | Loss: 0.011 | Acc: 99.669% (16840/16896)              
 [===========================>.....................................] 67/157   Step: 957ms | Tot: 1m6s | Loss: 0.011 | Acc: 99.668% (17095/17152)              
 [===========================>.....................................] 68/157   Step: 955ms | Tot: 1m6s | Loss: 0.011 | Acc: 99.661% (17349/17408)              
 [============================>....................................] 69/157   Step: 1s82ms | Tot: 1m8s | Loss: 0.011 | Acc: 99.655% (17603/17664)              
 [============================>....................................] 70/157   Step: 963ms | Tot: 1m9s | Loss: 0.011 | Acc: 99.660% (17859/17920)              
 [============================>....................................] 71/157   Step: 957ms | Tot: 1m9s | Loss: 0.011 | Acc: 99.659% (18114/18176)              
 [=============================>...................................] 72/157   Step: 957ms | Tot: 1m10s | Loss: 0.011 | Acc: 99.653% (18368/18432)              
 [=============================>...................................] 73/157   Step: 962ms | Tot: 1m11s | Loss: 0.011 | Acc: 99.647% (18622/18688)              
 [==============================>..................................] 74/157   Step: 1s102ms | Tot: 1m13s | Loss: 0.011 | Acc: 99.646% (18877/18944)              
 [==============================>..................................] 75/157   Step: 958ms | Tot: 1m13s | Loss: 0.011 | Acc: 99.646% (19132/19200)              
 [===============================>.................................] 76/157   Step: 955ms | Tot: 1m14s | Loss: 0.011 | Acc: 99.650% (19388/19456)              
 [===============================>.................................] 77/157   Step: 959ms | Tot: 1m15s | Loss: 0.011 | Acc: 99.655% (19644/19712)              
 [===============================>.................................] 78/157   Step: 1s72ms | Tot: 1m16s | Loss: 0.011 | Acc: 99.659% (19900/19968)              
 [================================>................................] 79/157   Step: 959ms | Tot: 1m17s | Loss: 0.011 | Acc: 99.664% (20156/20224)              
 [================================>................................] 80/157   Step: 967ms | Tot: 1m18s | Loss: 0.011 | Acc: 99.658% (20410/20480)              
 [=================================>...............................] 81/157   Step: 953ms | Tot: 1m19s | Loss: 0.011 | Acc: 99.662% (20666/20736)              
 [=================================>...............................] 82/157   Step: 957ms | Tot: 1m20s | Loss: 0.011 | Acc: 99.667% (20922/20992)              
 [=================================>...............................] 83/157   Step: 1s59ms | Tot: 1m21s | Loss: 0.011 | Acc: 99.666% (21177/21248)              
 [==================================>..............................] 84/157   Step: 956ms | Tot: 1m22s | Loss: 0.011 | Acc: 99.670% (21433/21504)              
 [==================================>..............................] 85/157   Step: 953ms | Tot: 1m23s | Loss: 0.011 | Acc: 99.669% (21688/21760)              
 [===================================>.............................] 86/157   Step: 959ms | Tot: 1m24s | Loss: 0.011 | Acc: 99.673% (21944/22016)              
 [===================================>.............................] 87/157   Step: 959ms | Tot: 1m25s | Loss: 0.011 | Acc: 99.672% (22199/22272)              
 [====================================>............................] 88/157   Step: 1s60ms | Tot: 1m26s | Loss: 0.011 | Acc: 99.676% (22455/22528)              
 [====================================>............................] 89/157   Step: 954ms | Tot: 1m27s | Loss: 0.011 | Acc: 99.680% (22711/22784)              
 [====================================>............................] 90/157   Step: 973ms | Tot: 1m28s | Loss: 0.011 | Acc: 99.683% (22967/23040)              
 [=====================================>...........................] 91/157   Step: 961ms | Tot: 1m29s | Loss: 0.011 | Acc: 99.682% (23222/23296)              
 [=====================================>...........................] 92/157   Step: 954ms | Tot: 1m30s | Loss: 0.011 | Acc: 99.686% (23478/23552)              
 [======================================>..........................] 93/157   Step: 1s57ms | Tot: 1m31s | Loss: 0.011 | Acc: 99.689% (23734/23808)              
 [======================================>..........................] 94/157   Step: 955ms | Tot: 1m32s | Loss: 0.011 | Acc: 99.688% (23989/24064)              
 [======================================>..........................] 95/157   Step: 953ms | Tot: 1m33s | Loss: 0.011 | Acc: 99.688% (24244/24320)              
 [=======================================>.........................] 96/157   Step: 955ms | Tot: 1m34s | Loss: 0.011 | Acc: 99.687% (24499/24576)              
 [=======================================>.........................] 97/157   Step: 1s58ms | Tot: 1m35s | Loss: 0.011 | Acc: 99.686% (24754/24832)              
 [========================================>........................] 98/157   Step: 957ms | Tot: 1m36s | Loss: 0.011 | Acc: 99.685% (25009/25088)              
 [========================================>........................] 99/157   Step: 954ms | Tot: 1m37s | Loss: 0.011 | Acc: 99.684% (25264/25344)              
 [========================================>........................] 100/157   Step: 972ms | Tot: 1m38s | Loss: 0.011 | Acc: 99.688% (25520/25600)              
 [=========================================>.......................] 101/157   Step: 959ms | Tot: 1m39s | Loss: 0.011 | Acc: 99.687% (25775/25856)              
 [=========================================>.......................] 102/157   Step: 1s67ms | Tot: 1m40s | Loss: 0.011 | Acc: 99.682% (26029/26112)              
 [==========================================>......................] 103/157   Step: 955ms | Tot: 1m41s | Loss: 0.011 | Acc: 99.681% (26284/26368)              
 [==========================================>......................] 104/157   Step: 955ms | Tot: 1m42s | Loss: 0.011 | Acc: 99.681% (26539/26624)              
 [===========================================>.....................] 105/157   Step: 967ms | Tot: 1m43s | Loss: 0.011 | Acc: 99.684% (26795/26880)              
 [===========================================>.....................] 106/157   Step: 1s66ms | Tot: 1m44s | Loss: 0.011 | Acc: 99.687% (27051/27136)              
 [===========================================>.....................] 107/157   Step: 953ms | Tot: 1m45s | Loss: 0.011 | Acc: 99.690% (27307/27392)              
 [============================================>....................] 108/157   Step: 957ms | Tot: 1m46s | Loss: 0.011 | Acc: 99.693% (27563/27648)              
 [============================================>....................] 109/157   Step: 953ms | Tot: 1m47s | Loss: 0.011 | Acc: 99.692% (27818/27904)              
 [=============================================>...................] 110/157   Step: 971ms | Tot: 1m48s | Loss: 0.011 | Acc: 99.695% (28074/28160)              
 [=============================================>...................] 111/157   Step: 1s61ms | Tot: 1m49s | Loss: 0.011 | Acc: 99.697% (28330/28416)              
 [=============================================>...................] 112/157   Step: 958ms | Tot: 1m50s | Loss: 0.011 | Acc: 99.700% (28586/28672)              
 [==============================================>..................] 113/157   Step: 958ms | Tot: 1m51s | Loss: 0.011 | Acc: 99.703% (28842/28928)              
 [==============================================>..................] 114/157   Step: 953ms | Tot: 1m52s | Loss: 0.011 | Acc: 99.702% (29097/29184)              
 [===============================================>.................] 115/157   Step: 1s96ms | Tot: 1m53s | Loss: 0.011 | Acc: 99.704% (29353/29440)              
 [===============================================>.................] 116/157   Step: 956ms | Tot: 1m54s | Loss: 0.011 | Acc: 99.707% (29609/29696)              
 [================================================>................] 117/157   Step: 966ms | Tot: 1m55s | Loss: 0.011 | Acc: 99.710% (29865/29952)              
 [================================================>................] 118/157   Step: 965ms | Tot: 1m56s | Loss: 0.011 | Acc: 99.709% (30120/30208)              
 [================================================>................] 119/157   Step: 957ms | Tot: 1m57s | Loss: 0.011 | Acc: 99.711% (30376/30464)              
 [=================================================>...............] 120/157   Step: 1s90ms | Tot: 1m58s | Loss: 0.011 | Acc: 99.714% (30632/30720)              
 [=================================================>...............] 121/157   Step: 956ms | Tot: 1m59s | Loss: 0.010 | Acc: 99.716% (30888/30976)              
 [==================================================>..............] 122/157   Step: 958ms | Tot: 2m139ms | Loss: 0.010 | Acc: 99.718% (31144/31232)              
 [==================================================>..............] 123/157   Step: 956ms | Tot: 2m1s | Loss: 0.011 | Acc: 99.717% (31399/31488)              
 [==================================================>..............] 124/157   Step: 1s60ms | Tot: 2m2s | Loss: 0.010 | Acc: 99.720% (31655/31744)              
 [===================================================>.............] 125/157   Step: 958ms | Tot: 2m3s | Loss: 0.010 | Acc: 99.722% (31911/32000)              
 [===================================================>.............] 126/157   Step: 954ms | Tot: 2m4s | Loss: 0.011 | Acc: 99.718% (32165/32256)              
 [====================================================>............] 127/157   Step: 958ms | Tot: 2m5s | Loss: 0.010 | Acc: 99.720% (32421/32512)              
 [====================================================>............] 128/157   Step: 957ms | Tot: 2m5s | Loss: 0.010 | Acc: 99.722% (32677/32768)              
 [====================================================>............] 129/157   Step: 1s59ms | Tot: 2m7s | Loss: 0.010 | Acc: 99.721% (32932/33024)              
 [=====================================================>...........] 130/157   Step: 965ms | Tot: 2m8s | Loss: 0.010 | Acc: 99.724% (33188/33280)              
 [=====================================================>...........] 131/157   Step: 961ms | Tot: 2m8s | Loss: 0.010 | Acc: 99.726% (33444/33536)              
 [======================================================>..........] 132/157   Step: 953ms | Tot: 2m9s | Loss: 0.010 | Acc: 99.728% (33700/33792)              
 [======================================================>..........] 133/157   Step: 958ms | Tot: 2m10s | Loss: 0.010 | Acc: 99.730% (33956/34048)              
 [=======================================================>.........] 134/157   Step: 1s60ms | Tot: 2m11s | Loss: 0.010 | Acc: 99.729% (34211/34304)              
 [=======================================================>.........] 135/157   Step: 957ms | Tot: 2m12s | Loss: 0.010 | Acc: 99.731% (34467/34560)              
 [=======================================================>.........] 136/157   Step: 956ms | Tot: 2m13s | Loss: 0.010 | Acc: 99.733% (34723/34816)              
 [========================================================>........] 137/157   Step: 958ms | Tot: 2m14s | Loss: 0.010 | Acc: 99.735% (34979/35072)              
 [========================================================>........] 138/157   Step: 954ms | Tot: 2m15s | Loss: 0.010 | Acc: 99.734% (35234/35328)              
 [=========================================================>.......] 139/157   Step: 1s58ms | Tot: 2m16s | Loss: 0.010 | Acc: 99.736% (35490/35584)              
 [=========================================================>.......] 140/157   Step: 956ms | Tot: 2m17s | Loss: 0.010 | Acc: 99.735% (35745/35840)              
 [=========================================================>.......] 141/157   Step: 973ms | Tot: 2m18s | Loss: 0.010 | Acc: 99.734% (36000/36096)              
 [==========================================================>......] 142/157   Step: 952ms | Tot: 2m19s | Loss: 0.010 | Acc: 99.736% (36256/36352)              
 [==========================================================>......] 143/157   Step: 1s57ms | Tot: 2m20s | Loss: 0.010 | Acc: 99.738% (36512/36608)              
 [===========================================================>.....] 144/157   Step: 955ms | Tot: 2m21s | Loss: 0.010 | Acc: 99.740% (36768/36864)              
 [===========================================================>.....] 145/157   Step: 955ms | Tot: 2m22s | Loss: 0.010 | Acc: 99.741% (37024/37120)              
 [============================================================>....] 146/157   Step: 956ms | Tot: 2m23s | Loss: 0.010 | Acc: 99.740% (37279/37376)              
 [============================================================>....] 147/157   Step: 953ms | Tot: 2m24s | Loss: 0.010 | Acc: 99.740% (37534/37632)              
