cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset.
load parameters
Now try to run the WCL algorithm
Selected 3069 boundary instances.
Start to select 6506 samples for a fair comparison.
The unique selected subset size is: 6506
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/26   Step: 43s485ms | Tot: 0ms | Loss: 0.438 | Acc: 85.938% (220/256)              
 [==>..............................................................] 2/26   Step: 2s7ms | Tot: 2s7ms | Loss: 0.451 | Acc: 85.352% (437/512)              
 [=====>...........................................................] 3/26   Step: 1s6ms | Tot: 3s13ms | Loss: 0.465 | Acc: 86.198% (662/768)              
 [=======>.........................................................] 4/26   Step: 1s189ms | Tot: 4s203ms | Loss: 0.420 | Acc: 87.207% (893/1024)              
 [==========>......................................................] 5/26   Step: 992ms | Tot: 5s196ms | Loss: 0.438 | Acc: 87.500% (1120/1280)              
 [============>....................................................] 6/26   Step: 999ms | Tot: 6s195ms | Loss: 0.438 | Acc: 87.370% (1342/1536)              
 [===============>.................................................] 7/26   Step: 1s6ms | Tot: 7s201ms | Loss: 0.436 | Acc: 87.333% (1565/1792)              
 [=================>...............................................] 8/26   Step: 992ms | Tot: 8s194ms | Loss: 0.429 | Acc: 87.646% (1795/2048)              
 [====================>............................................] 9/26   Step: 1s100ms | Tot: 9s294ms | Loss: 0.420 | Acc: 87.934% (2026/2304)              
 [======================>..........................................] 10/26   Step: 990ms | Tot: 10s285ms | Loss: 0.415 | Acc: 88.125% (2256/2560)              
 [=========================>.......................................] 11/26   Step: 990ms | Tot: 11s275ms | Loss: 0.407 | Acc: 88.210% (2484/2816)              
 [===========================>.....................................] 12/26   Step: 989ms | Tot: 12s265ms | Loss: 0.402 | Acc: 88.346% (2714/3072)              
 [==============================>..................................] 13/26   Step: 993ms | Tot: 13s258ms | Loss: 0.400 | Acc: 88.281% (2938/3328)              
 [================================>................................] 14/26   Step: 1s91ms | Tot: 14s350ms | Loss: 0.393 | Acc: 88.588% (3175/3584)              
 [===================================>.............................] 15/26   Step: 992ms | Tot: 15s343ms | Loss: 0.384 | Acc: 88.828% (3411/3840)              
 [=====================================>...........................] 16/26   Step: 999ms | Tot: 16s342ms | Loss: 0.373 | Acc: 89.062% (3648/4096)              
 [========================================>........................] 17/26   Step: 1s3ms | Tot: 17s346ms | Loss: 0.366 | Acc: 89.269% (3885/4352)              
 [==========================================>......................] 18/26   Step: 1s103ms | Tot: 18s450ms | Loss: 0.367 | Acc: 89.214% (4111/4608)              
 [=============================================>...................] 19/26   Step: 1s1ms | Tot: 19s452ms | Loss: 0.367 | Acc: 89.206% (4339/4864)              
 [===============================================>.................] 20/26   Step: 993ms | Tot: 20s445ms | Loss: 0.359 | Acc: 89.414% (4578/5120)              
 [==================================================>..............] 21/26   Step: 995ms | Tot: 21s440ms | Loss: 0.358 | Acc: 89.416% (4807/5376)              
 [====================================================>............] 22/26   Step: 927ms | Tot: 22s368ms | Loss: 0.361 | Acc: 89.506% (5041/5632)              
 [=======================================================>.........] 23/26   Step: 989ms | Tot: 23s357ms | Loss: 0.364 | Acc: 89.453% (5267/5888)              
 [=========================================================>.......] 24/26   Step: 900ms | Tot: 24s258ms | Loss: 0.360 | Acc: 89.502% (5499/6144)              
 [============================================================>....] 25/26   Step: 880ms | Tot: 25s139ms | Loss: 0.358 | Acc: 89.469% (5726/6400)              
 [==============================================================>..] 26/26   Step: 8s687ms | Tot: 33s826ms | Loss: 0.356 | Acc: 89.563% (5827/6506)
 [>................................................................] 1/40   Step: 1s314ms | Tot: 0ms | Loss: 0.608 | Acc: 82.031% (210/256)              
 [=>...............................................................] 2/40   Step: 431ms | Tot: 431ms | Loss: 0.707 | Acc: 80.859% (414/512)              
 [===>.............................................................] 3/40   Step: 427ms | Tot: 859ms | Loss: 0.720 | Acc: 80.469% (618/768)              
 [====>............................................................] 4/40   Step: 442ms | Tot: 1s301ms | Loss: 0.715 | Acc: 79.883% (818/1024)              
 [======>..........................................................] 5/40   Step: 425ms | Tot: 1s727ms | Loss: 0.673 | Acc: 80.781% (1034/1280)              
 [========>........................................................] 6/40   Step: 426ms | Tot: 2s154ms | Loss: 0.688 | Acc: 80.469% (1236/1536)              
 [=========>.......................................................] 7/40   Step: 530ms | Tot: 2s685ms | Loss: 0.679 | Acc: 80.859% (1449/1792)              
 [===========>.....................................................] 8/40   Step: 426ms | Tot: 3s111ms | Loss: 0.685 | Acc: 80.908% (1657/2048)              
 [=============>...................................................] 9/40   Step: 426ms | Tot: 3s538ms | Loss: 0.690 | Acc: 80.816% (1862/2304)              
 [==============>..................................................] 10/40   Step: 427ms | Tot: 3s966ms | Loss: 0.675 | Acc: 81.094% (2076/2560)              
 [================>................................................] 11/40   Step: 425ms | Tot: 4s391ms | Loss: 0.658 | Acc: 81.463% (2294/2816)              
 [=================>...............................................] 12/40   Step: 431ms | Tot: 4s822ms | Loss: 0.657 | Acc: 81.315% (2498/3072)              
 [===================>.............................................] 13/40   Step: 527ms | Tot: 5s350ms | Loss: 0.663 | Acc: 81.130% (2700/3328)              
 [=====================>...........................................] 14/40   Step: 426ms | Tot: 5s777ms | Loss: 0.658 | Acc: 81.278% (2913/3584)              
 [======================>..........................................] 15/40   Step: 426ms | Tot: 6s203ms | Loss: 0.648 | Acc: 81.562% (3132/3840)              
 [========================>........................................] 16/40   Step: 425ms | Tot: 6s629ms | Loss: 0.651 | Acc: 81.470% (3337/4096)              
 [==========================>......................................] 17/40   Step: 427ms | Tot: 7s56ms | Loss: 0.652 | Acc: 81.411% (3543/4352)              
 [===========================>.....................................] 18/40   Step: 531ms | Tot: 7s587ms | Loss: 0.656 | Acc: 81.293% (3746/4608)              
 [=============================>...................................] 19/40   Step: 425ms | Tot: 8s13ms | Loss: 0.657 | Acc: 81.517% (3965/4864)              
 [==============================>..................................] 20/40   Step: 425ms | Tot: 8s439ms | Loss: 0.660 | Acc: 81.562% (4176/5120)              
 [================================>................................] 21/40   Step: 424ms | Tot: 8s863ms | Loss: 0.663 | Acc: 81.455% (4379/5376)              
 [==================================>..............................] 22/40   Step: 424ms | Tot: 9s287ms | Loss: 0.665 | Acc: 81.445% (4587/5632)              
 [===================================>.............................] 23/40   Step: 426ms | Tot: 9s714ms | Loss: 0.669 | Acc: 81.301% (4787/5888)              
