cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 5439 samples for weakkness <= 5.
Train with the selected 5439 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/22   Step: 1m866ms | Tot: 0ms | Loss: 0.081 | Acc: 98.047% (251/256)              
 [==>..............................................................] 2/22   Step: 1s952ms | Tot: 1s952ms | Loss: 0.067 | Acc: 98.242% (503/512)              
 [=====>...........................................................] 3/22   Step: 962ms | Tot: 2s914ms | Loss: 0.081 | Acc: 97.396% (748/768)              
 [========>........................................................] 4/22   Step: 1s111ms | Tot: 4s26ms | Loss: 0.087 | Acc: 97.168% (995/1024)              
 [===========>.....................................................] 5/22   Step: 949ms | Tot: 4s975ms | Loss: 0.094 | Acc: 97.031% (1242/1280)              
 [==============>..................................................] 6/22   Step: 950ms | Tot: 5s926ms | Loss: 0.104 | Acc: 96.875% (1488/1536)              
 [=================>...............................................] 7/22   Step: 953ms | Tot: 6s879ms | Loss: 0.106 | Acc: 96.763% (1734/1792)              
 [====================>............................................] 8/22   Step: 962ms | Tot: 7s841ms | Loss: 0.102 | Acc: 96.777% (1982/2048)              
 [=======================>.........................................] 9/22   Step: 1s54ms | Tot: 8s895ms | Loss: 0.101 | Acc: 96.832% (2231/2304)              
 [==========================>......................................] 10/22   Step: 947ms | Tot: 9s843ms | Loss: 0.097 | Acc: 96.992% (2483/2560)              
 [=============================>...................................] 11/22   Step: 952ms | Tot: 10s796ms | Loss: 0.095 | Acc: 97.124% (2735/2816)              
 [================================>................................] 12/22   Step: 946ms | Tot: 11s742ms | Loss: 0.095 | Acc: 97.038% (2981/3072)              
 [===================================>.............................] 13/22   Step: 955ms | Tot: 12s698ms | Loss: 0.094 | Acc: 97.055% (3230/3328)              
 [======================================>..........................] 14/22   Step: 1s52ms | Tot: 13s750ms | Loss: 0.092 | Acc: 97.098% (3480/3584)              
 [=========================================>.......................] 15/22   Step: 952ms | Tot: 14s702ms | Loss: 0.090 | Acc: 97.214% (3733/3840)              
 [============================================>....................] 16/22   Step: 948ms | Tot: 15s650ms | Loss: 0.087 | Acc: 97.314% (3986/4096)              
 [===============================================>.................] 17/22   Step: 955ms | Tot: 16s606ms | Loss: 0.086 | Acc: 97.335% (4236/4352)              
 [==================================================>..............] 18/22   Step: 1s4ms | Tot: 17s611ms | Loss: 0.084 | Acc: 97.396% (4488/4608)              
 [=====================================================>...........] 19/22   Step: 837ms | Tot: 18s449ms | Loss: 0.081 | Acc: 97.512% (4743/4864)              
 [========================================================>........] 20/22   Step: 844ms | Tot: 19s293ms | Loss: 0.080 | Acc: 97.539% (4994/5120)              
 [===========================================================>.....] 21/22   Step: 846ms | Tot: 20s140ms | Loss: 0.078 | Acc: 97.619% (5248/5376)              
 [==============================================================>..] 22/22   Step: 8s480ms | Tot: 28s620ms | Loss: 0.079 | Acc: 97.591% (5308/5439)
 [>................................................................] 1/40   Step: 1s315ms | Tot: 0ms | Loss: 1.098 | Acc: 72.266% (185/256)              
 [=>...............................................................] 2/40   Step: 433ms | Tot: 433ms | Loss: 1.169 | Acc: 71.484% (366/512)              
 [===>.............................................................] 3/40   Step: 422ms | Tot: 855ms | Loss: 1.084 | Acc: 73.568% (565/768)              
 [====>............................................................] 4/40   Step: 418ms | Tot: 1s274ms | Loss: 1.082 | Acc: 73.340% (751/1024)              
 [======>..........................................................] 5/40   Step: 419ms | Tot: 1s693ms | Loss: 1.041 | Acc: 74.062% (948/1280)              
 [========>........................................................] 6/40   Step: 531ms | Tot: 2s225ms | Loss: 1.040 | Acc: 74.349% (1142/1536)              
 [=========>.......................................................] 7/40   Step: 418ms | Tot: 2s643ms | Loss: 1.027 | Acc: 74.442% (1334/1792)              
 [===========>.....................................................] 8/40   Step: 423ms | Tot: 3s67ms | Loss: 1.033 | Acc: 74.316% (1522/2048)              
 [=============>...................................................] 9/40   Step: 422ms | Tot: 3s489ms | Loss: 1.007 | Acc: 74.523% (1717/2304)              
 [==============>..................................................] 10/40   Step: 419ms | Tot: 3s908ms | Loss: 0.997 | Acc: 74.492% (1907/2560)              
