cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 50 percent training data.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/79   Step: 1m10s | Tot: 0ms | Loss: 0.092 | Acc: 97.266% (249/256)              
 [>................................................................] 2/79   Step: 1s982ms | Tot: 1s982ms | Loss: 0.076 | Acc: 97.852% (501/512)              
 [=>...............................................................] 3/79   Step: 988ms | Tot: 2s971ms | Loss: 0.056 | Acc: 98.438% (756/768)              
 [==>..............................................................] 4/79   Step: 1s137ms | Tot: 4s108ms | Loss: 0.075 | Acc: 98.242% (1006/1024)              
 [===>.............................................................] 5/79   Step: 961ms | Tot: 5s69ms | Loss: 0.080 | Acc: 98.125% (1256/1280)              
 [====>............................................................] 6/79   Step: 959ms | Tot: 6s29ms | Loss: 0.091 | Acc: 97.917% (1504/1536)              
 [====>............................................................] 7/79   Step: 958ms | Tot: 6s988ms | Loss: 0.090 | Acc: 97.991% (1756/1792)              
 [=====>...........................................................] 8/79   Step: 959ms | Tot: 7s947ms | Loss: 0.091 | Acc: 97.949% (2006/2048)              
 [======>..........................................................] 9/79   Step: 1s59ms | Tot: 9s7ms | Loss: 0.095 | Acc: 97.873% (2255/2304)              
 [=======>.........................................................] 10/79   Step: 959ms | Tot: 9s967ms | Loss: 0.090 | Acc: 98.008% (2509/2560)              
 [========>........................................................] 11/79   Step: 961ms | Tot: 10s929ms | Loss: 0.090 | Acc: 97.940% (2758/2816)              
 [=========>.......................................................] 12/79   Step: 958ms | Tot: 11s887ms | Loss: 0.093 | Acc: 97.852% (3006/3072)              
 [=========>.......................................................] 13/79   Step: 1s89ms | Tot: 12s976ms | Loss: 0.090 | Acc: 97.867% (3257/3328)              
 [==========>......................................................] 14/79   Step: 965ms | Tot: 13s942ms | Loss: 0.093 | Acc: 97.824% (3506/3584)              
 [===========>.....................................................] 15/79   Step: 961ms | Tot: 14s903ms | Loss: 0.092 | Acc: 97.839% (3757/3840)              
 [============>....................................................] 16/79   Step: 960ms | Tot: 15s864ms | Loss: 0.092 | Acc: 97.803% (4006/4096)              
 [=============>...................................................] 17/79   Step: 983ms | Tot: 16s847ms | Loss: 0.093 | Acc: 97.817% (4257/4352)              
 [=============>...................................................] 18/79   Step: 1s71ms | Tot: 17s919ms | Loss: 0.090 | Acc: 97.895% (4511/4608)              
 [==============>..................................................] 19/79   Step: 960ms | Tot: 18s880ms | Loss: 0.091 | Acc: 97.821% (4758/4864)              
 [===============>.................................................] 20/79   Step: 971ms | Tot: 19s851ms | Loss: 0.090 | Acc: 97.852% (5010/5120)              
 [================>................................................] 21/79   Step: 960ms | Tot: 20s812ms | Loss: 0.091 | Acc: 97.805% (5258/5376)              
 [=================>...............................................] 22/79   Step: 1s106ms | Tot: 21s918ms | Loss: 0.090 | Acc: 97.816% (5509/5632)              
 [==================>..............................................] 23/79   Step: 975ms | Tot: 22s894ms | Loss: 0.088 | Acc: 97.826% (5760/5888)              
 [==================>..............................................] 24/79   Step: 960ms | Tot: 23s855ms | Loss: 0.095 | Acc: 97.640% (5999/6144)              
 [===================>.............................................] 25/79   Step: 963ms | Tot: 24s819ms | Loss: 0.096 | Acc: 97.641% (6249/6400)              
 [====================>............................................] 26/79   Step: 957ms | Tot: 25s776ms | Loss: 0.098 | Acc: 97.626% (6498/6656)              
 [=====================>...........................................] 27/79   Step: 1s64ms | Tot: 26s841ms | Loss: 0.098 | Acc: 97.627% (6748/6912)              
 [======================>..........................................] 28/79   Step: 960ms | Tot: 27s801ms | Loss: 0.098 | Acc: 97.614% (6997/7168)              
 [=======================>.........................................] 29/79   Step: 964ms | Tot: 28s765ms | Loss: 0.098 | Acc: 97.602% (7246/7424)              
 [=======================>.........................................] 30/79   Step: 963ms | Tot: 29s729ms | Loss: 0.098 | Acc: 97.565% (7493/7680)              
 [========================>........................................] 31/79   Step: 962ms | Tot: 30s691ms | Loss: 0.098 | Acc: 97.555% (7742/7936)              
 [=========================>.......................................] 32/79   Step: 1s63ms | Tot: 31s755ms | Loss: 0.098 | Acc: 97.559% (7992/8192)              
 [==========================>......................................] 33/79   Step: 971ms | Tot: 32s726ms | Loss: 0.097 | Acc: 97.597% (8245/8448)              
 [===========================>.....................................] 34/79   Step: 962ms | Tot: 33s688ms | Loss: 0.097 | Acc: 97.576% (8493/8704)              
 [===========================>.....................................] 35/79   Step: 977ms | Tot: 34s666ms | Loss: 0.097 | Acc: 97.578% (8743/8960)              
 [============================>....................................] 36/79   Step: 1s69ms | Tot: 35s735ms | Loss: 0.096 | Acc: 97.613% (8996/9216)              
 [=============================>...................................] 37/79   Step: 964ms | Tot: 36s700ms | Loss: 0.096 | Acc: 97.603% (9245/9472)              
 [==============================>..................................] 38/79   Step: 962ms | Tot: 37s662ms | Loss: 0.095 | Acc: 97.615% (9496/9728)              
 [===============================>.................................] 39/79   Step: 958ms | Tot: 38s620ms | Loss: 0.095 | Acc: 97.616% (9746/9984)              
 [================================>................................] 40/79   Step: 960ms | Tot: 39s580ms | Loss: 0.095 | Acc: 97.617% (9996/10240)              
 [================================>................................] 41/79   Step: 1s104ms | Tot: 40s685ms | Loss: 0.096 | Acc: 97.609% (10245/10496)              
 [=================================>...............................] 42/79   Step: 956ms | Tot: 41s641ms | Loss: 0.095 | Acc: 97.619% (10496/10752)              
 [==================================>..............................] 43/79   Step: 986ms | Tot: 42s628ms | Loss: 0.095 | Acc: 97.620% (10746/11008)              
 [===================================>.............................] 44/79   Step: 970ms | Tot: 43s599ms | Loss: 0.094 | Acc: 97.638% (10998/11264)              
 [====================================>............................] 45/79   Step: 1s66ms | Tot: 44s665ms | Loss: 0.093 | Acc: 97.639% (11248/11520)              
 [=====================================>...........................] 46/79   Step: 955ms | Tot: 45s621ms | Loss: 0.093 | Acc: 97.622% (11496/11776)              
 [=====================================>...........................] 47/79   Step: 956ms | Tot: 46s578ms | Loss: 0.092 | Acc: 97.648% (11749/12032)              
 [======================================>..........................] 48/79   Step: 957ms | Tot: 47s535ms | Loss: 0.093 | Acc: 97.624% (11996/12288)              
 [=======================================>.........................] 49/79   Step: 955ms | Tot: 48s490ms | Loss: 0.092 | Acc: 97.648% (12249/12544)              
 [========================================>........................] 50/79   Step: 1s62ms | Tot: 49s553ms | Loss: 0.092 | Acc: 97.664% (12501/12800)              
 [=========================================>.......................] 51/79   Step: 953ms | Tot: 50s506ms | Loss: 0.091 | Acc: 97.656% (12750/13056)              
 [=========================================>.......................] 52/79   Step: 956ms | Tot: 51s463ms | Loss: 0.092 | Acc: 97.656% (13000/13312)              
 [==========================================>......................] 53/79   Step: 980ms | Tot: 52s443ms | Loss: 0.092 | Acc: 97.619% (13245/13568)              
 [===========================================>.....................] 54/79   Step: 1s70ms | Tot: 53s514ms | Loss: 0.093 | Acc: 97.606% (13493/13824)              
 [============================================>....................] 55/79   Step: 958ms | Tot: 54s472ms | Loss: 0.093 | Acc: 97.621% (13745/14080)              
 [=============================================>...................] 56/79   Step: 960ms | Tot: 55s433ms | Loss: 0.092 | Acc: 97.628% (13996/14336)              
 [==============================================>..................] 57/79   Step: 955ms | Tot: 56s389ms | Loss: 0.092 | Acc: 97.636% (14247/14592)              
 [==============================================>..................] 58/79   Step: 964ms | Tot: 57s353ms | Loss: 0.092 | Acc: 97.623% (14495/14848)              
 [===============================================>.................] 59/79   Step: 1s63ms | Tot: 58s416ms | Loss: 0.092 | Acc: 97.636% (14747/15104)              
 [================================================>................] 60/79   Step: 957ms | Tot: 59s373ms | Loss: 0.092 | Acc: 97.624% (14995/15360)              
 [=================================================>...............] 61/79   Step: 969ms | Tot: 1m343ms | Loss: 0.093 | Acc: 97.605% (15242/15616)              
 [==================================================>..............] 62/79   Step: 967ms | Tot: 1m1s | Loss: 0.092 | Acc: 97.618% (15494/15872)              
 [===================================================>.............] 63/79   Step: 1s94ms | Tot: 1m2s | Loss: 0.092 | Acc: 97.600% (15741/16128)              
 [===================================================>.............] 64/79   Step: 965ms | Tot: 1m3s | Loss: 0.093 | Acc: 97.589% (15989/16384)              
 [====================================================>............] 65/79   Step: 959ms | Tot: 1m4s | Loss: 0.092 | Acc: 97.602% (16241/16640)              
 [=====================================================>...........] 66/79   Step: 958ms | Tot: 1m5s | Loss: 0.093 | Acc: 97.591% (16489/16896)              
 [======================================================>..........] 67/79   Step: 956ms | Tot: 1m6s | Loss: 0.095 | Acc: 97.563% (16734/17152)              
 [=======================================================>.........] 68/79   Step: 1s95ms | Tot: 1m7s | Loss: 0.094 | Acc: 97.570% (16985/17408)              
 [=======================================================>.........] 69/79   Step: 957ms | Tot: 1m8s | Loss: 0.093 | Acc: 97.583% (17237/17664)              
 [========================================================>........] 70/79   Step: 955ms | Tot: 1m9s | Loss: 0.093 | Acc: 97.578% (17486/17920)              
 [=========================================================>.......] 71/79   Step: 957ms | Tot: 1m10s | Loss: 0.093 | Acc: 97.590% (17738/18176)              
 [==========================================================>......] 72/79   Step: 956ms | Tot: 1m11s | Loss: 0.092 | Acc: 97.602% (17990/18432)              
 [===========================================================>.....] 73/79   Step: 1s74ms | Tot: 1m12s | Loss: 0.092 | Acc: 97.603% (18240/18688)              
 [============================================================>....] 74/79   Step: 967ms | Tot: 1m13s | Loss: 0.092 | Acc: 97.603% (18490/18944)              
 [============================================================>....] 75/79   Step: 865ms | Tot: 1m14s | Loss: 0.091 | Acc: 97.609% (18741/19200)              
 [=============================================================>...] 76/79   Step: 846ms | Tot: 1m14s | Loss: 0.093 | Acc: 97.564% (18982/19456)              
