cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the wcl selected dataset.
load parameters
Now try to run the WCL algorithm
Selected 3069 boundary instances.
Start to select 6506 samples for a fair comparison.
The unique selected subset size is: 6506
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/26   Step: 1m7s | Tot: 0ms | Loss: 0.180 | Acc: 95.312% (244/256)              
 [==>..............................................................] 2/26   Step: 1s975ms | Tot: 1s975ms | Loss: 0.195 | Acc: 95.508% (489/512)              
 [=====>...........................................................] 3/26   Step: 967ms | Tot: 2s942ms | Loss: 0.210 | Acc: 95.182% (731/768)              
 [=======>.........................................................] 4/26   Step: 1s129ms | Tot: 4s72ms | Loss: 0.214 | Acc: 94.922% (972/1024)              
 [==========>......................................................] 5/26   Step: 968ms | Tot: 5s40ms | Loss: 0.232 | Acc: 94.375% (1208/1280)              
 [============>....................................................] 6/26   Step: 960ms | Tot: 6s1ms | Loss: 0.239 | Acc: 94.271% (1448/1536)              
 [===============>.................................................] 7/26   Step: 955ms | Tot: 6s956ms | Loss: 0.237 | Acc: 94.420% (1692/1792)              
 [=================>...............................................] 8/26   Step: 955ms | Tot: 7s912ms | Loss: 0.240 | Acc: 94.238% (1930/2048)              
 [====================>............................................] 9/26   Step: 1s65ms | Tot: 8s978ms | Loss: 0.240 | Acc: 94.097% (2168/2304)              
 [======================>..........................................] 10/26   Step: 960ms | Tot: 9s938ms | Loss: 0.245 | Acc: 94.023% (2407/2560)              
 [=========================>.......................................] 11/26   Step: 958ms | Tot: 10s897ms | Loss: 0.252 | Acc: 93.928% (2645/2816)              
 [===========================>.....................................] 12/26   Step: 956ms | Tot: 11s853ms | Loss: 0.243 | Acc: 94.173% (2893/3072)              
 [==============================>..................................] 13/26   Step: 963ms | Tot: 12s817ms | Loss: 0.247 | Acc: 94.141% (3133/3328)              
 [================================>................................] 14/26   Step: 1s63ms | Tot: 13s880ms | Loss: 0.247 | Acc: 94.057% (3371/3584)              
 [===================================>.............................] 15/26   Step: 974ms | Tot: 14s855ms | Loss: 0.250 | Acc: 94.036% (3611/3840)              
 [=====================================>...........................] 16/26   Step: 958ms | Tot: 15s813ms | Loss: 0.249 | Acc: 93.994% (3850/4096)              
 [========================================>........................] 17/26   Step: 973ms | Tot: 16s787ms | Loss: 0.253 | Acc: 93.865% (4085/4352)              
 [==========================================>......................] 18/26   Step: 1s67ms | Tot: 17s854ms | Loss: 0.252 | Acc: 93.902% (4327/4608)              
 [=============================================>...................] 19/26   Step: 963ms | Tot: 18s818ms | Loss: 0.258 | Acc: 93.729% (4559/4864)              
 [===============================================>.................] 20/26   Step: 957ms | Tot: 19s775ms | Loss: 0.254 | Acc: 93.711% (4798/5120)              
 [==================================================>..............] 21/26   Step: 954ms | Tot: 20s729ms | Loss: 0.250 | Acc: 93.806% (5043/5376)              
 [====================================================>............] 22/26   Step: 891ms | Tot: 21s621ms | Loss: 0.245 | Acc: 93.928% (5290/5632)              
 [=======================================================>.........] 23/26   Step: 994ms | Tot: 22s615ms | Loss: 0.241 | Acc: 93.971% (5533/5888)              
 [=========================================================>.......] 24/26   Step: 840ms | Tot: 23s455ms | Loss: 0.238 | Acc: 93.962% (5773/6144)              
 [============================================================>....] 25/26   Step: 860ms | Tot: 24s316ms | Loss: 0.240 | Acc: 93.891% (6009/6400)              
 [==============================================================>..] 26/26   Step: 8s642ms | Tot: 32s959ms | Loss: 0.247 | Acc: 93.775% (6101/6506)
 [>................................................................] 1/40   Step: 1s330ms | Tot: 0ms | Loss: 0.580 | Acc: 87.500% (224/256)              
 [=>...............................................................] 2/40   Step: 423ms | Tot: 424ms | Loss: 0.650 | Acc: 85.742% (439/512)              
 [===>.............................................................] 3/40   Step: 421ms | Tot: 845ms | Loss: 0.657 | Acc: 84.896% (652/768)              
 [====>............................................................] 4/40   Step: 420ms | Tot: 1s266ms | Loss: 0.656 | Acc: 85.254% (873/1024)              
 [======>..........................................................] 5/40   Step: 419ms | Tot: 1s685ms | Loss: 0.643 | Acc: 85.234% (1091/1280)              
 [========>........................................................] 6/40   Step: 420ms | Tot: 2s106ms | Loss: 0.664 | Acc: 84.570% (1299/1536)              
