cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 9674 samples for weakkness <= 7.
Train with the selected 9674 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/38   Step: 1m2s | Tot: 0ms | Loss: 0.002 | Acc: 100.000% (256/256)              
 [=>...............................................................] 2/38   Step: 1s995ms | Tot: 1s995ms | Loss: 0.002 | Acc: 100.000% (512/512)              
 [===>.............................................................] 3/38   Step: 975ms | Tot: 2s971ms | Loss: 0.002 | Acc: 100.000% (768/768)              
 [=====>...........................................................] 4/38   Step: 1s130ms | Tot: 4s102ms | Loss: 0.002 | Acc: 100.000% (1024/1024)              
 [======>..........................................................] 5/38   Step: 963ms | Tot: 5s65ms | Loss: 0.002 | Acc: 100.000% (1280/1280)              
 [========>........................................................] 6/38   Step: 985ms | Tot: 6s51ms | Loss: 0.002 | Acc: 100.000% (1536/1536)              
 [==========>......................................................] 7/38   Step: 958ms | Tot: 7s10ms | Loss: 0.002 | Acc: 100.000% (1792/1792)              
 [===========>.....................................................] 8/38   Step: 964ms | Tot: 7s974ms | Loss: 0.002 | Acc: 100.000% (2048/2048)              
 [=============>...................................................] 9/38   Step: 1s66ms | Tot: 9s41ms | Loss: 0.002 | Acc: 100.000% (2304/2304)              
 [===============>.................................................] 10/38   Step: 957ms | Tot: 9s998ms | Loss: 0.002 | Acc: 100.000% (2560/2560)              
 [=================>...............................................] 11/38   Step: 969ms | Tot: 10s967ms | Loss: 0.002 | Acc: 100.000% (2816/2816)              
 [==================>..............................................] 12/38   Step: 963ms | Tot: 11s931ms | Loss: 0.002 | Acc: 100.000% (3072/3072)              
 [====================>............................................] 13/38   Step: 974ms | Tot: 12s905ms | Loss: 0.002 | Acc: 100.000% (3328/3328)              
 [======================>..........................................] 14/38   Step: 1s71ms | Tot: 13s976ms | Loss: 0.002 | Acc: 100.000% (3584/3584)              
 [=======================>.........................................] 15/38   Step: 968ms | Tot: 14s945ms | Loss: 0.002 | Acc: 100.000% (3840/3840)              
 [=========================>.......................................] 16/38   Step: 989ms | Tot: 15s935ms | Loss: 0.002 | Acc: 100.000% (4096/4096)              
 [===========================>.....................................] 17/38   Step: 968ms | Tot: 16s903ms | Loss: 0.002 | Acc: 100.000% (4352/4352)              
 [=============================>...................................] 18/38   Step: 1s78ms | Tot: 17s981ms | Loss: 0.002 | Acc: 100.000% (4608/4608)              
 [==============================>..................................] 19/38   Step: 977ms | Tot: 18s959ms | Loss: 0.002 | Acc: 100.000% (4864/4864)              
 [================================>................................] 20/38   Step: 970ms | Tot: 19s929ms | Loss: 0.002 | Acc: 100.000% (5120/5120)              
 [==================================>..............................] 21/38   Step: 967ms | Tot: 20s896ms | Loss: 0.002 | Acc: 100.000% (5376/5376)              
 [===================================>.............................] 22/38   Step: 961ms | Tot: 21s857ms | Loss: 0.002 | Acc: 100.000% (5632/5632)              
 [=====================================>...........................] 23/38   Step: 1s108ms | Tot: 22s966ms | Loss: 0.002 | Acc: 100.000% (5888/5888)              
 [=======================================>.........................] 24/38   Step: 979ms | Tot: 23s945ms | Loss: 0.003 | Acc: 100.000% (6144/6144)              
 [=========================================>.......................] 25/38   Step: 965ms | Tot: 24s911ms | Loss: 0.003 | Acc: 100.000% (6400/6400)              
 [==========================================>......................] 26/38   Step: 984ms | Tot: 25s895ms | Loss: 0.003 | Acc: 100.000% (6656/6656)              
 [============================================>....................] 27/38   Step: 1s85ms | Tot: 26s981ms | Loss: 0.002 | Acc: 100.000% (6912/6912)              
 [==============================================>..................] 28/38   Step: 965ms | Tot: 27s947ms | Loss: 0.002 | Acc: 100.000% (7168/7168)              
 [===============================================>.................] 29/38   Step: 959ms | Tot: 28s906ms | Loss: 0.002 | Acc: 100.000% (7424/7424)              
 [=================================================>...............] 30/38   Step: 963ms | Tot: 29s870ms | Loss: 0.002 | Acc: 100.000% (7680/7680)              
 [===================================================>.............] 31/38   Step: 971ms | Tot: 30s841ms | Loss: 0.002 | Acc: 100.000% (7936/7936)              
 [=====================================================>...........] 32/38   Step: 1s71ms | Tot: 31s913ms | Loss: 0.002 | Acc: 100.000% (8192/8192)              
 [======================================================>..........] 33/38   Step: 976ms | Tot: 32s889ms | Loss: 0.002 | Acc: 100.000% (8448/8448)              
 [========================================================>........] 34/38   Step: 944ms | Tot: 33s834ms | Loss: 0.002 | Acc: 100.000% (8704/8704)              
 [==========================================================>......] 35/38   Step: 849ms | Tot: 34s684ms | Loss: 0.002 | Acc: 100.000% (8960/8960)              
 [===========================================================>.....] 36/38   Step: 868ms | Tot: 35s552ms | Loss: 0.002 | Acc: 100.000% (9216/9216)              
 [=============================================================>...] 37/38   Step: 962ms | Tot: 36s515ms | Loss: 0.002 | Acc: 100.000% (9472/9472)              
 [===============================================================>.] 38/38   Step: 9s799ms | Tot: 46s314ms | Loss: 0.002 | Acc: 100.000% (9674/9674)
 [>................................................................] 1/40   Step: 1s129ms | Tot: 0ms | Loss: 0.394 | Acc: 90.234% (231/256)              
 [=>...............................................................] 2/40   Step: 419ms | Tot: 419ms | Loss: 0.479 | Acc: 88.477% (453/512)              
 [===>.............................................................] 3/40   Step: 417ms | Tot: 837ms | Loss: 0.464 | Acc: 88.542% (680/768)              
 [====>............................................................] 4/40   Step: 618ms | Tot: 1s455ms | Loss: 0.448 | Acc: 88.477% (906/1024)              
 [======>..........................................................] 5/40   Step: 414ms | Tot: 1s870ms | Loss: 0.440 | Acc: 88.516% (1133/1280)              
 [========>........................................................] 6/40   Step: 416ms | Tot: 2s286ms | Loss: 0.444 | Acc: 88.411% (1358/1536)              
 [=========>.......................................................] 7/40   Step: 415ms | Tot: 2s702ms | Loss: 0.441 | Acc: 88.560% (1587/1792)              
 [===========>.....................................................] 8/40   Step: 412ms | Tot: 3s115ms | Loss: 0.430 | Acc: 88.916% (1821/2048)              
 [=============>...................................................] 9/40   Step: 416ms | Tot: 3s531ms | Loss: 0.429 | Acc: 88.889% (2048/2304)              
 [==============>..................................................] 10/40   Step: 518ms | Tot: 4s50ms | Loss: 0.414 | Acc: 89.219% (2284/2560)              
 [================>................................................] 11/40   Step: 415ms | Tot: 4s465ms | Loss: 0.410 | Acc: 89.240% (2513/2816)              
 [=================>...............................................] 12/40   Step: 415ms | Tot: 4s881ms | Loss: 0.425 | Acc: 88.997% (2734/3072)              
 [===================>.............................................] 13/40   Step: 415ms | Tot: 5s296ms | Loss: 0.419 | Acc: 89.093% (2965/3328)              
 [=====================>...........................................] 14/40   Step: 415ms | Tot: 5s712ms | Loss: 0.411 | Acc: 89.258% (3199/3584)              
 [======================>..........................................] 15/40   Step: 417ms | Tot: 6s129ms | Loss: 0.417 | Acc: 89.297% (3429/3840)              
 [========================>........................................] 16/40   Step: 415ms | Tot: 6s544ms | Loss: 0.425 | Acc: 89.111% (3650/4096)              
 [==========================>......................................] 17/40   Step: 518ms | Tot: 7s62ms | Loss: 0.426 | Acc: 89.040% (3875/4352)              
 [===========================>.....................................] 18/40   Step: 416ms | Tot: 7s479ms | Loss: 0.439 | Acc: 88.737% (4089/4608)              
 [=============================>...................................] 19/40   Step: 419ms | Tot: 7s898ms | Loss: 0.438 | Acc: 88.734% (4316/4864)              
 [==============================>..................................] 20/40   Step: 433ms | Tot: 8s332ms | Loss: 0.434 | Acc: 88.809% (4547/5120)              
 [================================>................................] 21/40   Step: 414ms | Tot: 8s746ms | Loss: 0.442 | Acc: 88.709% (4769/5376)              
 [==================================>..............................] 22/40   Step: 412ms | Tot: 9s159ms | Loss: 0.445 | Acc: 88.530% (4986/5632)              
 [===================================>.............................] 23/40   Step: 413ms | Tot: 9s572ms | Loss: 0.445 | Acc: 88.536% (5213/5888)              
