There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
load parameters
Now try to run the WCL algorithm
Selected 3069 boundary instances.
Select 10.00 percent samples, 126 overlapping with the pre-selected boundary samples
The unique selected subset size is: 6943
Use multiple GPU to train the network.

Epoch: 0
 [>................................................................] 1/28   Step: 48s971ms | Tot: 0ms | Loss: 0.444 | Acc: 86.328% (221/256)              
 [==>..............................................................] 2/28   Step: 1s958ms | Tot: 1s958ms | Loss: 0.440 | Acc: 86.133% (441/512)              
 [====>............................................................] 3/28   Step: 970ms | Tot: 2s928ms | Loss: 0.415 | Acc: 86.979% (668/768)              
 [======>..........................................................] 4/28   Step: 1s124ms | Tot: 4s53ms | Loss: 0.374 | Acc: 88.281% (904/1024)              
 [=========>.......................................................] 5/28   Step: 969ms | Tot: 5s22ms | Loss: 0.379 | Acc: 88.281% (1130/1280)              
 [===========>.....................................................] 6/28   Step: 950ms | Tot: 5s973ms | Loss: 0.356 | Acc: 88.802% (1364/1536)              
 [=============>...................................................] 7/28   Step: 952ms | Tot: 6s925ms | Loss: 0.344 | Acc: 89.062% (1596/1792)              
 [================>................................................] 8/28   Step: 952ms | Tot: 7s877ms | Loss: 0.347 | Acc: 88.818% (1819/2048)              
 [==================>..............................................] 9/28   Step: 1s58ms | Tot: 8s935ms | Loss: 0.341 | Acc: 89.280% (2057/2304)              
 [====================>............................................] 10/28   Step: 953ms | Tot: 9s889ms | Loss: 0.342 | Acc: 89.297% (2286/2560)              
 [=======================>.........................................] 11/28   Step: 946ms | Tot: 10s836ms | Loss: 0.338 | Acc: 89.240% (2513/2816)              
 [=========================>.......................................] 12/28   Step: 950ms | Tot: 11s786ms | Loss: 0.332 | Acc: 89.355% (2745/3072)              
 [===========================>.....................................] 13/28   Step: 951ms | Tot: 12s737ms | Loss: 0.325 | Acc: 89.483% (2978/3328)              
 [==============================>..................................] 14/28   Step: 1s55ms | Tot: 13s792ms | Loss: 0.327 | Acc: 89.369% (3203/3584)              
 [================================>................................] 15/28   Step: 952ms | Tot: 14s745ms | Loss: 0.323 | Acc: 89.375% (3432/3840)              
 [==================================>..............................] 16/28   Step: 961ms | Tot: 15s706ms | Loss: 0.323 | Acc: 89.478% (3665/4096)              
 [=====================================>...........................] 17/28   Step: 950ms | Tot: 16s656ms | Loss: 0.321 | Acc: 89.476% (3894/4352)              
 [=======================================>.........................] 18/28   Step: 1s59ms | Tot: 17s716ms | Loss: 0.320 | Acc: 89.540% (4126/4608)              
 [=========================================>.......................] 19/28   Step: 945ms | Tot: 18s661ms | Loss: 0.319 | Acc: 89.515% (4354/4864)              
 [============================================>....................] 20/28   Step: 951ms | Tot: 19s613ms | Loss: 0.315 | Acc: 89.648% (4590/5120)              
 [==============================================>..................] 21/28   Step: 952ms | Tot: 20s565ms | Loss: 0.312 | Acc: 89.751% (4825/5376)              
 [================================================>................] 22/28   Step: 955ms | Tot: 21s520ms | Loss: 0.309 | Acc: 89.897% (5063/5632)              
 [===================================================>.............] 23/28   Step: 1s61ms | Tot: 22s581ms | Loss: 0.307 | Acc: 89.895% (5293/5888)              
